family,subfamily,tribe,tips,broad_sociality,parasite_host_sociality,fine_sociality,sociality_notes,sociality_ref,broad_nesting,parasite_host_nesting,fine_nesting,nesting_notes,nesting_ref,nest_accuracy,host_bee,host_ref,wax,resin,floral_oil,nestmat_accuracy,nest_materials_ref
Andrenidae,,Andreninini,Andrena_distans,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_geranii,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_lawrencei,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_misella,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_nigrocaerulea,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_caerulea,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_nigrihirta,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_erigeniae,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_luridiloma,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_fulvida,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_bicolor,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_allosa,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_amieti,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_montana,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_solenopalpa,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_symphyti,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_chrysopus,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_fulvata,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_angustior,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_igraeca,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_rufula,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_granulosa,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_scrophulariae,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_merula,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_marginata,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_quinquepalpa,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_fulvago,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_hesperia,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
