"family","subfamily","species"
"Colletidae","Euryglossinae","Euryglossa wahlenbergiae"
"Colletidae","Euryglossinae","Euryglossa walkeri"
"Colletidae","Euryglossinae","Euryglossa walkeriana"
"Colletidae","Euryglossinae","Euryglossa wiluna"
"Colletidae","Euryglossinae","Euryglossa wowine"
"Colletidae","Euryglossinae","Euryglossa xana"
"Colletidae","Euryglossinae","Euryglossa yeatesi"
"Colletidae","Euryglossinae","Euryglossa yellowdinensis"
"Colletidae","Euryglossinae","Euryglossina clypearis_homonym"
"Halictidae","Halictinae","Lasioglossum adiazetum"
"Halictidae","Halictinae","Lasioglossum atrus"
"Halictidae","Halictinae","Lasioglossum exleyae"
"Halictidae","Halictinae","Lasioglossum exophthalmus"
"Halictidae","Halictinae","Lasioglossum forrestae"
"Halictidae","Halictinae","Lasioglossum houstoni"
"Halictidae","Halictinae","Lasioglossum imitatum_unavailable"
"Halictidae","Halictinae","Lasioglossum latitarse"
"Halictidae","Halictinae","Lasioglossum maitlandi"
"Halictidae","Halictinae","Lasioglossum megastigmus"
"Halictidae","Halictinae","Lasioglossum multicavum"
"Halictidae","Halictinae","Lasioglossum murrayi"
"Halictidae","Halictinae","Lasioglossum pectinalus"
"Halictidae","Halictinae","Lasioglossum pilosigyna"
"Halictidae","Halictinae","Lasioglossum rowlandi"
"Halictidae","Halictinae","Lasioglossum scrupulosum"
"Halictidae","Halictinae","Lasioglossum sphecodopsis"
"Halictidae","Halictinae","Lasioglossum stradbrokense"
"Halictidae","Halictinae","Lasioglossum tatei"
"Halictidae","Halictinae","Lasioglossum thor"
"Halictidae","Halictinae","Lasioglossum verticulum"
"Halictidae","Halictinae","Lasioglossum megagnathus"
"Halictidae","Halictinae","Lasioglossum brevicornutum"
"Halictidae","Halictinae","Lasioglossum davidis"
"Halictidae","Halictinae","Lasioglossum rufibasis"
"Halictidae","Halictinae","Lasioglossum speculellus"
"Halictidae","Halictinae","Lasioglossum altichus"
"Halictidae","Halictinae","Lasioglossum bryotrichus"
"Halictidae","Halictinae","Lasioglossum fumidicaudus"
"Halictidae","Halictinae","Lasioglossum hilactus"
"Halictidae","Halictinae","Lasioglossum hiltacus"
"Halictidae","Halictinae","Lasioglossum lacthius"
"Halictidae","Halictinae","Lasioglossum lichatus"
"Halictidae","Halictinae","Lasioglossum lithusca"
"Halictidae","Halictinae","Lasioglossum sulthica"
"Halictidae","Halictinae","Lasioglossum taluchis"
"Halictidae",NA,"Austronomia australica"
"Halictidae",NA,"Austronomia dentiventris"
"Halictidae",NA,"Austronomia excellens"
"Halictidae",NA,"Austronomia ferricauda"
"Halictidae",NA,"Austronomia flavoviridis"
"Halictidae",NA,"Austronomia fortior"
"Halictidae",NA,"Austronomia generosa"
"Halictidae",NA,"Austronomia gracilipes"
"Halictidae",NA,"Austronomia hippophila"
"Halictidae",NA,"Austronomia kurandina"
"Megachilidae","Megachilinae","Megachile abdominalis"
"Halictidae","Halictinae","Patellapis albipilata"
"Apidae",NA,"Xenoglossodes eriocarpi"
"Apidae",NA,"Xenoglossodes lippiae"
"Apidae",NA,"Xenoglossodes pomonae"
"Apidae",NA,"Xenoglossodes balluca"
"Apidae",NA,"Xenoglossodes albatus"
"Apidae","Apinae","Melissodes fumosus"
"Apidae",NA,"Xenoglossodes perconcinnus"
"Apidae","Xylocopinae","Xylocopa varians"
"Apidae",NA,"Xenoglossodes imitatrix"
"Apidae",NA,"Xenoglossodes longifellator"
"Apidae","Apinae","Eucera arizonica"
