"family","subfamily","species"
"Colletidae","Hylaeinae","Meroglossa rugosa"
"Colletidae","Hylaeinae","Meroglossa setifera"
"Colletidae","Hylaeinae","Meroglossa soror"
"Colletidae","Hylaeinae","Meroglossa sulcifrons"
"Colletidae","Neopasiphaeinae","Neopasiphae insignis"
"Colletidae","Neopasiphaeinae","Neopasiphae simplicior"
"Halictidae","Nomiinae","Nomia lyonsiae"
"Halictidae","Nomiinae","Nomia aurantifer"
"Halictidae","Nomiinae","Nomia swainsoniae"
"Colletidae","Euryglossinae","Pachyprosopis cornuta"
"Colletidae","Euryglossinae","Pachyprosopis hackeri"
"Colletidae","Euryglossinae","Pachyprosopis haematostoma"
"Colletidae","Euryglossinae","Pachyprosopis holoxanthopus"
"Colletidae","Euryglossinae","Pachyprosopis mirabilis"
"Colletidae","Euryglossinae","Pachyprosopis psilosomata"
"Colletidae","Euryglossinae","Pachyprosopis flava"
"Colletidae","Euryglossinae","Pachyprosopis kellyi"
"Colletidae","Euryglossinae","Pachyprosopis kununurra"
"Colletidae","Euryglossinae","Pachyprosopis trichopoda"
"Colletidae","Euryglossinae","Pachyprosopis angophorae"
"Colletidae","Euryglossinae","Pachyprosopis eucalypti"
"Colletidae","Euryglossinae","Pachyprosopis eucyrta"
"Colletidae","Euryglossinae","Pachyprosopis grossoscapus"
"Colletidae","Euryglossinae","Pachyprosopis indicans"
"Colletidae","Euryglossinae","Pachyprosopis melanognathus"
"Colletidae","Euryglossinae","Pachyprosopis plebeia"
"Colletidae","Euryglossinae","Pachyprosopis sternotricha"
"Colletidae","Euryglossinae","Pachyprosopis xanthometopa"
"Colletidae","Hylaeinae","Palaeorhiza mandibularis"
"Colletidae","Hylaeinae","Palaeorhiza disrupta"
"Colletidae","Hylaeinae","Palaeorhiza turneriana"
"Colletidae","Hylaeinae","Palaeorhiza parallela"
"Colletidae","Hylaeinae","Palaeorhiza viridifrons"
"Colletidae","Hylaeinae","Palaeorhiza basilura"
"Colletidae","Hylaeinae","Palaeorhiza reginarum"
"Colletidae","Neopasiphaeinae","Anthoglossa callander"
"Colletidae","Neopasiphaeinae","Anthoglossa montana"
"Colletidae","Neopasiphaeinae","Anthoglossa nigrocincta"
"Colletidae","Paracolletinae","Paracolletes brevicornis"
"Colletidae","Paracolletinae","Paracolletes rebellis"
"Halictidae","Halictinae","Patellapis stirlingi"
"Halictidae","Nomiinae","Reepenia bituberculata"
"Halictidae","Halictinae","Sphecodes profugus"
"Colletidae","Euryglossinae","Stenohesma nomadiformis"
"Stenotritidae",NA,"Stenotritus greavesi"
"Stenotritidae",NA,"Stenotritus pubescens"
"Stenotritidae",NA,"Stenotritus rufocollaris"
"Apidae","Apinae","Thyreus lugubris"
"Apidae","Apinae","Thyreus macleayi"
"Apidae","Apinae","Thyreus rotundatus"
"Apidae","Apinae","Thyreus sicarius"
"Colletidae","Neopasiphaeinae","Trichocolletes burnsi"
"Colletidae","Neopasiphaeinae","Trichocolletes chrysostomus"
"Colletidae","Neopasiphaeinae","Trichocolletes dives"
"Colletidae","Neopasiphaeinae","Trichocolletes dowerinensis"
"Colletidae","Neopasiphaeinae","Trichocolletes eremophilae"
"Colletidae","Neopasiphaeinae","Trichocolletes erythrurus"
"Colletidae","Neopasiphaeinae","Trichocolletes hackeri"
"Colletidae","Neopasiphaeinae","Trichocolletes latifrons"
"Colletidae","Neopasiphaeinae","Trichocolletes marginatus"
"Colletidae","Neopasiphaeinae","Trichocolletes pulcherrimus"
"Colletidae","Neopasiphaeinae","Trichocolletes sericeus"
"Colletidae","Neopasiphaeinae","Trichocolletes tenuiculus"
"Colletidae","Euryglossinae","Tumidihesma flaviceps"
"Colletidae","Euryglossinae","Tumidihesma tridentata"
"Colletidae","Euryglossinae","Xanthesma clara"
"Colletidae","Euryglossinae","Xanthesma deloschema"
"Colletidae","Euryglossinae","Xanthesma euxesta"
"Colletidae","Euryglossinae","Xanthesma lucida"
"Colletidae","Euryglossinae","Xanthesma lukinsiana"
"Colletidae","Euryglossinae","Xanthesma megacephala"
"Colletidae","Euryglossinae","Xanthesma nukarnensis"
"Colletidae","Euryglossinae","Xanthesma baringa"
"Colletidae","Euryglossinae","Xanthesma infuscata"
"Colletidae","Euryglossinae","Xanthesma isae"
"Colletidae","Euryglossinae","Xanthesma levis"
"Colletidae","Euryglossinae","Xanthesma newmanensis"
"Colletidae","Euryglossinae","Xanthesma robusta"
"Colletidae","Euryglossinae","Xanthesma striolata"
"Colletidae","Euryglossinae","Xanthesma tuberculata"
"Colletidae","Euryglossinae","Xanthesma argosomata"
"Colletidae","Euryglossinae","Xanthesma brachycera"
"Colletidae","Euryglossinae","Xanthesma dasycephala"
"Colletidae","Euryglossinae","Xanthesma lasiosomata"
"Colletidae","Euryglossinae","Xanthesma lutea"
"Colletidae","Euryglossinae","Xanthesma merredensis"
"Colletidae","Euryglossinae","Xanthesma nigrior"
"Colletidae","Euryglossinae","Xanthesma trisulca"
"Colletidae","Euryglossinae","Xanthesma vittata"
"Colletidae","Euryglossinae","Xanthesma clethrosema"
"Colletidae","Euryglossinae","Xanthesma clypearis"
"Colletidae","Euryglossinae","Xanthesma evansi"
"Colletidae","Euryglossinae","Xanthesma melanoclypearis"
"Colletidae","Euryglossinae","Xanthesma scutellaris"
"Colletidae","Euryglossinae","Xanthesma stagei"
"Colletidae","Euryglossinae","Xanthesma villosula"
"Apidae","Xylocopinae","Xylocopa aerata"
"Apidae","Xylocopinae","Xylocopa artifex"
"Apidae","Apinae","Amegilla garrula"
"Apidae","Xylocopinae","Xylocopa phalothorax"
"Apidae","Apinae","Amegilla fimbriata"
"Apidae","Apinae","Amegilla andrewsi"
"Apidae","Apinae","Thygater aethiops"
"Apidae","Apinae","Tetragonula valdezi"
"Apidae","Apinae","Anthophora orotavae"
"Apidae","Xylocopinae","Xylocopa minor"
"Apidae","Apinae","Amegilla urens"
"Apidae","Xylocopinae","Xylocopa dejeanii"
"Apidae","Xylocopinae","Xylocopa ruficeps"
"Apidae","Xylocopinae","Xylocopa subvirescens"
"Apidae","Apinae","Centris eurypatana"
"Apidae","Apinae","Anthophora hilaris"
"Apidae","Xylocopinae","Manuelia gayi"
"Apidae","Xylocopinae","Xylocopa darwini"
"Apidae","Nomadinae","Nomada malayana"
"Apidae","Apinae","Bombus mckayi"
"Apidae","Xylocopinae","Ceratina collusor"
"Apidae","Apinae","Exomalopsis bruesi"
"Apidae","Xylocopinae","Xylocopa myops"
"Apidae","Apinae","Anthophora dalmatica"
"Apidae","Apinae","Anthophora affinis"
"Apidae","Apinae","Tetraloniella alticincta"
"Apidae","Xylocopinae","Ceratina nautlana"
"Apidae","Apinae","Ancyloscelis melanostoma"
"Apidae","Nomadinae","Nomada affabilis"
"Apidae","Apinae","Eulaema pseudocingulata"
"Apidae","Apinae","Melecta curvispina"
"Apidae","Apinae","Bombus ganjsuensis"
"Apidae","Apinae","Amegilla violacea"
"Apidae","Apinae","Tetraloniella dentata"
"Apidae","Apinae","Melissoptila chilena"
"Apidae","Apinae","Melecta duodecimmaculata"
"Apidae","Apinae","Amegilla subinsularis"
"Apidae","Apinae","Anthophora pulverosa"
"Apidae","Apinae","Tetralonia malvae"
"Apidae","Xylocopinae","Xylocopa mixta"
"Apidae","Xylocopinae","Ceratina loquata"
"Apidae","Apinae","Melitomella schwarzi"
"Apidae","Apinae","Amegilla confusa"
"Apidae","Apinae","Eufriesea venusta"
"Apidae","Apinae","Anthophora testaceipes"
"Apidae","Xylocopinae","Allodape interrupta"
"Apidae","Apinae","Peponapis fervens"
"Apidae","Apinae","Scaptotrigona barrocoloradensis"
"Apidae","Apinae","Tetraloniella salicariae"
"Apidae","Apinae","Exomalopsis jenseni"
"Apidae","Xylocopinae","Xylocopa simillima"
"Apidae","Apinae","Oxytrigona flaveola"
"Apidae","Apinae","Diadasia bosqi"
"Apidae","Apinae","Eucera helvola"
"Apidae","Nomadinae","Nomada mauritanica"
"Apidae","Xylocopinae","Xylocopa mendozana"
"Apidae","Apinae","Amegilla subcoerulea"
"Apidae","Apinae","Thyreus histrio"
"Apidae","Apinae","Geotrigona mattogrossensis"
"Apidae","Apinae","Melissoptila tandilensis"
"Apidae","Apinae","Centris perforator"
"Apidae","Apinae","Amegilla zonata"
"Apidae","Apinae","Tetraloniella duvaucelii"
"Apidae","Xylocopinae","Xylocopa funesta"
"Apidae","Xylocopinae","Ceratina muscatella"
"Apidae","Xylocopinae","Ceratina cognata"
"Apidae","Apinae","Eucera dalmatica"
"Apidae","Xylocopinae","Braunsapis maxschwarzi"
"Apidae","Apinae","Amegilla mucorea"
"Apidae","Xylocopinae","Ceratina acuta"
"Apidae","Nomadinae","Epeolus bischoffi"
"Apidae","Apinae","Frieseomelitta paupera"
"Apidae","Apinae","Centris dentata"
"Apidae","Apinae","Plebeia margaritae"
"Apidae","Apinae","Amegilla acraensis"
"Apidae","Xylocopinae","Ceratina nigroaenea"
"Apidae","Apinae","Frieseomelitta meadewaldoi"
"Apidae","Apinae","Amegilla dizona"
"Apidae","Apinae","Centris festiva"
"Apidae","Xylocopinae","Ceratina rupestris"
"Apidae","Apinae","Tetrapedia clypeata"
"Apidae","Apinae","Leptometriella tucumana"
"Apidae","Apinae","Tetragona kaieteurensis"
"Apidae","Apinae","Tetraloniella nursei"
"Apidae","Apinae","Trigonisca longitarsis"
"Apidae","Apinae","Amegilla ochroleuca"
"Apidae","Xylocopinae","Ceratina schwarzi"
"Apidae","Xylocopinae","Ceratina dentiventris"
"Apidae","Apinae","Amegilla fasciata"
"Apidae","Apinae","Epicharis rustica"
"Apidae","Apinae","Peponapis citrullina"
"Apidae","Apinae","Trigonopedia oligotricha"
"Apidae","Xylocopinae","Xylocopa viridis"
"Apidae","Apinae","Trigona branneri"
"Apidae","Apinae","Amegilla comberi"
"Apidae","Xylocopinae","Ceratina binghami"
"Apidae","Xylocopinae","Xylocopa lachnea"
"Apidae","Xylocopinae","Xylocopa wilmattae"
"Apidae","Apinae","Exomalopsis auropilosa"
"Apidae","Apinae","Anthophora tricolor"
"Apidae","Apinae","Partamona peckolti"
"Apidae","Apinae","Partamona nigrior"
"Apidae","Xylocopinae","Ceratina catamarcensis"
"Apidae","Apinae","Melipona baeri"
"Apidae","Apinae","Melipona obscurior"
"Apidae","Apinae","Melissoptila dama"
"Apidae","Apinae","Thyreus surniculus"
"Apidae","Xylocopinae","Braunsapis breviceps"
"Apidae","Xylocopinae","Braunsapis cupulifera"
"Apidae","Xylocopinae","Braunsapis lyrata"
"Apidae","Apinae","Eucera tricincta"
"Apidae","Nomadinae","Triepeolus osiriformis"
"Apidae","Xylocopinae","Xylocopa ordinaria"
"Apidae","Apinae","Eucera pomona"
"Apidae","Apinae","Amegilla niveocincta"
"Apidae","Xylocopinae","Ceratina bispinosa"
"Apidae","Apinae","Anthophora leucopyga"
"Apidae","Xylocopinae","Xylocopa nigrocincta"
"Apidae","Xylocopinae","Ceratina simillima"
"Apidae","Xylocopinae","Ceratina asuncionis"
"Apidae","Apinae","Alloscirtetica ameghinoi"
"Apidae","Apinae","Tarsalia ancyliformis"
"Apidae","Apinae","Eucera obsoleta"
"Apidae","Apinae","Amegilla montivaga"
"Apidae","Apinae","Eucera tegularis"
"Apidae","Apinae","Svastra flavitarsis"
"Apidae","Apinae","Amegilla andresi"
"Apidae","Apinae","Anthophora vidua"
"Apidae","Apinae","Melitomella grisescens"
"Apidae","Apinae","Alloscirtetica basirufa"
"Apidae","Apinae","Amegilla quadrata"
"Apidae","Apinae","Habropoda mimetica"
"Apidae","Nomadinae","Odyneropsis batesi"
"Apidae","Apinae","Homotrigona apicalis"
"Apidae","Nomadinae","Nomada priesneri"
"Apidae","Apinae","Anthophora agama"
"Apidae","Apinae","Anthophora erschowi"
"Apidae","Apinae","Heterotrigona planifrons"
"Apidae","Apinae","Anthophora canescens"
"Apidae","Apinae","Amegilla savignyi"
"Apidae","Nomadinae","Nomada trispinosa"
"Apidae","Apinae","Tetraloniella strigata"
"Apidae","Xylocopinae","Ceratina moderata"
"Apidae","Apinae","Amegilla antimena"
"Apidae","Apinae","Amegilla byssina"
"Apidae","Apinae","Alloscirtetica arrhenica"
"Apidae","Xylocopinae","Ceratina richardsoniae"
"Apidae","Apinae","Paratetrapedia flava"
"Apidae","Apinae","Tetragona truncata"
"Megachilidae","Megachilinae","Atoposmia daleae"
"Apidae","Apinae","Trigonisca atomaria"
"Apidae","Apinae","Osiris pallidus"
"Apidae","Apinae","Trigona dimidiata"
"Apidae","Xylocopinae","Xylocopa mastrucata"
"Apidae","Apinae","Liotrigona voeltzkovi"
"Apidae","Nomadinae","Nomada concolor"
"Apidae","Apinae","Osiris atriventris"
"Apidae","Apinae","Centris brethesi"
"Apidae","Apinae","Tarsalia deccana"
"Apidae","Apinae","Centris obsoleta"
"Apidae","Apinae","Eucera taurica"
"Apidae","Apinae","Anthophora rivolleti"
"Apidae","Xylocopinae","Ceratina bryanti"
"Apidae","Apinae","Amegilla farinosa"
"Apidae","Apinae","Chalepogenus calceolariae"
"Apidae","Apinae","Plebeia mosquito"
"Apidae","Apinae","Exomalopsis fulvofasciata"
"Apidae","Nomadinae","Sphecodopsis vespericena"
"Apidae","Apinae","Anthophora calcarata"
"Apidae","Apinae","Osiris barrocoloradensis"
"Apidae","Xylocopinae","Ceratina parvula"
"Apidae","Apinae","Anthophora podagra"
"Apidae","Apinae","Thyreus ramosellus"
"Apidae","Apinae","Nannotrigona mellaria"
"Apidae","Apinae","Partamona grandipennis"
"Apidae","Nomadinae","Triepeolus vicinus"
"Apidae","Apinae","Thyreus pictus"
"Apidae","Apinae","Centris poecila"
"Apidae","Apinae","Nannotrigona punctata"
"Apidae","Nomadinae","Nomada glaucopis"
"Apidae","Apinae","Centris collaris"
"Apidae","Apinae","Tetragonisca buchwaldi"
"Apidae","Apinae","Amegilla velocissima"
"Apidae","Apinae","Partamona mourei"
"Apidae","Apinae","Eulaema tenuifasciata"
"Apidae","Apinae","Geotrigona chiriquiensis"
"Apidae","Nomadinae","Nomada linsenmaieri"
"Apidae","Xylocopinae","Ceratina loewi"
"Apidae","Apinae","Anthophora larvata"
"Apidae","Xylocopinae","Ceratina morrensis"
"Apidae","Apinae","Thyreus elegans"
"Apidae","Apinae","Thyreus hyalinatus"
"Apidae","Apinae","Pachymelus ciliatus"
"Apidae","Xylocopinae","Xylocopa aurulenta"
"Apidae","Xylocopinae","Xylocopa imitator"
"Apidae","Apinae","Tetraloniella decora"
"Apidae","Apinae","Bombus obtusus"
"Apidae","Apinae","Tetraloniella pollinosa"
"Apidae","Apinae","Eucera punctatissima"
"Apidae","Apinae","Bombus himalayanus"
"Apidae","Apinae","Trigonopedia glaberrima"
"Apidae","Apinae","Anthophora melanognatha"
"Apidae","Apinae","Paratetrapedia leucostoma"
"Apidae","Apinae","Centris obscurior"
"Apidae","Xylocopinae","Xylocopa varipes"
"Apidae","Xylocopinae","Xylocopa torrida"
"Apidae","Xylocopinae","Exoneuridia libanensis"
"Apidae","Apinae","Centris unifasciata"
"Apidae","Apinae","Amegilla cincta"
"Apidae","Apinae","Anthophora dubia"
"Apidae","Xylocopinae","Xylocopa sarawatica"
"Apidae","Xylocopinae","Xylocopa calens"
"Apidae","Apinae","Svastrides bauni"
"Apidae","Apinae","Euglossa cyanea"
"Apidae","Xylocopinae","Braunsapis lateralis"
"Apidae","Apinae","Melipona brachychaeta"
"Apidae","Apinae","Anthophora andicola"
"Apidae","Apinae","Thyreus ramosus"
"Apidae","Apinae","Ptilothrix plumata"
"Apidae","Apinae","Melipona paraensis"
"Apidae","Apinae","Paratetrapedia nigrispinis"
"Apidae","Apinae","Alepidosceles filitarsis"
"Apidae","Apinae","Anthophora turcomannica"
"Apidae","Xylocopinae","Ceratina citriphila"
"Apidae","Apinae","Centris geminata"
"Apidae","Nomadinae","Nomada cruenta"
"Apidae","Apinae","Amegilla korotonensis"
"Apidae","Nomadinae","Triepeolus wilsoni"
"Apidae","Apinae","Eucera grandis"
"Apidae","Apinae","Tetraloniella glauca"
"Apidae","Apinae","Anthophora femorata"
"Apidae","Apinae","Scaptotrigona jujuyensis"
"Apidae","Apinae","Anthophora robusta"
"Apidae","Apinae","Melecta fulgida"
"Apidae","Apinae","Melissodes cubensis"
"Apidae","Nomadinae","Nomada polemediana"
"Apidae","Apinae","Tetraloniella graja"
"Apidae","Apinae","Eucera hispaliensis"
"Apidae","Nomadinae","Ammobates mavromoustakisi"
"Apidae","Xylocopinae","Xylocopa transitoria"
"Apidae","Apinae","Amegilla borneensis"
"Apidae","Apinae","Melissoptila thoracica"
"Apidae","Apinae","Paratrigona prosopiformis"
"Apidae","Apinae","Euglossa gibbosa"
"Apidae","Apinae","Melissodes bruneri"
"Apidae","Nomadinae","Nomada cherkesiana"
"Apidae","Apinae","Eucera aequata"
"Apidae","Apinae","Anthophora tridentella"
"Apidae","Apinae","Anthophora senescens"
"Apidae","Apinae","Habropoda hookeri"
"Apidae","Apinae","Amegilla penicula"
"Apidae","Apinae","Anthophora sergia"
"Apidae","Apinae","Pachymelus limbatus"
"Apidae","Apinae","Centris aethyctera"
"Apidae","Apinae","Osiris stenolobus"
"Apidae","Xylocopinae","Xylocopa peruana"
"Apidae","Apinae","Amegilla latizona"
"Apidae","Apinae","Paratetrapedia klugi"
"Apidae","Apinae","Leiopodus lacertinus"
"Apidae","Xylocopinae","Xylocopa rotundiceps"
"Apidae","Xylocopinae","Xylocopa apicalis"
"Apidae","Apinae","Eucera seminuda"
"Apidae","Apinae","Tetraloniella ataxia"
"Apidae","Apinae","Amegilla vivida"
"Apidae","Apinae","Centris bicornuta"
"Apidae","Apinae","Anthophora moricei"
"Apidae","Apinae","Melipona puncticollis"
"Apidae","Xylocopinae","Ceratina stilbonota"
"Apidae","Apinae","Paratetrapedia fervida"
"Apidae","Apinae","Anthophora patruelis"
"Apidae","Apinae","Eucera jacoti"
"Apidae","Xylocopinae","Xylocopa tegulata"
"Apidae","Xylocopinae","Ceratina cladura"
"Apidae","Apinae","Eucera caspica"
"Apidae","Nomadinae","Ammobatoides scriptus"
"Apidae","Apinae","Eucera cassandra"
"Apidae","Apinae","Scaptotrigona ochrotricha"
"Apidae","Apinae","Eucera distinguenda"
"Apidae","Apinae","Ptilothrix vulpihirta"
"Apidae","Apinae","Dactylurina schmidti"
"Apidae","Apinae","Amegilla puttalama"
"Apidae","Apinae","Amegilla atrocincta"
"Apidae","Apinae","Chalepogenus perimelaena"
"Apidae","Nomadinae","Epeolus intermedius"
"Apidae","Apinae","Thyreus picaron"
"Apidae","Apinae","Eufriesea duckei"
"Apidae","Apinae","Eufriesea elegans"
"Apidae","Apinae","Amegilla fallax"
"Apidae","Apinae","Eucera hispana"
"Apidae","Apinae","Habropoda zonatula"
"Apidae","Apinae","Centris toroi"
"Apidae","Apinae","Mesonychium jenseni"
"Apidae","Apinae","Anthophora dispar"
"Apidae","Apinae","Melipona schwarzi"
"Apidae","Apinae","Habropoda deiopea"
"Apidae","Xylocopinae","Ceratina apatela"
"Apidae","Xylocopinae","Ceratina dallatorreana"
"Apidae","Apinae","Centris caxiensis"
"Apidae","Apinae","Melissoptila bonaerensis"
"Apidae","Xylocopinae","Xylocopa caribea"
"Apidae","Xylocopinae","Xylocopa chlorina"
"Apidae","Xylocopinae","Xylocopa bentoni"
"Apidae","Apinae","Bombus braccatus"
"Apidae","Xylocopinae","Ceratina nigrolabiata"
"Apidae","Nomadinae","Epeolus odyneroides"
"Apidae","Nomadinae","Nomada subcornuta"
"Apidae","Xylocopinae","Xylocopa rufipes"
"Apidae","Xylocopinae","Xylocopa lateritia"
"Apidae","Apinae","Amegilla mesopyrrha"
"Apidae","Xylocopinae","Ceratina mocsaryi"
"Apidae","Apinae","Exomalopsis mourei"
"Apidae","Apinae","Paratrigona ornaticeps"
"Apidae","Apinae","Trigonisca discolor"
"Apidae","Nomadinae","Triepeolus antiguensis"
"Apidae","Nomadinae","Nomada hakonensis"
"Apidae","Xylocopinae","Ceratina flavipes"
"Apidae","Xylocopinae","Ceratina iwatai"
"Apidae","Apinae","Tetraloniella mitsukurii"
"Apidae","Apinae","Eucera spurcatipes"
"Apidae","Apinae","Amegilla florea"
"Apidae","Nomadinae","Triepeolus ventralis"
"Apidae","Nomadinae","Epeolus japonicus"
"Apidae","Apinae","Cemolobus ipomoeae"
"Apidae","Xylocopinae","Ceratina unimaculata"
"Apidae","Xylocopinae","Xylocopa chinensis"
"Apidae","Xylocopinae","Xylocopa abbotti"
"Apidae","Apinae","Amegilla insularis"
"Apidae","Xylocopinae","Xylocopa flavonigrescens"
"Apidae","Xylocopinae","Ceratina unicolor"
"Apidae","Xylocopinae","Xylocopa nix"
"Apidae","Xylocopinae","Ceratina cyaniventris"
"Apidae","Apinae","Amegilla canifrons"
"Apidae","Nomadinae","Nomada lutea"
"Apidae","Xylocopinae","Xylocopa ocellaris"
"Apidae","Apinae","Anthophora crassipes"
"Apidae","Apinae","Chalepogenus nigripes"
"Apidae","Apinae","Melipona interrupta"
"Apidae","Xylocopinae","Ceratina guarnacciana"
"Apidae","Apinae","Centris flavilabris"
"Apidae","Apinae","Thygater mexicana"
"Apidae","Apinae","Thyreus affinis"
"Apidae","Apinae","Chalepogenus rufipes"
"Apidae","Xylocopinae","Ceratina lieftincki"
"Apidae","Apinae","Eucera dimidiata"
"Apidae","Nomadinae","Nomada adusta"
"Apidae","Nomadinae","Odyneropsis apicalis"
"Apidae","Apinae","Habropoda sichuanensis"
"Apidae","Apinae","Exomalopsis fumipennis"
"Apidae","Apinae","Amegilla spilostoma"
"Apidae","Nomadinae","Nomada errans"
"Apidae","Nomadinae","Nomada furvoides"
"Apidae","Nomadinae","Nomada braunsiana"
"Apidae","Nomadinae","Epeolus schummelii"
"Apidae","Apinae","Thyreus wallacei"
"Apidae","Xylocopinae","Xylocopa similis"
"Apidae","Nomadinae","Nomada annulata"
"Apidae","Xylocopinae","Braunsapis clarihirta"
"Apidae","Apinae","Amegilla binghami"
"Apidae","Apinae","Epicharis conica"
"Apidae","Nomadinae","Epeolus pulchellus"
"Apidae","Xylocopinae","Ceratina fuliginosa"
"Apidae","Xylocopinae","Xylocopa fuliginata"
"Apidae","Nomadinae","Nomada erigeronis"
"Apidae","Xylocopinae","Xylocopa albiceps"
"Apidae","Xylocopinae","Xylocopa amazonica"
"Apidae","Xylocopinae","Xylocopa bombiformis"
"Apidae","Apinae","Bombus butteli"
"Apidae","Xylocopinae","Brevineura clarissima"
"Apidae","Nomadinae","Nomada banksi"
"Apidae","Xylocopinae","Ceratina perforatrix"
"Apidae","Apinae","Centris mourei"
"Apidae","Apinae","Melecta caroli"
"Apidae","Xylocopinae","Ceratina polita"
"Apidae","Apinae","Melipona mondury"
"Apidae","Xylocopinae","Xylocopa iridipennis"
"Apidae","Nomadinae","Nomada trapeziformis"
"Apidae","Xylocopinae","Ceratina callosa"
"Apidae","Apinae","Anthophora pilifrons"
"Apidae","Xylocopinae","Xylocopa barbatella"
"Apidae","Apinae","Anthophora fulvitarsis"
"Apidae","Apinae","Amegilla pendleburyi"
"Apidae","Xylocopinae","Xylocopa bluethgeni"
"Apidae","Apinae","Anthophora footei"
"Apidae","Nomadinae","Nomada piccioliana"
"Apidae","Xylocopinae","Xylocopa amauroptera"
"Apidae","Apinae","Cleptotrigona cubiceps"
"Apidae","Xylocopinae","Xylocopa rufidorsum"
"Apidae","Xylocopinae","Ceratina dimidiata"
"Apidae","Apinae","Trigonisca schulthessi"
"Apidae","Apinae","Peponapis limitaris"
"Apidae","Apinae","Thygater cockerelli"
"Apidae","Apinae","Peponapis atrata"
"Apidae","Apinae","Paratetrapedia albilabris"
"Apidae","Xylocopinae","Ceratina belizensis"
"Apidae","Apinae","Paratrigona guatemalensis"
"Apidae","Xylocopinae","Ceratina mexicana"
"Apidae","Apinae","Trigonisca mixteca"
"Apidae","Apinae","Tetragona mayarum"
"Apidae","Apinae","Plebeia llorentei"
"Apidae","Apinae","Gaesischia mexicana"
"Apidae","Apinae","Epicharis albofasciata"
"Apidae","Apinae","Exomalopsis compta"
"Apidae","Xylocopinae","Ceratina viridicincta"
"Apidae","Apinae","Monoeca mexicana"
"Apidae","Apinae","Thygater crawfordi"
"Apidae","Apinae","Paratetrapedia flavopicta"
"Apidae","Xylocopinae","Xylocopa tenuata"
"Apidae","Apinae","Centris ruthannae"
"Apidae","Apinae","Plebeia fulvopilosa"
"Apidae","Apinae","Centris agiloides"
"Apidae","Xylocopinae","Ceratina rufipes"
"Apidae","Apinae","Exomalopsis arida"
"Apidae","Apinae","Eucera sociabilis"
"Apidae","Nomadinae","Epeolus boliviensis"
"Apidae","Nomadinae","Triopasites spinifera"
"Apidae","Xylocopinae","Xylocopa rufitarsis"
"Apidae","Apinae","Thyreus calceatus"
"Apidae","Apinae","Anthophora ponomarevae"
"Apidae","Apinae","Florilegus purpurascens"
"Apidae","Apinae","Anthophora sichelii"
"Apidae","Apinae","Habropoda imitatrix"
"Apidae","Nomadinae","Nomada gruenwaldti"
"Apidae","Apinae","Trigona braueri"
"Apidae","Xylocopinae","Ceratina kosemponis"
"Apidae","Apinae","Eucera pekingensis"
"Apidae","Apinae","Bombus irisanensis"
"Apidae","Apinae","Centris laticincta"
"Apidae","Apinae","Amegilla capeverdensis"
"Apidae","Apinae","Melipona nigrescens"
"Apidae","Apinae","Centris maculifrons"
"Apidae","Apinae","Anthophora hispanica"
"Apidae","Apinae","Anthophora dufourii"
"Apidae","Nomadinae","Triepeolus balteatus"
"Apidae","Xylocopinae","Ceratina satoi"
"Apidae","Xylocopinae","Xylocopa insularis"
"Apidae","Apinae","Elaphropoda nigrotarsa"
"Apidae","Apinae","Habropoda pekinensis"
"Apidae","Apinae","Amegilla himalajensis"
"Apidae","Apinae","Eucera lanuginosa"
"Apidae","Apinae","Amegilla capensis"
"Apidae","Nomadinae","Triepeolus obliteratus"
"Apidae","Apinae","Nannotrigona tristella"
"Apidae","Xylocopinae","Xylocopa grubaueri"
"Apidae","Apinae","Melissodes cestus"
"Apidae","Apinae","Centris ferruginea"
"Apidae","Apinae","Pariotrigona pendleburyi"
"Apidae","Apinae","Thygater rubricata"
"Apidae","Apinae","Anthophora nigriceps"
"Apidae","Apinae","Amegilla caelestina"
"Apidae","Apinae","Bombus eurythorax"
"Apidae","Apinae","Centris lanipes"
"Apidae","Apinae","Eufriesea nigrescens"
"Apidae","Apinae","Tetrapedia alfkeni"
"Apidae","Xylocopinae","Allodape stellarum"
"Apidae","Apinae","Eucera zeta"
"Apidae","Apinae","Anthophora borealis"
"Apidae","Apinae","Bombus morawitzi"
"Apidae","Apinae","Bombus branickii"
"Apidae","Nomadinae","Nomada pulchra"
"Apidae","Apinae","Osiris opsionomus"
"Apidae","Xylocopinae","Xylocopa calcarata"
"Apidae","Xylocopinae","Xylocopa bruesi"
"Apidae","Apinae","Oxytrigona daemoniaca"
"Apidae","Apinae","Bombus genalis"
"Apidae","Xylocopinae","Xylocopa capitata"
"Apidae","Nomadinae","Nomada sanguinea"
"Apidae","Nomadinae","Nomada pectoralis"
"Apidae","Apinae","Tetraloniella nana"
"Apidae","Xylocopinae","Xylocopa modesta"
"Apidae","Xylocopinae","Ceratina bilobata"
"Apidae","Xylocopinae","Ceratina inermis"
"Apidae","Apinae","Anthophora matopensis"
"Apidae","Xylocopinae","Ceratina liliputana"
"Apidae","Apinae","Eufriesea laniventris"
"Apidae","Apinae","Eufriesea venezolana"
"Apidae","Apinae","Paratrigona pannosa"
"Apidae","Apinae","Frieseomelitta portoi"
"Apidae","Apinae","Duckeola pavani"
"Apidae","Apinae","Eufriesea eburneocincta"
"Apidae","Apinae","Euglossa platymera"
"Apidae","Apinae","Eufriesea auripes"
"Apidae","Apinae","Eufriesea purpurata"
