"n_points","one_area","lon","lat"
244,"ABT",-114.510958568539,55.1684723807867
35,"AFG",66.0265386412317,33.8389029584524
134,"AGE",-61.2580494710071,-32.6006442730187
82,"AGS",-68.8774552299484,-44.0978424141613
137,"AGW",-66.361195637048,-29.1495922323319
165,"ALA",-86.8286159791812,32.79475014493
28,"ALB",20.0683724218817,41.1425463651034
49,"ALG",2.6323623281518,28.1633545039387
53,"ALT",84.1307323760221,51.9681623933529
7,"ALU",-166.881541410824,53.6695308340704
6,"AMU",127.725448712213,53.3999227911698
3,"AND",92.8911524603031,12.8593029807763
35,"ANG",17.5723791326654,-12.3353479160884
636,"ARI",-111.657596311162,34.296696160239
145,"ARK",-92.4423574860374,34.9008434728857
1,"ARU",-69.9771331341252,12.5166873647665
116,"ASK",-153.144198960678,64.7199447009562
20,"ASS",92.8519454786523,25.4827162021944
460,"AUT",14.1304950058485,47.5920478023901
10,"AZO",-25.4853740437781,37.7980369686353
5,"BAH",-78.0402285043353,24.7011427206852
134,"BAL",2.96507749030632,39.6050279498581
13,"BAN",90.2533759907731,23.8755651977545
7,"BEN",2.34325993091846,9.64765271576535
1,"BER",-64.7526512270832,32.3092866892349
390,"BGM",4.7731525290163,50.576268003232
10,"BKN",-1.73983426861345,12.2779218603589
94,"BLR",28.0469657134402,53.5402220978746
278,"BLT",24.5506084452662,56.6261457652618
60,"BLZ",-88.6967316731952,17.2094672937152
170,"BOL",-64.6705398631343,-16.7151134545928
23,"BOR",114.213742147339,0.860675432136752
24,"BOT",23.8150747669626,-22.1820458629888
352,"BRC",-124.587706605378,54.9749930391519
11,"BRY",109.50254109567,53.5544605906404
86,"BUL",25.2313766968894,42.7613530162318
4,"BUR",29.8868107489339,-3.35630423392434
175,"BZC",-54.2944268549755,-15.2979918057715
147,"BZE",-41.729245267235,-8.63740446390338
232,"BZL",-45.4812468781928,-19.7215022749436
233,"BZN",-59.3875028696185,-4.68763311025493
188,"BZS",-52.2673219419795,-27.5691993264811
9,"CAF",20.4827678380325,6.57144768126955
745,"CAL",-119.588035863053,37.2487348380913
13,"CBD",104.923844147317,12.7165238892982
1,"CGS",72.4333572134483,-7.32758306062606
1,"CHA",18.6646037470627,15.3611376971534
63,"CHC",104.640891032109,28.5173689628768
8,"CHH",109.741984810455,19.2010382935473
9,"CHI",113.554835271425,43.7969759236067
10,"CHM",126.499794743927,45.7529296940186
56,"CHN",109.454869014577,37.4276107124697
2,"CHQ",96.046848071752,35.7734291360749
56,"CHS",114.414205892508,28.09461443501
4,"CHT",88.1184165369773,31.7123009975077
6,"CHX",85.250962079391,41.1231666604256
180,"CLC",-71.5036080057133,-34.9679393920644
191,"CLM",-73.071974093208,3.90042495492076
154,"CLN",-69.4377069302331,-23.8691169971086
52,"CLS",-72.7755401437487,-46.8500798444898
7,"CMN",12.7433323278469,5.68585240080611
303,"CNT",-72.727580952981,41.6257430845081
52,"CNY",-16.5531263426661,28.2787968682106
531,"COL",-105.533703867672,38.9991465282603
1,"COM",43.3416211163706,-11.6662720501722
3,"CON",15.224272450812,-0.840074753921297
1,"COO",-159.787535907896,-21.22240220213
143,"COR",9.10531229559529,42.1581898141404
171,"COS",-84.1881736596486,9.97037495310276
198,"CPP",22.5068998251338,-30.9045010358021
4,"CPV",23.2570038321918,-17.9203439356117
1,"CRL",158.229255162526,6.87903873353735
10,"CTA",116.200825674351,52.8406913987185
2,"CTM",-176.548985967975,-43.9140613565487
14,"CUB",-78.9628482191619,21.609484806345
3,"CVI",-23.6350932194793,15.0717703161322
59,"CYP",33.2186782489208,35.0430031260375
314,"CZE",16.909665735466,49.3511762679205
140,"DEL",-75.5128100622778,38.9981406667242
186,"DEN",9.31653706290074,56.0365015862266
14,"DOM",-70.4896242773706,18.8963755875772
78,"EAI",26.2491951374186,39.1639026420737
1,"EAS",-109.347118629715,-27.1226251679646
166,"ECU",-78.3860176785817,-1.44865639296861
63,"EGY",29.5310284355851,26.3577311613533
19,"EHM",92.910947231148,27.7971154750712
34,"ELS",-88.8667034433149,13.7366662015766
1,"ERI",38.8440897310643,15.3563183845388
4,"ETH",39.6160194028935,8.62614057073986
12,"FIJ",177.971636715837,-17.8244484029219
234,"FIN",26.2907900220468,64.5191348698162
236,"FLA",-82.4881592702951,28.6633347271637
1,"FOR",-6.98012351103768,62.1280417582325
627,"FRA",2.45571644093812,46.6313966928279
3,"FRG",-53.2412685218214,3.9243828465969
9,"GAB",11.7987712869817,-0.590629548062398
1,"GAL",-91.1868558876698,-0.570521172363703
3,"GAM",-15.3856269585529,13.4529393970896
250,"GEO",-83.4477557152381,32.6550696125727
510,"GER",10.3808862800419,51.0908880745059
1,"GGI",8.69695366844095,3.4830137329946
8,"GHA",-1.20705012541602,7.9596392971977
1,"GNB",-14.9288034739844,12.0503568944424
4,"GNL",-41.4584023138823,74.7465041668321
234,"GRB",-2.52178137108607,53.9491845358292
209,"GRC",22.5896147600912,39.4771840734804
14,"GST",54.3377281162307,23.9090761926906
102,"GUA",-90.3569444261172,15.7023063772567
2,"GUI",-10.9418402551131,10.4385395507998
72,"GUY",-58.9743446661569,4.79171639892016
8,"HAI",-72.6691347250327,18.9345219898599
68,"HAW",-155.504714169278,19.6097813724634
74,"HON",-86.6193855846966,14.8170827276327
165,"HUN",19.413515050076,47.1665173032314
7,"ICE",-18.6057191171288,64.9976484093725
391,"IDA",-114.653926910298,44.3967187693313
416,"ILL",-89.1547189404101,40.1211151426486
65,"IND",78.3836103201184,21.7270106565712
284,"INI",-86.2853588431265,39.9138230898015
238,"IOW",-93.4964007536704,42.0786311542652
106,"IRE",-7.89109288290697,53.4247306573245
24,"IRK",106.358441815362,57.0966549124899
175,"IRN",54.3000081394094,32.5711317695261
2,"IRQ",43.7722378025088,33.0480146199538
415,"ITA",12.1566488299697,43.5271367237071
1,"IVO",-5.55713114081785,7.63492714286937
7,"JAM",-77.3197483419439,18.1513285664702
127,"JAP",137.973834238872,36.641927533454
20,"JAW",109.941094448486,-7.30144969356146
17,"KAM",162.99287655383,58.9395606794127
310,"KAN",-98.3692505571985,38.4836346289764
39,"KAZ",67.3028601186939,48.1603064635514
48,"KEN",37.8567008418484,0.530737679098995
69,"KGZ",74.5554919317363,41.4649086910564
5,"KHA",137.127728462511,54.5842160850359
59,"KOR",127.471353692823,38.5845898555556
31,"KRA",95.8622377924506,66.7835891414465
107,"KRI",24.8473830901474,35.2296639352322
48,"KRY",34.3248095028101,45.2748252382269
168,"KTY",-85.2857337518055,37.5279555932482
1,"KUR",147.831535582324,45.0435369035645
4,"KUW",47.56250394435,29.3213001123301
23,"LAB",-61.971446147835,54.2653359690814
12,"LAO",103.763413192562,18.5024431829668
2,"LBR",-9.3078507373389,6.44811662296438
49,"LBS",38.3725538505867,34.9574423066408
6,"LBY",18.0231817517246,27.0440500889718
9,"LEE",-61.5667403961193,16.2322404530128
21,"LES",28.2428430686821,-29.5810053095258
130,"LOU",-92.0251771354107,31.0829010175909
13,"LSI",125.110854449603,-9.25340340064239
17,"MAG",163.923167770844,64.9335615270953
275,"MAI",-69.2319758398082,45.401975352196
175,"MAN",-97.430057574458,54.9264893340105
331,"MAS",-71.835970482412,42.2763908965165
1,"MAU",57.5641263896958,-20.2814337262353
30,"MDG",46.7039283299811,-19.3778918237637
9,"MDR",-16.9854890618153,32.7481214530325
351,"MIC",-85.7362083965803,44.8805100568272
309,"MIN",-94.1991062007267,46.3478740728583
2,"MLI",-3.52435207942076,17.3503627800118
19,"MLW",34.3068680237643,-13.2154619740622
37,"MLY",102.182626532338,4.02927617484502
323,"MNT",-109.623983474793,47.0347924484875
3,"MOL",128.013214739369,0.871173678077169
24,"MON",103.083028961322,46.8352092944088
145,"MOR",-6.31754551796502,31.8841316654742
26,"MOZ",35.5516316772151,-17.2587378578358
2,"MRN",144.775848957932,13.4440174383236
1,"MRQ",-140.138903664845,-8.86879837421909
353,"MRY",-76.8012174574214,39.0487676792999
164,"MSI",-89.6736646653427,32.7568473416631
223,"MSO",-92.4904960503955,38.3743786508946
190,"MXC",-98.5858143460673,19.1310859522561
412,"MXE",-103.060910970456,25.8523633199539
126,"MXG",-96.4046253238572,19.3758236180062
372,"MXN",-111.365774016349,28.4986285219423
228,"MXS",-100.693713099572,18.8439125828613
180,"MXT",-90.566092859625,18.5036991907447
25,"MYA",96.5136449198243,21.1975811641223
90,"NAM",17.0718969289539,-22.2355395737689
90,"NAT",30.6986344292482,-28.7506275673216
108,"NBR",-66.3757121021158,46.6305687874683
385,"NCA",-79.3989123023686,35.5500811472869
63,"NCS",42.8608954265642,44.3439048088068
265,"NDA",-100.459415164831,47.4475007364464
279,"NEB",-99.7921475863354,41.5279050127625
15,"NEP",83.9385159954119,28.2530079443218
298,"NET",5.65432119623753,52.2505106119543
466,"NEV",-116.652115797767,39.35827473574
1,"NFK",167.952868826266,-29.0372210267672
48,"NFL",-56.0471751390293,48.7146630266275
13,"NGA",8.10556403520478,9.59515786698841
1,"NGR",9.39765057342478,17.4263234649247
70,"NIC",-85.0348894676779,12.8398365253841
2,"NLA",-68.967485532322,12.187800523521
11,"NNS",127.978073434665,26.5055785422828
202,"NOR",13.9590574081397,64.2165972046861
173,"NSC",-63.9455666395198,44.9017506436683
162,"NSW",147.018787493838,-32.1803122916188
77,"NTA",133.370750078592,-19.4791346058218
14,"NUN",-98.5858130692534,65.9078145373998
5,"NWC",165.486649908777,-21.329495821637
6,"NWG",140.929156692426,-5.3421203097917
312,"NWH",-71.5792793009595,43.6899951124599
292,"NWJ",-74.6646392786248,40.1925796083337
512,"NWM",-106.107687651316,34.4230642412026
50,"NWT",-119.527344341753,64.3433902137164
364,"NWY",-75.7623849362631,43.0536631817103
18,"NZN",175.729388402027,-38.5891536106968
21,"NZS",170.51276153889,-43.9883145037944
39,"OFS",26.864332182712,-28.610143932355
2,"OGA",142.213452933476,27.0666530478189
308,"OHI",-82.7072823770972,40.4155279712784
201,"OKL",-97.5098144486815,35.5843719563657
11,"OMA",56.1032984217135,20.5741077555572
340,"ONT",-85.8358951613031,50.0724012845157
440,"ORE",-120.540827760087,43.9402951471895
53,"PAK",68.7892662113187,29.3569045045941
166,"PAL",36.3761965201476,31.3079181009263
152,"PAN",-80.0938795615429,8.51386759332363
89,"PAR",-58.3909507298045,-23.2361280486312
53,"PEI",-63.2449284664214,46.3961817062624
326,"PEN",-77.8395011751733,40.8984368445746
224,"PER",-74.3754045761536,-9.16377219218952
8,"PHI",121.427511623718,15.9456788096573
260,"POL",19.4009186971338,52.124725079062
208,"POR",-7.96236768767771,39.692002959779
20,"PRM",134.715846960604,45.1686221405491
13,"PUE",-66.481052209889,18.2231604119141
165,"QLD",144.537138398619,-22.5786083372924
171,"QUE",-71.8020177594155,53.4000753960291
1,"REU",55.5382127382244,-21.1216294616684
51,"RHO",-71.5938745035758,41.6972002258142
99,"ROM",24.9691823210858,45.8435979584203
133,"RUC",39.802456976027,54.8837384236107
132,"RUE",53.7307387640321,56.1233185204287
173,"RUN",45.8416338465439,64.4814749414617
53,"RUS",44.6727094547746,48.9195003965665
156,"RUW",31.2417618293088,58.7801284381319
3,"RWA",29.9171952320553,-1.99798731089451
9,"SAK",142.712075465482,50.3342598997315
1,"SAM",-172.435493663133,-13.6348747659941
48,"SAR",9.03342266217268,40.0910407731262
160,"SAS",-105.890054825689,54.4192275666097
5,"SAU",44.5863745583142,24.0255198969714
228,"SCA",-80.9006253901229,33.917670196674
5,"SCI",-149.38553894642,-17.6786749442114
288,"SDA",-100.219856219862,44.4375636737731
3,"SEN",-14.4681770800393,14.3669773880791
1,"SEY",55.4720158356167,-4.65960098006379
55,"SIC",14.1498834693489,37.5872905236395
2,"SIE",-11.7842757235595,8.56924864740421
6,"SIN",33.7683173562978,29.7037184336116
128,"SOA",135.820060887754,-30.0759347395419
1,"SOL",155.312150202084,-6.23558615640817
1,"SOM",45.8625531908691,6.06370578417781
399,"SPA",-3.55166694710617,40.3942469632541
20,"SRL",80.7064179435785,7.60510701250474
1,"STH",-5.71727531536277,-15.9620245931256
7,"SUD",30.0869607848298,13.8871013826258
13,"SUL",121.120610516142,-1.99816654135129
17,"SUM",101.519895159201,-0.448735193258108
62,"SUR",-55.9115894319155,4.12670756691328
1,"SWC",-86.4725181983587,16.3701795025735
282,"SWE",16.7336576301726,62.8422397680887
535,"SWI",8.234648454355,46.8026973095978
6,"SWZ",31.4971933802794,-26.5621157952588
27,"TAI",120.961950717109,23.7512429247051
38,"TAN",34.8081026588912,-6.27091383663544
53,"TAS",146.598394594824,-42.0283888163536
123,"TCS",45.583123884837,41.0142085600118
227,"TEN",-86.3475290205824,35.8510520439185
513,"TEX",-99.3611754503322,31.502187203249
79,"THA",101.020374857673,15.1444742281223
7,"TKM",59.3845077239058,39.1222465642426
35,"TRT",-61.2917841238183,10.4164736354807
12,"TUE",27.3192715157186,41.2760214397929
66,"TUN",9.55564250569342,34.1113393396093
283,"TUR",35.4377457855836,38.9886152339789
4,"TVA",94.7930874112701,51.5794704651509
107,"TVL",28.0782668528064,-25.2657105085142
4,"TZK",71.0421842815838,38.5278157718137
14,"UGA",32.3862406489586,1.28008215043002
326,"UKR",31.1139055720002,49.0678362334153
18,"URU",-56.0121776666733,-32.7995689073339
627,"UTA",-111.674632441582,39.3252038427349
23,"UZB",63.1695090771501,41.7504205916446
4,"VAN",166.849697711972,-15.2350880008458
115,"VEN",-66.1795991227866,7.11494808916577
312,"VER",-72.6598001489334,44.0824796184365
135,"VIC",144.305902062351,-36.8548429883516
21,"VIE",106.303051448976,16.6676667240901
5,"VNA",-64.0654069406865,11.0013283810674
330,"VRG",-78.8820377019681,37.5198239464792
1,"WAL",-178.126903976276,-14.2833172455991
392,"WAS",-120.413430687735,47.3807400855562
155,"WAU",122.180685419594,-25.4692660464152
43,"WDC",-77.0095895819215,38.9116104747962
50,"WHM",76.6731670305632,33.3215967981451
9,"WIN",-61.0214787801499,14.652789083954
257,"WIS",-89.7383890196258,44.64217153578
87,"WSB",73.2437691466257,61.4833162306541
285,"WVA",-80.6119546376237,38.6412399837596
418,"WYO",-107.539865412086,42.9989877837462
15,"YAK",129.924453060909,65.9181129506747
3,"YEM",47.5729469831517,15.838157654968
225,"YUG",18.760927717912,44.1622001478045
92,"YUK",-135.496965556632,63.6338044564611
32,"ZAI",23.6549634526329,-2.8760902395538
40,"ZAM",27.7978813817583,-13.4530789108575
70,"ZIM",29.8717624734008,-19.0000069105666
