"family","tribe","tips","sociality","nest"
"Andrenidae","Andreninini","Andrena_vaga","solitary","ground"
"Andrenidae","Andreninini","Andrena_erythrogaster","solitary","ground"
"Andrenidae","Andreninini","Andrena_carlini","solitary","ground"
"Andrenidae","Andreninini","Andrena_pruni","solitary","ground"
"Andrenidae","Andreninini","Andrena_transnigra","solitary","ground"
"Andrenidae","Andreninini","Andrena_dunningi","solitary","ground"
"Andrenidae","Andreninini","Andrena_regularis","solitary","ground"
"Andrenidae","Andreninini","Andrena_perplexa","solitary","ground"
"Andrenidae","Andreninini","Andrena_barbara","solitary","ground"
"Andrenidae","Andreninini","Andrena_cineraria","solitary","ground"
"Andrenidae","Andreninini","Andrena_barbareae","solitary","ground"
"Andrenidae","Andreninini","Andrena_fedtschenkoi","solitary","ground"
"Andrenidae","Andreninini","Andrena_osmioides","solitary","ground"
"Andrenidae","Andreninini","Andrena_albopunctata","solitary","ground"
"Andrenidae","Andreninini","Andrena_macra","solitary","ground"
"Andrenidae","Andreninini","Andrena_torulosa","solitary","ground"
"Andrenidae","Andreninini","Andrena_bicolorata","solitary","ground"
"Andrenidae","Andreninini","Andrena_florentina","solitary","ground"
"Andrenidae","Andreninini","Andrena_nigroaenea","solitary","ground"
"Andrenidae","Andreninini","Andrena_elmaria","solitary","ground"
"Andrenidae","Andreninini","Andrena_pyrozonata","solitary","ground"
"Andrenidae","Andreninini","Andrena_parathoracica","solitary","ground"
"Andrenidae","Andreninini","Andrena_watasei","solitary","ground"
"Andrenidae","Andreninini","Andrena_thoracica","solitary","ground"
"Andrenidae","Andreninini","Andrena_nitida","solitary","ground"
"Andrenidae","Andreninini","Andrena_limata","solitary","ground"
"Andrenidae","Andreninini","Andrena_flavipes","solitary","ground"
"Andrenidae","Andreninini","Andrena_notophila","solitary","ground"
"Andrenidae","Andreninini","Andrena_vachali","solitary","ground"
"Andrenidae","Andreninini","Andrena_gravida","solitary","ground"
"Andrenidae","Andreninini","Andrena_sigiella","solitary","ground"
"Andrenidae","Andreninini","Andrena_chrysopyga","solitary","ground"
"Andrenidae","Andreninini","Andrena_fuscocalcarata","solitary","ground"
"Andrenidae","Andreninini","Andrena_morio","solitary","ground"
"Andrenidae","Andreninini","Andrena_commoda","solitary","ground"
"Andrenidae","Andreninini","Andrena_nivalis","solitary","ground"
"Andrenidae","Andreninini","Andrena_vicina","solitary","ground"
"Andrenidae","Andreninini","Andrena_dentata","solitary","ground"
"Andrenidae","Andreninini","Andrena_sagittagalea","solitary","ground"
"Andrenidae","Andreninini","Andrena_ziziaeformis","solitary","ground"
"Andrenidae","Andreninini","Andrena_violae","solitary","ground"
"Andrenidae","Andreninini","Andrena_algida","solitary","ground"
"Andrenidae","Andreninini","Andrena_ruficrus","solitary","ground"
"Andrenidae","Andreninini","Andrena_astragali","solitary","ground"
"Andrenidae","Andreninini","Andrena_tridens","solitary","ground"
"Andrenidae","Andreninini","Andrena_distans","solitary","ground"
"Andrenidae","Andreninini","Andrena_geranii","solitary","ground"
"Andrenidae","Andreninini","Andrena_lawrencei","solitary","ground"
"Andrenidae","Andreninini","Andrena_misella","solitary","ground"
"Andrenidae","Andreninini","Andrena_nigrocaerulea","solitary","ground"
"Andrenidae","Andreninini","Andrena_caerulea","solitary","ground"
"Andrenidae","Andreninini","Andrena_nigrihirta","solitary","ground"
"Andrenidae","Andreninini","Andrena_erigeniae","solitary","ground"
"Andrenidae","Andreninini","Andrena_luridiloma","solitary","ground"
"Andrenidae","Andreninini","Andrena_fulvida","solitary","ground"
"Andrenidae","Andreninini","Andrena_bicolor","solitary","ground"
"Andrenidae","Andreninini","Andrena_allosa","solitary","ground"
"Andrenidae","Andreninini","Andrena_amieti","solitary","ground"
