"species","n_bio_1","mean_bio_1","sd_bio_1","se_bio_1","within_sp_var_bio_1"
"Lasioglossum_holochlorum","17","16.776471","3.467263","0.840935","0.806696"
"Hylaeus_ruficeps","28","19.525","4.006072","0.757076","0.48978"
"Nomia_rubroviridis","9","25.355556","2.657118","0.885706","1.52376"
"Bombus_flavifrons","429","3.642191","5.819293","0.280958","0.031967"
"Bombus_perplexus","396","5.887374","4.372913","0.219747","0.034631"
"Bombus_rufocinctus","566","6.360601","3.553269","0.149355","0.024229"
"Melissodes_druriellus","227","10.532159","3.864609","0.256503","0.060413"
"Melissodes_illatus","65","8.170769","3.576517","0.443612","0.210982"
"Melissodes_bimaculatus","375","13.434133","4.744161","0.244987","0.03657"
"Bombus_sitkensis","136","6.755882","4.591308","0.393701","0.100837"
"Melissodes_subillatus","66","10.278788","3.425089","0.421599","0.207785"
"Bombus_variabilis","126","14.729365","4.52016","0.402688","0.10884"
"Melissodes_compositus","40","11.9775","3.52482","0.557323","0.342846"
"Melissodes_bicoloratus","17","13.470588","5.127349","1.243565","0.806696"
"Melissodes_lustrus","35","11.502857","3.323401","0.561757","0.391824"
"Melissodes_lupinus","70","11.872857","3.93435","0.470245","0.195912"
"Melissodes_tessellatus","13","19.053846","4.407118","1.222315","1.054911"
"Melissodes_expolitus","4","19.85","3.081666","1.540833","3.428459"
"Melissodes_interruptus","19","19.784211","3.63811","0.83464","0.721781"
"Melissodes_lutulentus","55","9.516364","3.815503","0.514482","0.249342"
"Melissodes_appressus","18","16.305556","4.06831","0.95891","0.76188"
"Melissodes_gelidus","32","13.128125","3.755103","0.663815","0.428557"
"Melissodes_perpolitus","14","12.5","3.410617","0.911526","0.97956"
"Melissodes_melanurus","8","14.575","4.511493","1.595054","1.71423"
"Melissodes_velutinus","10","14.86","2.407027","0.761169","1.371384"
"Melissodes_tinctus","24","16.204167","3.800284","0.77573","0.57141"
"Melissodes_paululus","10","14.74","3.462883","1.09506","1.371384"
"Melissodes_fasciatellus","23","14.186957","3.280286","0.683987","0.596254"
"Melissodes_semilupinus","36","11.316667","3.485029","0.580838","0.38094"
"Nomada_imbricata","84","11.214286","3.70077","0.403787","0.16326"
"Nomada_luteoloides","102","10.182353","3.0984","0.306787","0.134449"
"Apis_dorsata","376","25.332713","2.467197","0.127236","0.036473"
"Axestotrigona_erythra","6","21.95","2.105944","0.859748","2.285639"
"Amegilla_calva","14","23.057143","3.071135","0.820795","0.97956"
"Amegilla_chlorocyanea","224","19.927679","3.762685","0.251405","0.061222"
"Plebeiella_lendliana","11","22.081818","2.396171","0.722473","1.246712"
"Melissodes_nigroaeneus","20","20.41","3.257364","0.728369","0.685692"
"Eulaema_speciosa","16","21.6625","2.880017","0.720004","0.857115"
"Axestotrigona_ferruginea","27","21.974074","2.277244","0.438256","0.50792"
"Ceratina_okinawana","3","22.733333","1.270171","0.733334","4.571279"
"Bombus_muscorum","319","8.460502","2.929766","0.164035","0.04299"
"Xylocopa_micheneri","24","21.341667","3.463464","0.706977","0.57141"
"Bombus_laesus","37","6.986486","3.437713","0.565157","0.370644"
"Bombus_californicus","197","8.867513","5.478135","0.390301","0.069613"
"Amegilla_scymna","1","18.8",NA,NA,"13.713837"
"Amegilla_indistincta","4","23.1","2.925748","1.462874","3.428459"
"Amegilla_karlba","4","27.475","0.434933","0.217467","3.428459"
"Amegilla_paeninsulae","2","26","0.424264","0.3","6.856918"
"Amegilla_viridicingulata","1","25.5",NA,NA,"13.713837"
"Apis_florea","260","25.929615","2.430455","0.15073","0.052746"
"Austrothurgus_rubricatus","26","23.584615","3.842675","0.753611","0.527455"
"Bombus_impatiens","566","11.459364","5.323091","0.223746","0.024229"
"Braunsapis_occidentalis","4","19.3","2.325224","1.162612","3.428459"
"Hylaeus_cyanurus","1","20.1",NA,NA,"13.713837"
"Bombus_fraternus","265","15.035094","3.897145","0.2394","0.05175"
"Megachile_aethiops","18","24.65","4.164027","0.981471","0.76188"
"Tetragonula_clypearis","8","25.525","0.557418","0.197077","1.71423"
"Trichocolletes_albigenae","5","16.2","1.16619","0.521536","2.742767"
"Trichocolletes_avialis","1","26.3",NA,NA,"13.713837"
"Trichocolletes_centralis","3","19.633333","2.324507","1.342055","4.571279"
"Trichocolletes_nitens","2","18.5","0.282843","0.2","6.856918"
"Trichocolletes_orientalis","22","16.609091","2.631478","0.561033","0.623356"
"Bombus_crotchii","46","14.91087","5.347906","0.788506","0.298127"
"Bombus_morrisoni","226","10.935398","4.41772","0.293862","0.060681"
"Melissodes_microstictus","550","13.662727","6.053882","0.258138","0.024934"
"Bombus_bifarius","327","6.268502","4.731161","0.261634","0.041938"
"Bombus_fervidus","657","9.01933","4.005161","0.156256","0.020873"
"Bombus_appositus","225","7.167111","3.719157","0.247944","0.06095"
"Bombus_vosnesenskii","213","8.210798","5.541126","0.379672","0.064384"
"Bombus_ephippiatus","100","16.772","4.860209","0.486021","0.137138"
"Anthophora_urbana","239","12.007113","5.41512","0.350275","0.05738"
"Bombus_mexicanus","27","22.144444","3.268537","0.62903","0.50792"
"Bombus_terricola","508","5.069291","3.938051","0.174723","0.026996"
"Bombus_sonorus","204","17.411765","4.704883","0.329408","0.067225"
"Bombus_steindachneri","51","20.8","3.474018","0.48646","0.268899"
"Bombus_mixtus","395","3.485316","5.566646","0.280088","0.034719"
"Bombus_huntii","448","8.903571","4.418214","0.208741","0.030611"
"Bombus_melanopygus","406","4.842857","6.48893","0.32204","0.033778"
"Bombus_caliginosus","64","13.114062","3.463316","0.432914","0.214279"
"Bombus_centralis","295","6.958305","4.220495","0.245727","0.046488"
"Bombus_griseocollis","723","10.918811","4.73119","0.175955","0.018968"
"Bombus_diligens","42","18.997619","3.494908","0.539276","0.32652"
"Bombus_auricomus","301","11.178405","3.531982","0.20358","0.045561"
"Trigona_nigerrima","57","23.34386","2.826849","0.374425","0.240594"
"Melissodes_agilis","317","11.767823","4.220291","0.237035","0.043261"
"Nomada_denticulata","74","11.137838","2.96189","0.344313","0.185322"
"Nomada_articulata","162","10.824074","3.552058","0.279076","0.084653"
"Epeolus_autumnalis","40","10.7475","3.210798","0.507672","0.342846"
"Ceratina_calcarata","246","11.193496","3.785876","0.241379","0.055747"
"Nomada_fabriciana","189","9.409524","1.929699","0.140365","0.07256"
"Nomada_ferruginata","106","8.895283","1.999304","0.19419","0.129376"
"Bombus_ternarius","475","5.008211","3.199314","0.146795","0.028871"
"Bombus_bimaculatus","502","10.61992","4.964557","0.221579","0.027318"
"Scaptotrigona_mexicana","46","22.284783","3.223798","0.475323","0.298127"
"Xylocopa_tabaniformis","198","17.559091","4.605833","0.327322","0.069262"
"Xylocopa_micans","151","19.278146","2.465601","0.200648","0.09082"
"Bombus_pauloensis","158","18.967722","3.179798","0.252971","0.086796"
"Xylocopa_sonorina","146","19.913699","4.299264","0.35581","0.09393"
"Bombus_insularis","440","5.2625","4.580465","0.218365","0.031168"
"Bombus_nevadensis","415","7.646024","4.257494","0.208992","0.033045"
"Trigona_fulviventris","192","23.449479","3.280292","0.236735","0.071426"
"Bombus_cryptarum","440","2.973182","5.507138","0.262543","0.031168"
"Xylocopa_flavorufa","101","19.917822","2.598053","0.258516","0.135781"
"Bombus_pensylvanicus","703","14.259459","4.85165","0.182983","0.019508"
"Bombus_vagans","510","7.106471","3.616348","0.160135","0.02689"
"Bombus_citrinus","259","8.86139","3.481131","0.216307","0.052949"
"Ptilothrix_bombiformis","174","15.440805","3.138591","0.237936","0.078815"
"Bombus_affinis","218","9.65367","3.395281","0.229957","0.062908"
"Scaptotrigona_pectoralis","70","23.842857","2.952747","0.352921","0.195912"
"Xylocopa_fimbriata","110","23.865455","3.357162","0.320093","0.124671"
"Nannotrigona_perilampoides","119","23.177311","3.535472","0.324096","0.115242"
"Melissodes_desponsus","228","10.383772","3.102685","0.20548","0.060148"
"Centris_rhodopus","78","19.797436","3.563013","0.403432","0.175818"
"Anthophora_terminalis","354","6.849435","4.071279","0.216386","0.03874"
"Bombus_flavidus","562","3.82153","4.030244","0.170006","0.024402"
"Eulaema_polychroma","147","22.315646","3.604995","0.297335","0.093291"
"Nomada_fervida","33","15.645455","5.814642","1.012199","0.415571"
"Melissoptila_otomita","29","22.268966","3.050188","0.566406","0.472891"
"Habropoda_laboriosa","162","16.457407","3.5911","0.282143","0.084653"
"Anthophora_edwardsii","60","12.755","4.154207","0.536306","0.228564"
"Bombus_ashtoni","226","4.884071","4.254024","0.282973","0.060681"
"Svastra_obliqua","368","14.03587","4.225783","0.220284","0.037266"
"Brachymelecta_californica","213","13.248357","5.276547","0.361543","0.064384"
"Habropoda_depressa","37","14.213514","3.077802","0.505988","0.370644"
"Anthophora_californica","232","17.135776","4.708026","0.309097","0.059111"
"Diadasia_bituberculata","39","14.635897","3.243332","0.519349","0.351637"
"Bombus_borealis","390","5.12359","2.83443","0.143527","0.035164"
"Bombus_frigidus","314","0.134076","5.02664","0.28367","0.043675"
"Diadasia_enavata","187","14.875936","4.797659","0.35084","0.073336"
"Anthophora_montana","109","13.044037","4.391647","0.420643","0.125815"
"Anthophora_occidentalis","107","11.562617","4.798162","0.463856","0.128167"
"Xylocopa_californica","198","16.492929","5.125694","0.364267","0.069262"
