"species","n_bio_17","mean_bio_17","sd_bio_17","se_bio_17","within_sp_var_bio_17"
"Lasioglossum_holochlorum","17","130.705882","61.470282","14.908733","283.905168"
"Hylaeus_ruficeps","28","55.892857","46.051774","8.702967","172.370995"
"Nomia_rubroviridis","9","45.444444","48.101744","16.033915","536.265318"
"Bombus_flavifrons","429","74.062937","74.559882","3.599785","11.250321"
"Bombus_perplexus","396","139.406566","80.255944","4.033013","12.187848"
"Bombus_rufocinctus","566","86.729682","66.981276","2.815433","8.527187"
"Melissodes_druriellus","227","153.185022","80.368186","5.334224","21.261621"
"Melissodes_illatus","65","183.246154","68.429715","8.487662","74.252121"
"Melissodes_bimaculatus","375","163.853333","78.524749","4.055001","12.870368"
"Bombus_sitkensis","136","127.183824","113.95608","9.771653","35.488146"
"Melissodes_subillatus","66","175.590909","68.580997","8.441737","73.127089"
"Bombus_variabilis","126","146.420635","75.158005","6.695607","38.304666"
"Melissodes_compositus","40","37.025","36.980582","5.847143","120.659697"
"Melissodes_bicoloratus","17","26.058824","18.188151","4.411275","283.905168"
"Melissodes_lustrus","35","38.8","42.904682","7.252215","137.896796"
"Melissodes_lupinus","70","25.414286","19.184454","2.292981","68.948398"
"Melissodes_tessellatus","13","7.923077","12.539681","3.477882","371.260605"
"Melissodes_expolitus","4","16.5","7.325754","3.662877","1206.596966"
"Melissodes_interruptus","19","27.736842","31.752239","7.284463","254.020414"
"Melissodes_lutulentus","55","37.818182","15.280211","2.060383","87.752507"
"Melissodes_appressus","18","18.388889","14.361464","3.38503","268.132659"
"Melissodes_gelidus","32","53.0625","40.445054","7.149743","150.824621"
"Melissodes_perpolitus","14","35.785714","13.238514","3.538142","344.74199"
"Melissodes_melanurus","8","13.625","10.689614","3.779349","603.298483"
"Melissodes_velutinus","10","10.8","8.270429","2.615339","482.638786"
"Melissodes_tinctus","24","207.083333","49.543057","10.112934","201.099494"
"Melissodes_paululus","10","17.1","16.934186","5.35506","482.638786"
"Melissodes_fasciatellus","23","30","12.996503","2.709958","209.842951"
"Melissodes_semilupinus","36","35.583333","22.404559","3.734093","134.06633"
"Nomada_imbricata","84","209.738095","59.541444","6.496504","57.456998"
"Nomada_luteoloides","102","195.078431","67.837705","6.716934","47.317528"
"Apis_dorsata","376","114.933511","164.455379","8.481139","12.836138"
"Axestotrigona_erythra","6","36.5","85.073498","34.73111","804.397977"
"Amegilla_calva","14","30.357143","32.829647","8.774092","344.74199"
"Amegilla_chlorocyanea","224","50.267857","44.155551","2.950267","21.546374"
"Plebeiella_lendliana","11","85.909091","84.847457","25.582471","438.762533"
"Melissodes_nigroaeneus","20","187.55","133.859107","29.931806","241.319393"
"Eulaema_speciosa","16","331.9375","169.611112","42.402778","301.649241"
"Axestotrigona_ferruginea","27","81.703704","86.8136","16.707285","178.755106"
"Ceratina_okinawana","3","433.333333","64.578118","37.284194","1608.795954"
"Bombus_muscorum","319","139.056426","62.397614","3.493596","15.129743"
"Xylocopa_micheneri","24","43.625","49.321318","10.067672","201.099494"
"Bombus_laesus","37","73.189189","38.23817","6.286316","130.442915"
"Bombus_californicus","197","54.954315","43.477451","3.09764","24.499431"
"Amegilla_scymna","1","43",NA,NA,"4826.387862"
"Amegilla_indistincta","4","102.75","54.689274","27.344637","1206.596966"
"Amegilla_karlba","4","6.25","7.182154","3.591077","1206.596966"
"Amegilla_paeninsulae","2","31.5","14.849242","10.5","2413.193931"
"Amegilla_viridicingulata","1","59",NA,NA,"4826.387862"
"Apis_florea","260","39.373077","77.926577","4.832801","18.56303"
"Austrothurgus_rubricatus","26","54.923077","65.835506","12.911405","185.630302"
"Bombus_impatiens","566","160.825088","80.999068","3.404645","8.527187"
"Braunsapis_occidentalis","4","32.5","18.699376","9.349688","1206.596966"
"Hylaeus_cyanurus","1","91",NA,NA,"4826.387862"
"Bombus_fraternus","265","139.626415","88.134883","5.414083","18.212784"
"Megachile_aethiops","18","17.666667","21.608822","5.093248","268.132659"
"Tetragonula_clypearis","8","115.5","173.551145","61.359596","603.298483"
"Trichocolletes_albigenae","5","83.4","21.96133","9.821405","965.277572"
"Trichocolletes_avialis","1","10",NA,NA,"4826.387862"
"Trichocolletes_centralis","3","49","13.747727","7.937254","1608.795954"
"Trichocolletes_nitens","2","44","0","0","2413.193931"
"Trichocolletes_orientalis","22","134.5","48.495213","10.339214","219.381266"
"Bombus_crotchii","46","11.543478","12.540967","1.849065","104.921475"
"Bombus_morrisoni","226","39.278761","35.374155","2.353054","21.355699"
"Melissodes_microstictus","550","77.552727","75.697485","3.227752","8.775251"
"Bombus_bifarius","327","58.204893","42.546736","2.35284","14.759596"
"Bombus_fervidus","657","89.435312","75.677101","2.952445","7.3461"
"Bombus_appositus","225","59.191111","33.842649","2.256177","21.450613"
"Bombus_vosnesenskii","213","59.004695","56.009728","3.837723","22.659098"
"Bombus_ephippiatus","100","56.53","62.212483","6.221248","48.263879"
"Anthophora_urbana","239","34.041841","26.947941","1.743117","20.194091"
"Bombus_mexicanus","27","55.333333","61.263617","11.790189","178.755106"
"Bombus_terricola","508","121.377953","77.040902","3.418137","9.500764"
"Bombus_sonorus","204","39.691176","44.619439","3.123986","23.658764"
"Bombus_steindachneri","51","25.333333","30.077012","4.211624","94.635056"
"Bombus_mixtus","395","74.387342","73.763508","3.711445","12.218703"
"Bombus_huntii","448","64.366071","61.606058","2.910613","10.773187"
"Bombus_melanopygus","406","84.157635","86.937098","4.314616","11.887655"
"Bombus_caliginosus","64","39.703125","44.391719","5.548965","75.41231"
"Bombus_centralis","295","50.738983","28.773151","1.675238","16.360637"
"Bombus_griseocollis","723","123.788382","85.187447","3.168155","6.675502"
"Bombus_diligens","42","41.619048","35.522547","5.481248","114.913997"
"Bombus_auricomus","301","135.574751","77.974004","4.494347","16.034511"
"Trigona_nigerrima","57","155.315789","165.285268","21.892569","84.673471"
"Melissodes_agilis","317","73.914826","69.04426","3.877912","15.225198"
"Nomada_denticulata","74","199.486486","66.470355","7.727022","65.221458"
"Nomada_articulata","162","151.17284","79.152466","6.218805","29.792518"
"Epeolus_autumnalis","40","188.875","48.959003","7.741098","120.659697"
"Ceratina_calcarata","246","167.142276","72.9146","4.648865","19.619463"
"Nomada_fabriciana","189","156.68254","51.11496","3.718066","25.536444"
"Nomada_ferruginata","106","131.990566","37.836112","3.674968","45.531961"
"Bombus_ternarius","475","116.08","74.856022","3.43463","10.160817"
"Bombus_bimaculatus","502","159.713147","80.419964","3.589319","9.614318"
"Scaptotrigona_mexicana","46","86.304348","90.014041","13.271846","104.921475"
"Xylocopa_tabaniformis","198","49.373737","60.582131","4.305385","24.375696"
"Xylocopa_micans","151","203.92053","68.894076","5.60652","31.962834"
"Bombus_pauloensis","158","182.28481","123.789172","9.848138","30.546759"
"Xylocopa_sonorina","146","42.280822","83.615354","6.920056","33.057451"
"Bombus_insularis","440","75.136364","63.566008","3.030391","10.969063"
"Bombus_nevadensis","415","61.79759","50.741959","2.490825","11.62985"
"Trigona_fulviventris","192","125.166667","132.652652","9.573381","25.137437"
"Bombus_cryptarum","440","101.047727","63.251676","3.015405","10.969063"
"Xylocopa_flavorufa","101","53.09901","62.421872","6.211208","47.786018"
"Bombus_pensylvanicus","703","115.415363","89.768004","3.385664","6.865417"
"Bombus_vagans","510","130.556863","78.5179","3.476831","9.463506"
"Bombus_citrinus","259","163.123552","71.729467","4.457052","18.634702"
"Ptilothrix_bombiformis","174","201.747126","57.229629","4.338567","27.737861"
"Bombus_affinis","218","161.944954","77.379945","5.240831","22.139394"
"Scaptotrigona_pectoralis","70","97.485714","85.581175","10.228907","68.948398"
"Xylocopa_fimbriata","110","68.163636","93.454746","8.91056","43.876253"
"Nannotrigona_perilampoides","119","79.87395","101.25137","9.281698","40.557881"
"Melissodes_desponsus","228","156.70614","68.803599","4.55663","21.168368"
"Centris_rhodopus","78","15.564103","17.317201","1.960787","61.876767"
"Anthophora_terminalis","354","101.30226","70.711693","3.758284","13.633864"
"Bombus_flavidus","562","112.560498","82.378181","3.474914","8.587879"
"Eulaema_polychroma","147","89.176871","110.568376","9.119526","32.83257"
"Nomada_fervida","33","154.909091","47.064028","8.192796","146.254178"
"Melissoptila_otomita","29","63.482759","53.967994","10.021605","166.427168"
"Habropoda_laboriosa","162","218.314815","54.938302","4.316361","29.792518"
"Anthophora_edwardsii","60","26.516667","22.911393","2.957848","80.439798"
"Bombus_ashtoni","226","126.663717","75.652141","5.032306","21.355699"
"Svastra_obliqua","368","99.353261","83.282849","4.341419","13.115184"
"Brachymelecta_californica","213","40.13615","43.430983","2.975842","22.659098"
"Habropoda_depressa","37","16.108108","15.340186","2.521911","130.442915"
"Anthophora_californica","232","40.163793","45.797965","3.006784","20.803396"
"Diadasia_bituberculata","39","10.384615","9.010565","1.442845","123.753535"
"Bombus_borealis","390","118.405128","76.085731","3.852751","12.375353"
"Bombus_frigidus","314","79.159236","69.909207","3.945205","15.370662"
"Diadasia_enavata","187","47.524064","46.669891","3.41284","25.809561"
"Anthophora_montana","109","33.899083","18.979494","1.817906","44.278788"
"Anthophora_occidentalis","107","46.457944","32.844195","3.175168","45.106429"
"Xylocopa_californica","198","29.681818","42.3975","3.013059","24.375696"
"Melissodes_communis","257","116.093385","89.314703","5.571298","18.779719"
"Bombus_suckleyi","210","73.480952","57.816755","3.989735","22.982799"
"Anthophora_abrupta","176","197.659091","57.554027","4.338298","27.422658"
"Bombus_occidentalis","459","63.675381","53.566402","2.500266","10.515006"
"Anthophora_pacifica","96","33.572917","26.822514","2.737561","50.274874"
"Cephalotrigona_zexmeniae","62","130.274194","132.004492","16.764587","77.844966"
"Xylocopa_flavicollis","61","51.639344","44.310282","5.67335","79.121112"
"Melipona_beecheii","86","87.988372","68.165973","7.350526","56.120789"
"Epeolus_scutellaris","125","166.728","72.734535","6.505575","38.611103"
"Centris_nitida","100","77.51","100.383657","10.038366","48.263879"
"Frieseomelitta_nigra","53","57.471698","52.730302","7.243064","91.063922"
"Bombus_cingulatus","131","97.778626","40.84799","3.568905","36.842655"
"Bombus_pyrosoma","17","16","12.529964","3.038963","283.905168"
"Epeolus_compactus","94","40.595745","41.785762","4.309872","51.344552"
"Melissodes_tepaneca","176","102.090909","89.664854","6.758743","27.422658"
"Eucera_frater","77","42.74026","27.322346","3.11367","62.680362"
"Nomada_gracilis","40","216.1","49.210589","7.780877","120.659697"
"Diadasia_diminuta","247","33.587045","31.208314","1.985737","19.540032"
"Exaerete_frontalis","70","251.242857","192.774212","23.040925","68.948398"
"Melissodes_paroselae","59","27.711864","33.420029","4.350917","81.803184"
"Nomada_texana","153","71.084967","69.57086","5.624471","31.545019"
"Triepeolus_remigatus","128","135.335938","84.863603","7.500954","37.706155"
"Bombus_sylvicola","340","68.838235","66.819709","3.623808","14.195258"
"Bombus_balteatus","183","86.480874","58.21095","4.303077","26.373704"
"Bombus_vandykei","69","36.115942","38.564132","4.642576","69.94765"
"Bombus_jonellus","639","113.86072","72.748554","2.877888","7.553033"
"Bombus_sandersoni","179","155.73743","78.605924","5.875283","26.963061"
"Nomada_ruficornis","296","140.712838","53.530051","3.111371","16.305364"
"Bombus_pascuorum","1082","113.862292","55.36182","1.683049","4.460617"
"Ceratina_mikmaqi","99","171.535354","71.307227","7.166646","48.751393"
"Anthophora_furcata","341","120.372434","54.22024","2.936191","14.15363"
"Nomada_panzeri","380","128.821053","61.482559","3.153989","12.701021"
"Nomada_perplexa","41","199.658537","43.910483","6.857665","117.716777"
"Epeoloides_pilosulus","30","166.366667","76.976254","14.053877","160.879595"
"Nomada_vicina","53","172.849057","73.228409","10.058696","91.063922"
"Nomada_depressa","51","189.647059","83.540367","11.697991","94.635056"
"Nomada_subrutila","6","210.333333","29.581526","12.076607","804.397977"
"Diadasia_australis","149","30.691275","29.680938","2.431557","32.391865"
"Epeolus_olympiellus","22","54.772727","31.517088","6.719466","219.381266"
"Nomada_cuneata","57","197.210526","77.13271","10.216477","84.673471"
"Nomada_sayi","55","178.709091","70.571653","9.51588","87.752507"
"Nomada_hydrophylli","10","130.9","60.244778","19.051072","482.638786"
"Exaerete_smaragdina","127","167.417323","158.871389","14.097556","38.003054"
"Nomada_maculata","102","184.784314","67.545749","6.688026","47.317528"
"Eucera_hamata","109","145.513761","78.775068","7.545283","44.278788"
"Anthophora_bomboides","262","70.912214","62.976946","3.890729","18.421328"
"Melissodes_denticulatus","135","173.474074","62.557535","5.384095","35.751021"
"Ceratina_strenua","164","195.713415","61.199539","4.778881","29.429194"
"Svastra_texana","44","46.204545","55.003416","8.292077","109.690633"
"Centris_caesalpiniae","61","28.327869","16.967342","2.172446","79.121112"
"Ceratina_dupla","190","175.726316","58.131477","4.217301","25.402041"
"Triepeolus_donatus","65","158.538462","67.844048","8.415018","74.252121"
"Melissodes_rivalis","133","53.789474","34.034308","2.951149","36.288631"
"Bombus_hyperboreus","71","62.28169","51.416835","6.102056","67.977294"
"Nomada_cressonii","112","177.017857","72.929311","6.891172","43.092749"
"Melissodes_dentiventris","93","206.258065","66.548103","6.900717","51.896644"
"Bombus_kluanensis","3","50.333333","21.221059","12.251984","1608.795954"
"Epeolus_mesillae","40","15.25","10.702863","1.692271","120.659697"
"Epeolus_pusillus","83","153.253012","83.030239","9.113753","58.149251"
"Zacosmia_maculata","46","18.23913","13.081258","1.928726","104.921475"
"Melissodes_persimilis","21","50","49.979996","10.906529","229.827993"
"Euglossa_imperialis","97","209.123711","163.000911","16.550235","49.756576"
"Bombus_brachycephalus","31","42","41.787558","7.505267","155.689931"
"Epeolus_bifasciatus","118","143.957627","72.377736","6.662911","40.901592"
"Euglossa_viridissima","73","52.561644","53.931022","6.312149","66.114902"
"Coelioxoides_punctipennis","10","88.5","142.736159","45.137137","482.638786"
"Triepeolus_grandis","31","19.516129","9.073298","1.629612","155.689931"
"Nomada_lehighensis","34","219.823529","47.441492","8.136149","141.952584"
"Bombus_natvigi","22","33.272727","20.204153","4.30754","219.381266"
"Xylocopa_mordax","28","173.321429","81.919135","15.481261","172.370995"
"Ceratina_arizonensis","55","21.236364","32.296063","4.3548","87.752507"
"Melissodes_trinodis","137","144.10219","77.681503","6.636779","35.229108"
"Diadasia_ochracea","136","30.669118","28.197204","2.41789","35.488146"
"Ceratina_floridana","43","195.209302","51.753334","7.892309","112.241578"
"Anthophora_curta","158","19.563291","22.045244","1.753825","30.546759"
"Florilegus_condignus","118","124.881356","85.198428","7.843151","40.901592"
"Nomada_bifasciata","94","132.414894","62.30387","6.426154","51.344552"
"Centris_scopipes","14","60.285714","36.133148","9.65699","344.74199"
"Anthophora_exigua","69","31.898551","17.437405","2.099217","69.94765"
"Ericrocis_lata","94","35.382979","40.413483","4.168333","51.344552"
"Anthophora_ursina","137","73.459854","74.618738","6.375109","35.229108"
"Epeolus_minimus","84","50.142857","38.890375","4.243288","57.456998"
"Melipona_quadrifasciata","43","157.488372","110.285856","16.818435","112.241578"
"Triepeolus_verbesinae","35","18.6","29.486986","4.98421","137.896796"
"Melissodes_vernoniae","49","92.367347","58.296546","8.328078","98.497711"
"Anthophora_vallorum","26","26.653846","24.602345","4.824917","185.630302"
"Anthophora_cockerelli","14","9.642857","6.380344","1.705219","344.74199"
"Triepeolus_simplex","40","159.05","69.894774","11.051334","120.659697"
"Anthophora_centriformis","44","15.863636","17.077921","2.574593","109.690633"
"Habropoda_pallida","32","10.53125","7.70833","1.362653","150.824621"
"Anthophora_hololeuca","32","8.40625","8.416035","1.487759","150.824621"
"Eucera_rosae","40","190.95","51.893851","8.205138","120.659697"
"Triepeolus_subalpinus","19","36","19.229607","4.411574","254.020414"
"Centris_mocsaryi","23","146.173913","109.802158","22.895333","209.842951"
"Diadasia_rinconis","186","40.854839","44.439152","3.258437","25.948322"
"Habropoda_tristissima","33","11.545455","14.495885","2.52341","146.254178"
"Diadasia_tuberculifrons","11","5.636364","4.610265","1.390047","438.762533"
"Trigona_truculenta","99","189.252525","187.712511","18.865817","48.751393"
"Lestrimelitta_niitkib","28","84.5","58.852295","11.122038","172.370995"
"Epeolus_americanus","47","52.170213","57.163883","8.338209","102.689103"
"Trigona_guianae","98","241.163265","184.746675","18.662232","49.248856"
"Melipona_subnitida","12","60.333333","79.953775","23.080667","402.198989"
"Eucera_lepida","18","61.444444","49.459695","11.657762","268.132659"
"Triepeolus_melanarius","7","9.857143","11.824108","4.469093","689.48398"
"Anthophora_albata","56","29.839286","14.123838","1.887377","86.185498"
"Melissodes_stearnsi","30","11.933333","13.003801","2.374158","160.879595"
"Partamona_orizabaensis","64","102.234375","125.790547","15.723818","75.41231"
"Anthophora_petrophila","91","24.076923","16.135007","1.691408","53.037229"
"Centris_zacateca","28","23","22.576619","4.26658","172.370995"
"Lestrimelitta_danuncia","8","222.5","143.741832","50.820412","603.298483"
"Centris_mexicana","41","26.682927","18.627183","2.909077","117.716777"
"Martinapis_luteicornis","34","28.264706","14.753138","2.530142","141.952584"
"Centris_hoffmanseggiae","35","10.6","7.109232","1.20168","137.896796"
"Habropoda_cineraria","90","36.055556","22.070042","2.326387","53.626532"
"Anthophora_abroniae","21","9.428571","8.065801","1.760102","229.827993"
"Epicharis_elegans","42","57.404762","59.457326","9.174465","114.913997"
"Melissodes_tristis","189","42.111111","40.451749","2.942432","25.536444"
"Centris_lanosa","44","86.863636","60.428928","9.110004","109.690633"
"Melissodes_montanus","68","42.455882","37.419539","4.537786","70.976292"
"Melissodes_gilensis","48","39.333333","36.16236","5.219587","100.549747"
"Svastra_cressonii","31","76.645161","64.506097","11.585637","155.689931"
"Paratetrapedia_calcarata","43","119.511628","118.771363","18.112463","112.241578"
"Triepeolus_penicilliferus","24","87.916667","57.022434","11.639656","201.099494"
"Melissodes_trifasciatus","5","241.6","96.681436","43.237253","965.277572"
"Centris_tricolor","30","129.2","138.150443","25.222705","160.879595"
"Eucera_edwardsii","77","37.480519","24.088985","2.745195","62.680362"
"Xylocopa_pulchra","1","314",NA,NA,"4826.387862"
"Centris_pallida","51","9.529412","8.331514","1.166645","94.635056"
"Trigona_corvina","77","140.051948","122.517764","13.962195","62.680362"
"Anthophora_maculifrons","54","33.111111","15.578973","2.12003","89.377553"
"Ceratina_cockerelli","44","170.136364","79.906513","12.04636","109.690633"
"Anthophora_flavocincta","24","5.416667","6.142628","1.253859","201.099494"
"Anthophora_porterae","90","32.444444","19.136477","2.017162","53.626532"
"Diadasia_sphaeralcearum","38","17.394737","11.644601","1.889004","127.010207"
"Melissodes_confusus","87","40.770115","22.219152","2.382143","55.475723"
"Scaptotrigona_hellwegeri","39","16.205128","17.602601","2.818672","123.753535"
"Centris_atripes","99","44.747475","48.661963","4.890711","48.751393"
"Melissodes_coreopsis","154","65.045455","53.318054","4.296491","31.340181"
"Partamona_bilineata","84","70.916667","64.497541","7.037259","57.456998"
"Plebeia_pulchra","29","117.310345","70.505878","13.092613","166.427168"
"Melissodes_tepidus","65","21.969231","30.98839","3.843637","74.252121"
"Melissodes_robustior","32","20.625","22.116626","3.909704","150.824621"
"Ancyloscelis_apiformis","78","84.282051","85.447318","9.675004","61.876767"
"Melissodes_bimatris","72","30.013889","18.019155","2.123578","67.033165"
"Melissodes_moorei","7","10.142857","7.988086","3.019213","689.48398"
"Anthophorula_nitens","9","10.111111","23.624375","7.874792","536.265318"
"Melissodes_limbus","51","23.392157","33.256625","4.656859","94.635056"
"Centris_transversa","28","29.678571","31.860871","6.021139","172.370995"
"Anthophora_walshii","75","75.373333","58.133531","6.712682","64.351838"
"Melissodes_grindeliae","46","46","21.588063","3.182986","104.921475"
"Melissodes_subagilis","107","38.476636","31.666703","3.061336","45.106429"
"Anthophorula_albicans","15","9.933333","11.112841","2.869323","321.759191"
"Anthophora_phenax","27","11.592593","10.031716","1.930605","178.755106"
"Diadasia_nigrifrons","40","30.625","22.763767","3.599268","120.659697"
"Exomalopsis_solani","101","27.049505","20.817001","2.071369","47.786018"
"Melissodes_intortus","12","106.75","58.457638","16.875267","402.198989"
"Melissodes_comptoides","148","141.135135","82.401427","6.773356","32.610729"
"Melissodes_thelypodii","79","39.708861","46.223579","5.200559","61.093517"
"Melipona_colimana","2","17","1.414214","1","2413.193931"
"Diadasia_lutzi","85","21.023529","19.733327","2.14038","56.781034"
"Diadasia_afflicta","45","102.955556","64.925466","9.678517","107.253064"
"Diadasia_consociata","19","14.157895","21.73646","4.986686","254.020414"
"Anthophorula_consobrina","13","15","8.679478","2.407254","371.260605"
"Plebeia_frontalis","71","116.732394","138.578493","16.446241","67.977294"
"Plebeia_moureana","15","66.2","68.118804","17.5882","321.759191"
"Diadasia_tropicalis","25","41.16","39.742588","7.948518","193.055514"
"Centris_varia","128","112.109375","133.303882","11.78251","37.706155"
"Anthophora_timberlakei","14","6.857143","3.08488","0.824469","344.74199"
"Ceratina_acantha","93","39.903226","35.986128","3.731588","51.896644"
"Melissodes_pallidisignatus","100","35.92","20.166819","2.016682","48.263879"
"Anthophora_squammulosa","54","28.777778","27.979552","3.807535","89.377553"
"Melissodes_wheeleri","54","105.722222","63.592576","8.653853","89.377553"
"Svastra_sabinensis","64","26.0625","33.179108","4.147388","75.41231"
"Melissodes_boltoniae","35","186.342857","63.951702","10.809811","137.896796"
"Exomalopsis_analis","80","92.575","83.942231","9.385027","60.329848"
"Svastra_duplocincta","30","19.566667","15.734178","2.872655","160.879595"
"Anthophorula_texana","15","144.866667","65.532834","16.920505","321.759191"
"Exomalopsis_similis","56","74","76.951697","10.283103","86.185498"
"Melissodes_verbesinarum","74","21.932432","18.649126","2.167917","65.221458"
"Melitoma_taurea","108","209.87963","51.151729","4.922077","44.688777"
"Anthophorula_compactula","75","36.44","35.249781","4.070294","64.351838"
"Centris_agameta","11","14.636364","10.623302","3.203046","438.762533"
"Melissodes_humilior","17","28.294118","16.657448","4.040025","283.905168"
"Melissodes_micheneri","4","17.5","10.148892","5.074446","1206.596966"
"Melissodes_menuachus","88","39.022727","19.563029","2.085426","54.845317"
"Anthophora_columbariae","14","8.857143","9.485675","2.535153","344.74199"
"Exomalopsis_snowi","26","57.461538","51.501636","10.100302","185.630302"
"Diadasia_knabiana","2","18","12.727922","9","2413.193931"
"Melipona_grandis","54","228.388889","183.487948","24.969547","89.377553"
"Melitoma_marginella","45","82.2","69.343218","10.337077","107.253064"
"Euglossa_townsendi","44","136.318182","145.537939","21.94067","109.690633"
"Xylocopa_gualanensis","37","34.351351","49.575541","8.150169","130.442915"
"Melissodes_utahensis","36","37.944444","17.608349","2.934725","134.06633"
"Epicharis_analis","14","143.142857","101.96595","27.251546","344.74199"
"Eucera_interrupta","36","122.055556","56.940041","9.490007","134.06633"
"Anthophora_estebana","20","14.2","13.153347","2.941178","241.319393"
"Melissodes_glenwoodensis","60","41.05","26.552427","3.427904","80.439798"
"Svastra_machaerantherae","47","28.87234","34.492984","5.031319","102.689103"
"Neolarra_vigilans","36","30.944444","19.991347","3.331891","134.06633"
"Ceratina_pacifica","80","31.2","17.242426","1.927762","60.329848"
"Melipona_costaricensis","15","229.933333","158.368678","40.890617","321.759191"
"Ericrocis_pintada","35","16","10.358287","1.75087","137.896796"
"Eucera_vulpes","8","50.375","30.603163","10.819852","603.298483"
"Centris_decolorata","45","148.822222","76.443172","11.395475","107.253064"
"Anthophora_rhodothorax","14","7.857143","6.981923","1.865997","344.74199"
"Neolarra_californica","38","13.368421","11.867332","1.925135","127.010207"
"Melissodes_dagosus","42","42.5","41.474794","6.3997","114.913997"
"Centris_trigonoides","75","82.76","85.110078","9.827665","64.351838"
"Eucera_actuosa","56","21.535714","19.327761","2.582781","86.185498"
"Melissodes_opuntiellus","21","44.571429","37.023738","8.079242","229.827993"
"Melipona_solani","13","145.615385","86.548193","24.00415","371.260605"
"Anthophorula_euphorbiae","14","13.571429","10.566378","2.823983","344.74199"
"Mesocheira_bicolor","65","90.184615","104.542439","12.966894","74.252121"
"Anthophorula_albata","22","16.5","9.174239","1.955954","219.381266"
"Melissodes_snowii","14","36.428571","8.60871","2.300775","344.74199"
"Anthophora_mortuaria","22","8.772727","9.242407","1.970488","219.381266"
"Xylocopa_muscaria","55","108.854545","153.248457","20.664018","87.752507"
