"species","n_bio_18","mean_bio_18","sd_bio_18","se_bio_18","within_sp_var_bio_18"
"Lasioglossum_holochlorum","17","282.764706","182.986519","44.38075","778.71057"
"Hylaeus_ruficeps","28","141.428571","148.580052","28.078991","472.78856"
"Nomia_rubroviridis","9","465.222222","294.029666","98.009889","1470.897743"
"Bombus_flavifrons","429","143.706294","104.150917","5.028454","30.857995"
"Bombus_perplexus","396","249.616162","72.621398","3.649363","33.429494"
"Bombus_rufocinctus","566","175.713781","96.88904","4.07255","23.388833"
"Melissodes_druriellus","227","263.84141","96.470645","6.402982","58.317532"
"Melissodes_illatus","65","261.953846","53.944541","6.690997","203.662764"
"Melissodes_bimaculatus","375","296.285333","99.204354","5.122891","35.301546"
"Bombus_sitkensis","136","170.823529","157.975708","13.546305","97.338821"
"Melissodes_subillatus","66","283.787879","71.995623","8.862049","200.576965"
"Bombus_variabilis","126","307.063492","143.428909","12.777663","105.064124"
"Melissodes_compositus","40","93.175","78.694439","12.442683","330.951992"
"Melissodes_bicoloratus","17","61.117647","63.433905","15.384982","778.71057"
"Melissodes_lustrus","35","51.571429","65.65699","11.098057","378.230848"
"Melissodes_lupinus","70","35.057143","33.781431","4.037653","189.115424"
"Melissodes_tessellatus","13","47.461538","58.424617","16.204073","1018.313822"
"Melissodes_expolitus","4","127.5","69.553337","34.776668","3309.519922"
"Melissodes_interruptus","19","217.315789","173.130668","39.718899","696.741036"
"Melissodes_lutulentus","55","74.509091","46.467381","6.26566","240.692358"
"Melissodes_appressus","18","64.5","68.914482","16.243299","735.448871"
"Melissodes_gelidus","32","181.125","63.118808","11.157934","413.68999"
"Melissodes_perpolitus","14","85.785714","34.050141","9.100283","945.57712"
"Melissodes_melanurus","8","14.75","10.138329","3.584441","1654.759961"
"Melissodes_velutinus","10","14.4","10.976743","3.471151","1323.807969"
"Melissodes_tinctus","24","347.125","117.73194","24.031932","551.586654"
"Melissodes_paululus","10","17.4","16.714598","5.28562","1323.807969"
"Melissodes_fasciatellus","23","148.826087","54.871463","11.441491","575.568682"
"Melissodes_semilupinus","36","73.694444","54.655712","9.109285","367.724436"
"Nomada_imbricata","84","311.02381","74.876762","8.169725","157.596187"
"Nomada_luteoloides","102","290.205882","70.076103","6.938568","129.785095"
"Apis_dorsata","376","409.625","359.868502","18.558801","35.207659"
"Axestotrigona_erythra","6","249.833333","263.816919","107.702806","2206.346614"
"Amegilla_calva","14","146.285714","65.18663","17.42186","945.57712"
"Amegilla_chlorocyanea","224","129.629464","179.06008","11.963955","59.09857"
"Plebeiella_lendliana","11","285.727273","196.946232","59.381523","1203.46179"
"Melissodes_nigroaeneus","20","451.7","176.232532","39.406792","661.903984"
"Eulaema_speciosa","16","647","274.395335","68.598834","827.37998"
"Axestotrigona_ferruginea","27","311.592593","152.065335","29.264987","490.299248"
"Ceratina_okinawana","3","640","71.8401","41.476901","4412.693229"
"Bombus_muscorum","319","218.244514","78.539357","4.39736","41.498682"
"Xylocopa_micheneri","24","228.583333","111.099218","22.678033","551.586654"
"Bombus_laesus","37","149.972973","60.826934","9.999886","357.785937"
"Bombus_californicus","197","81.005076","75.866861","5.40529","67.198374"
"Amegilla_scymna","1","65",NA,NA,"13238.079686"
"Amegilla_indistincta","4","644.75","217.67158","108.83579","3309.519922"
"Amegilla_karlba","4","270.75","120.566372","60.283186","3309.519922"
"Amegilla_paeninsulae","2","465.5","54.447222","38.5","6619.039843"
"Amegilla_viridicingulata","1","878",NA,NA,"13238.079686"
"Apis_florea","260","237.546154","253.682564","15.732725","50.915691"
