"species","n_bio_10","mean_bio_10","sd_bio_10","se_bio_10","within_sp_var_bio_10"
"Lasioglossum_holochlorum","17","224.294118","37.61111","9.122034","53.693477"
"Hylaeus_ruficeps","28","251","33.809926","6.389475","32.599611"
"Nomia_rubroviridis","9","285.777778","20.5352","6.845067","101.421013"
"Bombus_flavifrons","429","159.032634","41.716319","2.014083","2.127714"
"Bombus_perplexus","396","190.401515","28.710566","1.44276","2.305023"
"Bombus_rufocinctus","566","190.132509","29.845178","1.254486","1.612702"
"Melissodes_druriellus","227","223.418502","27.036622","1.794484","4.021097"
"Melissodes_illatus","65","202.815385","27.287756","3.38463","14.042909"
"Melissodes_bimaculatus","375","244.736","26.634126","1.37538","2.434104"
"Bombus_sitkensis","136","160.477941","33.384842","2.862727","6.711685"
"Melissodes_subillatus","66","220.924242","25.595859","3.150632","13.830138"
"Bombus_variabilis","126","243.547619","38.234143","3.406168","7.244358"
"Melissodes_compositus","40","234.475","22.837203","3.610879","22.819728"
"Melissodes_bicoloratus","17","249.647059","47.464383","11.511804","53.693477"
"Melissodes_lustrus","35","218.971429","28.715118","4.853741","26.079689"
"Melissodes_lupinus","70","220.371429","34.18372","4.085736","13.039845"
"Melissodes_tessellatus","13","268.153846","28.375007","7.869811","70.214547"
"Melissodes_expolitus","4","289","36.769553","18.384777","228.197279"
"Melissodes_interruptus","19","225.263158","33.537445","7.694018","48.041532"
"Melissodes_lutulentus","55","215.545455","32.753184","4.416438","16.596166"
"Melissodes_appressus","18","256.555556","33.925909","7.996413","50.710506"
"Melissodes_gelidus","32","252.59375","25.597202","4.524989","28.52466"
"Melissodes_perpolitus","14","245.285714","28.211914","7.539951","65.199223"
"Melissodes_melanurus","8","233.5","34.608009","12.235779","114.098639"
"Melissodes_velutinus","10","234.6","17.852482","5.645451","91.278912"
"Melissodes_tinctus","24","258.291667","22.718464","4.637387","38.03288"
"Melissodes_paululus","10","235.8","35.08656","11.095344","91.278912"
"Melissodes_fasciatellus","23","243.652174","25.836213","5.387223","39.686483"
"Melissodes_semilupinus","36","232.305556","31.132729","5.188788","25.355253"
"Nomada_imbricata","84","225.059524","28.053886","3.06093","10.866537"
"Nomada_luteoloides","102","218.980392","24.780614","2.453646","8.948913"
"Apis_dorsata","376","284.952128","31.191842","1.608596","2.427631"
"Axestotrigona_erythra","6","242","16.174053","6.603029","152.131519"
"Amegilla_calva","14","298.214286","35.503366","9.488674","65.199223"
"Amegilla_chlorocyanea","224","265.254464","39.715835","2.653626","4.074951"
"Plebeiella_lendliana","11","236.909091","25.197042","7.597194","82.980829"
"Melissodes_nigroaeneus","20","239.9","18.884413","4.222683","45.639456"
"Eulaema_speciosa","16","225.8125","29.010846","7.252712","57.04932"
"Axestotrigona_ferruginea","27","239.851852","17.958721","3.456157","33.807004"
"Ceratina_okinawana","3","284","6.928203","4","304.263039"
"Bombus_muscorum","319","172.278997","25.365515","1.420196","2.861408"
"Xylocopa_micheneri","24","251.291667","39.310889","8.024302","38.03288"
"Bombus_laesus","37","202","23.763885","3.906759","24.669976"
"Bombus_californicus","197","191.598985","45.381339","3.233287","4.633447"
"Amegilla_scymna","1","262",NA,NA,"912.789116"
"Amegilla_indistincta","4","259.5","22.128413","11.064206","228.197279"
"Amegilla_karlba","4","299.25","7.088723","3.544362","228.197279"
"Amegilla_paeninsulae","2","275","1.414214","1","456.394558"
