"species","n_bio_11","mean_bio_11","sd_bio_11","se_bio_11","within_sp_var_bio_11"
"Lasioglossum_holochlorum","17","106.705882","30.581376","7.417073","164.312285"
"Hylaeus_ruficeps","28","136.714286","43.734771","8.265095","99.76103"
"Nomia_rubroviridis","9","209","37.185347","12.395116","310.367649"
"Bombus_flavifrons","429","-79.885781","87.899813","4.243843","6.511209"
"Bombus_perplexus","396","-80.186869","66.947366","3.364232","7.05381"
"Bombus_rufocinctus","566","-64.022968","57.761161","2.427883","4.935175"
"Melissodes_druriellus","227","-17.229075","54.667704","3.628423","12.305325"
"Melissodes_illatus","65","-44.830769","48.640765","6.033144","42.973982"
"Melissodes_bimaculatus","375","17.450667","71.429986","3.688629","7.448824"
"Bombus_sitkensis","136","-17.272059","69.406635","5.95157","20.539036"
"Melissodes_subillatus","66","-20.666667","50.616608","6.230474","42.322861"
"Bombus_variabilis","126","43.857143","73.568875","6.554036","22.169118"
"Melissodes_compositus","40","10.725","49.402578","7.811233","69.832721"
"Melissodes_bicoloratus","17","25.235294","63.12243","15.309438","164.312285"
"Melissodes_lustrus","35","20.285714","51.525306","8.709366","79.808824"
"Melissodes_lupinus","70","27.014286","57.840734","6.91329","39.904412"
"Melissodes_tessellatus","13","120.692308","61.194205","16.972219","214.869911"
"Melissodes_expolitus","4","101.75","26.081603","13.040802","698.327209"
"Melissodes_interruptus","19","166.526316","45.206155","10.371003","147.016255"
"Melissodes_lutulentus","55","-17.072727","48.713393","6.568513","50.787433"
"Melissodes_appressus","18","70.722222","60.113428","14.168871","155.183824"
"Melissodes_gelidus","32","8.5625","50.041233","8.846124","87.290901"
"Melissodes_perpolitus","14","6.142857","36.979947","9.883307","199.52206"
"Melissodes_melanurus","8","68.5","57.80262","20.436312","349.163605"
"Melissodes_velutinus","10","70.9","45.792891","14.480984","279.330884"
"Melissodes_tinctus","24","59.291667","57.218482","11.679674","116.387868"
"Melissodes_paululus","10","67.5","44.432846","14.0509","279.330884"
"Melissodes_fasciatellus","23","36.391304","38.374635","8.001665","121.44821"
"Melissodes_semilupinus","36","-0.583333","43.549233","7.258205","77.591912"
"Nomada_imbricata","84","-5.142857","50.613142","5.522347","33.253677"
"Nomada_luteoloides","102","-19.637255","43.899929","4.346741","27.385381"
"Apis_dorsata","376","213.976064","45.437159","2.343243","7.429013"
"Axestotrigona_erythra","6","194.166667","24.693454","10.08106","465.551473"
"Amegilla_calva","14","149.714286","26.365562","7.046493","199.52206"
"Amegilla_chlorocyanea","224","126.647321","37.174726","2.483841","12.470129"
"Plebeiella_lendliana","11","203.272727","23.392695","7.053163","253.937167"
"Melissodes_nigroaeneus","20","162.9","48.487546","10.842145","139.665442"
"Eulaema_speciosa","16","207.875","32.265306","8.066327","174.581802"
"Axestotrigona_ferruginea","27","195.037037","37.457136","7.208629","103.455883"
"Ceratina_okinawana","3","168","22.605309","13.051181","931.102946"
"Bombus_muscorum","319","2.952978","58.435319","3.27175","8.756454"
"Xylocopa_micheneri","24","170.416667","48.567225","9.913743","116.387868"
"Bombus_laesus","37","-64.783784","64.21411","10.556735","75.494833"
"Bombus_californicus","197","-5.015228","72.953961","5.197755","14.179233"
"Amegilla_scymna","1","111",NA,NA,"2793.308837"
"Amegilla_indistincta","4","194.75","40.721616","20.360808","698.327209"
"Amegilla_karlba","4","243.25","13.098982","6.549491","698.327209"
"Amegilla_paeninsulae","2","241.5","6.363961","4.5","1396.654419"
"Amegilla_viridicingulata","1","227",NA,NA,"2793.308837"
"Apis_florea","260","207.623077","45.741639","2.836776","10.743496"
"Austrothurgus_rubricatus","26","178.884615","39.799826","7.805388","107.434955"
"Bombus_impatiens","566","-5.814488","77.129193","3.241982","4.935175"
"Braunsapis_occidentalis","4","132.25","36.10517","18.052585","698.327209"
"Hylaeus_cyanurus","1","139",NA,NA,"2793.308837"
"Bombus_fraternus","265","37.067925","57.483686","3.531195","10.540788"
"Megachile_aethiops","18","194.166667","42.733442","10.072369","155.183824"
"Tetragonula_clypearis","8","226.375","16.698482","5.903805","349.163605"
"Trichocolletes_albigenae","5","92.6","11.760102","5.259277","558.661767"
"Trichocolletes_avialis","1","184",NA,NA,"2793.308837"
"Trichocolletes_centralis","3","113","13.228757","7.637626","931.102946"
"Trichocolletes_nitens","2","110","0","0","1396.654419"
"Trichocolletes_orientalis","22","103.818182","31.330248","6.679631","126.968584"
"Bombus_crotchii","46","72.586957","60.309416","8.892138","60.724105"
"Bombus_morrisoni","226","-0.150442","47.504521","3.159954","12.359774"
"Melissodes_microstictus","550","37.861818","87.805854","3.744054","5.078743"
"Bombus_bifarius","327","-47.088685","64.212751","3.550973","8.542229"
"Bombus_fervidus","657","-28.380518","59.865078","2.335559","4.251612"
"Bombus_appositus","225","-34.497778","44.022328","2.934822","12.414706"
"Bombus_vosnesenskii","213","-11.122066","74.812622","5.126076","13.114126"
"Bombus_ephippiatus","100","133","55.302291","5.530229","27.933088"
"Anthophora_urbana","239","18.861925","63.820798","4.128224","11.687485"
"Bombus_mexicanus","27","207.444444","35.907288","6.910361","103.455883"
"Bombus_terricola","508","-87.96063","65.343082","2.89913","5.498639"
"Bombus_sonorus","204","88.955882","62.854692","4.400709","13.69269"
"Bombus_steindachneri","51","168.490196","44.369977","6.21304","54.770762"
"Bombus_mixtus","395","-82.982278","86.832426","4.369014","7.071668"
"Bombus_huntii","448","-25.303571","63.983826","3.022952","6.235064"
"Bombus_melanopygus","406","-58.364532","94.406058","4.685294","6.880071"
"Bombus_caliginosus","64","63.296875","41.192417","5.149052","43.645451"
"Bombus_centralis","295","-45.067797","56.048711","3.263282","9.468844"
"Bombus_griseocollis","723","-12.40249","67.269766","2.50179","3.863498"
"Bombus_diligens","42","155.261905","37.524015","5.790081","66.507353"
"Bombus_auricomus","301","-16","48.879171","2.817349","9.280096"
"Trigona_nigerrima","57","217.052632","31.617367","4.187823","49.005418"
"Melissodes_agilis","317","-2.037855","59.77737","3.357432","8.8117"
"Nomada_denticulata","74","-7.77027","40.89028","4.753398","37.747417"
"Nomada_articulata","162","-16.191358","48.75551","3.830595","17.242647"
"Epeolus_autumnalis","40","-9.95","47.116305","7.449742","69.832721"
"Ceratina_calcarata","246","-11.162602","52.354814","3.338021","11.354914"
"Nomada_fabriciana","189","21.873016","32.355485","2.353515","14.779412"
"Nomada_ferruginata","106","8.5","33.499183","3.253728","26.35197"
"Bombus_ternarius","475","-92.673684","52.205542","2.395355","5.88065"
"Bombus_bimaculatus","502","-20.501992","71.012291","3.169434","5.56436"
"Scaptotrigona_mexicana","46","192.304348","39.750818","5.860938","60.724105"
"Xylocopa_tabaniformis","198","105.580808","66.236318","4.70721","14.10762"
"Xylocopa_micans","151","105.145695","42.803489","3.483299","18.498734"
"Bombus_pauloensis","158","145.936709","44.450457","3.536288","17.67917"
"Xylocopa_sonorina","146","127.89726","63.467584","5.252615","19.132252"
"Bombus_insularis","440","-66.647727","69.852438","3.330084","6.348429"
"Bombus_nevadensis","415","-44.450602","57.799435","2.837263","6.730865"
"Trigona_fulviventris","192","217.4375","37.350838","2.695565","14.548484"
"Bombus_cryptarum","440","-78.85","88.192739","4.204424","6.348429"
"Xylocopa_flavorufa","101","158.277228","35.648876","3.547196","27.656523"
"Bombus_pensylvanicus","703","35.890469","74.407714","2.80634","3.973412"
"Bombus_vagans","510","-60.296078","52.272677","2.314673","5.477076"
"Bombus_citrinus","259","-40.606178","49.868503","3.098678","10.784976"
"Ptilothrix_bombiformis","174","43.649425","46.776903","3.546148","16.053499"
"Bombus_affinis","218","-30.788991","51.450853","3.484691","12.813343"
"Scaptotrigona_pectoralis","70","216.3","34.840569","4.164244","39.904412"
"Xylocopa_fimbriata","110","219.7","42.580641","4.059905","25.393717"
"Nannotrigona_perilampoides","119","206.92437","40.912093","3.750405","23.473184"
"Melissodes_desponsus","228","-25.122807","44.609543","2.954339","12.251355"
"Centris_rhodopus","78","104.948718","43.1313","4.883658","35.811652"
"Anthophora_terminalis","354","-58.570621","58.020138","3.083736","7.890703"
"Bombus_flavidus","562","-78.788256","63.685499","2.686411","4.9703"
"Eulaema_polychroma","147","201.068027","38.256284","3.155325","19.002101"
"Nomada_fervida","33","57.848485","91.747998","15.971276","84.645722"
"Melissoptila_otomita","29","187.241379","39.928199","7.41448","96.320994"
"Habropoda_laboriosa","162","64.709877","52.567576","4.130099","17.242647"
"Anthophora_edwardsii","60","33.083333","60.249845","7.778222","46.555147"
"Bombus_ashtoni","226","-89.876106","63.220339","4.205354","12.359774"
"Svastra_obliqua","368","25.842391","59.308845","3.091687","7.590513"
"Brachymelecta_californica","213","32.075117","65.056608","4.457605","13.114126"
"Habropoda_depressa","37","69.756757","43.391887","7.133582","75.494833"
"Anthophora_californica","232","86.771552","59.795427","3.925762","12.040124"
"Diadasia_bituberculata","39","80.564103","42.938631","6.875684","71.623304"
"Bombus_borealis","390","-90.105128","46.598672","2.359615","7.16233"
"Bombus_frigidus","314","-137.181529","79.949718","4.511824","8.895888"
"Diadasia_enavata","187","41.775401","60.473782","4.422281","14.93748"
"Anthophora_montana","109","28.66055","57.756548","5.532074","25.626687"
"Anthophora_occidentalis","107","1.46729","59.332819","5.73592","26.10569"
"Xylocopa_californica","198","74.60101","62.352668","4.431211","14.10762"
"Melissodes_communis","257","50.595331","64.99567","4.054319","10.868906"
"Bombus_suckleyi","210","-58.361905","60.371359","4.16602","13.301471"
"Anthophora_abrupta","176","38.3125","51.698456","3.896918","15.871073"
"Bombus_occidentalis","459","-60.703704","82.282023","3.840596","6.08564"
"Anthophora_pacifica","96","20.229167","55.255098","5.63945","29.096967"
"Cephalotrigona_zexmeniae","62","223.33871","29.659789","3.766797","45.053368"
"Xylocopa_flavicollis","61","158.245902","37.087579","4.748578","45.791948"
"Melipona_beecheii","86","209.744186","34.659753","3.737457","32.480335"
"Epeolus_scutellaris","125","-30.28","49.042871","4.386528","22.346471"
"Centris_nitida","100","200.7","40.281459","4.028146","27.933088"
"Frieseomelitta_nigra","53","225","24.961509","3.428727","52.70394"
"Bombus_cingulatus","131","-87.19084","28.644268","2.502661","21.322968"
"Bombus_pyrosoma","17","-89.588235","40.331531","9.781833","164.312285"
"Epeolus_compactus","94","55.393617","72.21834","7.448753","29.716051"
"Melissodes_tepaneca","176","133.505682","69.844562","5.264732","15.871073"
"Eucera_frater","77","6.38961","62.638091","7.138273","36.276738"
"Nomada_gracilis","40","-36.45","40.697729","6.434876","69.832721"
"Diadasia_diminuta","247","55.157895","68.386005","4.351297","11.308943"
"Exaerete_frontalis","70","230.9","30.458882","3.640533","39.904412"
"Melissodes_paroselae","59","97.067797","53.744884","6.996988","47.344218"
"Nomada_texana","153","59.960784","65.335156","5.282034","18.256921"
"Triepeolus_remigatus","128","21.53125","55.419934","4.898476","21.822725"
"Bombus_sylvicola","340","-128.205882","96.44424","5.230423","8.215614"
"Bombus_balteatus","183","-112.786885","75.143405","5.55476","15.263983"
"Bombus_vandykei","69","35.101449","48.323099","5.817417","40.482737"
"Bombus_jonellus","639","-61.00939","89.564358","3.543111","4.371375"
"Bombus_sandersoni","179","-78.49162","54.673121","4.086461","15.605077"
"Nomada_ruficornis","296","-6.469595","46.520261","2.703935","9.436854"
"Bombus_pascuorum","1082","-29.175601","66.123288","2.010207","2.581616"
"Ceratina_mikmaqi","99","-33.020202","43.309277","4.352746","28.215241"
"Anthophora_furcata","341","-20.475073","54.387797","2.945264","8.191522"
"Nomada_panzeri","380","-28.9","57.596957","2.954662","7.350813"
"Nomada_perplexa","41","-16.121951","36.099997","5.637872","68.129484"
"Epeoloides_pilosulus","30","-47.5","47.62117","8.694396","93.110295"
"Nomada_vicina","53","-52.339623","34.852405","4.787346","52.70394"
"Nomada_depressa","51","-29.764706","36.195352","5.068363","54.770762"
"Nomada_subrutila","6","-17","33.430525","13.647955","465.551473"
"Diadasia_australis","149","47.362416","73.024451","5.982396","18.747039"
"Epeolus_olympiellus","22","2.681818","46.810038","9.979934","126.968584"
"Nomada_cuneata","57","-36.789474","43.084525","5.706685","49.005418"
"Nomada_sayi","55","0.254545","41.864074","5.644951","50.787433"
"Nomada_hydrophylli","10","-49.3","39.95567","12.635092","279.330884"
"Exaerete_smaragdina","127","220.543307","34.943209","3.100708","21.994558"
"Nomada_maculata","102","-22.029412","36.173251","3.581686","27.385381"
"Eucera_hamata","109","-3.449541","41.260125","3.952003","25.626687"
"Anthophora_bomboides","262","-27.022901","73.663516","4.550947","10.661484"
"Melissodes_denticulatus","135","-2.948148","46.149711","3.971935","20.691177"
"Ceratina_strenua","164","17.103659","45.699152","3.568504","17.032371"
"Svastra_texana","44","70.340909","40.954281","6.17409","63.484292"
"Centris_caesalpiniae","61","84.196721","48.792697","6.247265","45.791948"
"Ceratina_dupla","190","-3.657895","60.500678","4.389181","14.701625"
"Triepeolus_donatus","65","-11.646154","52.165731","6.470363","42.973982"
"Melissodes_rivalis","133","-14.142857","64.566168","5.598597","21.002322"
"Bombus_hyperboreus","71","-195.816901","98.21657","11.656162","39.342378"
"Nomada_cressonii","112","-17.133929","41.504476","3.921804","24.940257"
"Melissodes_dentiventris","93","43.537634","52.680035","5.462665","30.035579"
"Bombus_kluanensis","3","-184.333333","50.718176","29.282153","931.102946"
"Epeolus_mesillae","40","81.625","55.329172","8.74831","69.832721"
"Epeolus_pusillus","83","17.698795","58.070339","6.374048","33.654323"
"Zacosmia_maculata","46","64.130435","59.832584","8.821833","60.724105"
"Melissodes_persimilis","21","152.714286","48.278507","10.535234","133.014707"
"Euglossa_imperialis","97","234.793814","19.477518","1.977642","28.796998"
"Bombus_brachycephalus","31","158.16129","40.429442","7.261342","90.106737"
"Epeolus_bifasciatus","118","7.355932","72.051919","6.632917","23.672109"
"Euglossa_viridissima","73","204.082192","35.768062","4.186335","38.264505"
"Coelioxoides_punctipennis","10","215.8","26.241612","8.298326","279.330884"
"Triepeolus_grandis","31","88.193548","40.638585","7.298905","90.106737"
"Nomada_lehighensis","34","-16.205882","39.16382","6.71654","82.156142"
"Bombus_natvigi","22","-235.272727","47.661687","10.161506","126.968584"
"Xylocopa_mordax","28","241.535714","22.173528","4.190403","99.76103"
"Ceratina_arizonensis","55","95.545455","50.498925","6.809274","50.787433"
"Melissodes_trinodis","137","-22.664234","57.129661","4.880916","20.389116"
"Diadasia_ochracea","136","82.220588","58.162568","4.987399","20.539036"
"Ceratina_floridana","43","98.813953","73.62914","11.228339","64.960671"
"Anthophora_curta","158","95.424051","53.331351","4.242814","17.67917"
"Florilegus_condignus","118","93.508475","97.862431","9.008967","23.672109"
"Nomada_bifasciata","94","35.148936","41.362535","4.26622","29.716051"
"Centris_scopipes","14","194.785714","13.951446","3.728681","199.52206"
"Anthophora_exigua","69","-15.130435","45.61924","5.491911","40.482737"
"Ericrocis_lata","94","95.031915","45.626688","4.706034","29.716051"
"Anthophora_ursina","137","-9.89781","50.466396","4.311635","20.389116"
"Epeolus_minimus","84","-35.940476","66.794659","7.287895","33.253677"
"Melipona_quadrifasciata","43","175.186047","29.848232","4.551813","64.960671"
"Triepeolus_verbesinae","35","108.514286","51.035957","8.626651","79.808824"
"Melissodes_vernoniae","49","8.346939","47.596197","6.799457","57.006303"
"Anthophora_vallorum","26","89.730769","46.544222","9.128073","107.434955"
"Anthophora_cockerelli","14","70.571429","34.802109","9.301255","199.52206"
"Triepeolus_simplex","40","21.65","56.65349","8.957703","69.832721"
"Anthophora_centriformis","44","81.159091","46.884789","7.068148","63.484292"
"Habropoda_pallida","32","98.65625","33.784525","5.972317","87.290901"
"Anthophora_hololeuca","32","104.78125","55.664163","9.840127","87.290901"
"Eucera_rosae","40","30.625","38.868409","6.145635","69.832721"
"Triepeolus_subalpinus","19","-17.578947","64.123419","14.710921","147.016255"
"Centris_mocsaryi","23","170.391304","36.306447","7.570418","121.44821"
"Diadasia_rinconis","186","85.360215","59.054389","4.330078","15.017789"
"Habropoda_tristissima","33","72.333333","51.815578","9.019934","84.645722"
"Diadasia_tuberculifrons","11","117.363636","32.879394","9.91351","253.937167"
"Trigona_truculenta","99","228.919192","30.964653","3.112065","28.215241"
"Lestrimelitta_niitkib","28","202.821429","40.808544","7.71209","99.76103"
"Epeolus_americanus","47","-46.276596","85.497954","12.471158","59.432103"
"Trigona_guianae","98","231.77551","28.619988","2.891055","28.503151"
"Melipona_subnitida","12","253","12.933396","3.73355","232.775736"
"Eucera_lepida","18","39.555556","56.357287","13.28354","155.183824"
"Triepeolus_melanarius","7","81.428571","44.556545","16.840791","399.04412"
"Anthophora_albata","56","-9.964286","46.171209","6.169887","49.880515"
"Melissodes_stearnsi","30","72.7","48.618253","8.876438","93.110295"
"Partamona_orizabaensis","64","202.5","43.088687","5.386086","43.645451"
"Anthophora_petrophila","91","37.626374","52.449054","5.498155","30.695702"
"Centris_zacateca","28","114.571429","39.093836","7.388041","99.76103"
"Lestrimelitta_danuncia","8","236.25","28.724057","10.155488","349.163605"
"Centris_mexicana","41","124.365854","45.763389","7.147041","68.129484"
"Martinapis_luteicornis","34","70.970588","38.383618","6.582736","82.156142"
"Centris_hoffmanseggiae","35","93.628571","29.946114","5.061817","79.808824"
"Habropoda_cineraria","90","-2.8","66.196711","6.977746","31.036765"
"Anthophora_abroniae","21","100.761905","52.430816","11.441342","133.014707"
"Epicharis_elegans","42","202","40.994348","6.325565","66.507353"
"Melissodes_tristis","189","60.746032","58.685957","4.268775","14.779412"
"Centris_lanosa","44","81.113636","45.781186","6.901773","63.484292"
"Melissodes_montanus","68","84.352941","70.682339","8.571493","41.078071"
"Melissodes_gilensis","48","80.75","62.859011","9.072917","58.193934"
"Svastra_cressonii","31","36.322581","52.273248","9.388552","90.106737"
"Paratetrapedia_calcarata","43","218.116279","30.168739","4.60069","64.960671"
"Triepeolus_penicilliferus","24","107.75","30.631399","6.252608","116.387868"
"Melissodes_trifasciatus","5","237.2","10.756393","4.810405","558.661767"
"Centris_tricolor","30","106.766667","40.783434","7.446002","93.110295"
"Eucera_edwardsii","77","6.428571","55.721211","6.350021","36.276738"
"Xylocopa_pulchra","1","148",NA,NA,"2793.308837"
"Centris_pallida","51","124.058824","44.750603","6.266338","54.770762"
"Trigona_corvina","77","218.181818","32.405217","3.692917","36.276738"
"Anthophora_maculifrons","54","-9.462963","45.041998","6.12944","51.727941"
"Ceratina_cockerelli","44","132.272727","52.607968","7.93095","63.484292"
"Anthophora_flavocincta","24","98.833333","32.77017","6.689183","116.387868"
