"species","n_bio_3","mean_bio_3","sd_bio_3","se_bio_3","within_sp_var_bio_3"
"Exaerete_frontalis","70","61.371429","7.485583","0.894698","0.581492"
"Melissodes_paroselae","59","36.983051","4.914761","0.639847","0.689906"
"Nomada_texana","154","34.149351","7.746627","0.624241","0.264314"
"Triepeolus_remigatus","128","27.992188","6.417859","0.567264","0.318003"
"Bombus_sylvicola","339","22.979351","8.395698","0.455992","0.120072"
"Bombus_balteatus","182","20.752747","6.812352","0.504965","0.223651"
"Bombus_vandykei","69","37.478261","4.597342","0.553455","0.589919"
"Bombus_jonellus","640","21.00625","6.617184","0.261567","0.063601"
"Bombus_sandersoni","180","21.077778","3.579044","0.266766","0.226136"
"Nomada_ruficornis","297","23.841751","5.626182","0.326464","0.137052"
"Bombus_pascuorum","1079","22.755329","5.422537","0.165079","0.037724"
"Ceratina_mikmaqi","99","22.424242","3.10395","0.311959","0.411156"
"Anthophora_furcata","341","23.832845","6.332333","0.342915","0.119368"
"Nomada_panzeri","381","22.246719","5.554232","0.284552","0.106836"
"Nomada_perplexa","41","22.829268","3.813807","0.595617","0.992791"
"Epeoloides_pilosulus","30","21.333333","1.708666","0.311958","1.356814"
"Nomada_vicina","53","21.471698","2.657383","0.36502","0.768008"
"Nomada_depressa","51","23.490196","3.662636","0.512872","0.798126"
"Nomada_subrutila","6","21.5","3.449638","1.408309","6.784071"
"Diadasia_australis","149","35.731544","7.862527","0.644123","0.273184"
"Epeolus_olympiellus","22","32.272727","3.397223","0.72429","1.850201"
"Nomada_cuneata","57","22.350877","3.657142","0.4844","0.714113"
"Nomada_sayi","55","24.618182","5.369637","0.724042","0.740081"
"Nomada_hydrophylli","10","22.3","1.766981","0.558768","4.070443"
"Exaerete_smaragdina","127","57.07874","8.625917","0.765426","0.320507"
"Nomada_maculata","102","22.803922","4.307578","0.426514","0.399063"
"Eucera_hamata","109","25.394495","3.870636","0.37074","0.373435"
"Anthophora_bomboides","262","28.980916","7.533045","0.465393","0.15536"
"Melissodes_denticulatus","135","24.362963","3.546298","0.305217","0.301514"
"Ceratina_strenua","164","25.128049","3.776185","0.294871","0.248198"
