"species","n_LAI","mean_LAI","sd_LAI","se_LAI","within_sp_var_LAI"
"Lasioglossum_holochlorum","17","109.058824","88.167079","21.383658","539.287833"
"Hylaeus_ruficeps","28","74.071429","90.648662","17.130987","327.424756"
"Nomia_rubroviridis","9","91.111111","94.928189","31.64273","1018.654796"
"Bombus_flavifrons","339","61.554572","97.310486","5.28518","27.043933"
"Bombus_perplexus","323","81.455108","110.746845","6.162119","28.38357"
"Bombus_rufocinctus","380","77.571053","108.181942","5.549617","24.126035"
"Melissodes_druriellus","186","88.526882","112.666606","8.261116","49.289748"
"Melissodes_illatus","57","77.157895","107.396094","14.22496","160.840231"
"Melissodes_bimaculatus","315","75.930159","104.285169","5.875804","29.104423"
"Bombus_sitkensis","124","74.5","95.311343","8.559211","73.934622"
"Melissodes_subillatus","56","100.464286","116.626204","15.584832","163.712378"
"Bombus_variabilis","115","91.4","106.125199","9.896226","79.72081"
"Melissodes_compositus","27","46.777778","88.912374","17.111194","339.551599"
"Melissodes_bicoloratus","12","88.916667","122.731383","35.429499","763.991097"
"Melissodes_lustrus","31","91.290323","115.136786","20.679177","295.738489"
"Melissodes_lupinus","56","71.767857","98.260135","13.130563","163.712378"
"Melissodes_tessellatus","12","72.333333","110.228138","31.820123","763.991097"
"Melissodes_expolitus","4","6","2","1","2291.973292"
"Melissodes_interruptus","19","47.789474","42.411449","9.729854","482.520693"
"Melissodes_lutulentus","31","48.451613","92.388253","16.59342","295.738489"
"Melissodes_appressus","17","84.411765","114.313745","27.725156","539.287833"
"Melissodes_gelidus","23","50.695652","96.012989","20.020092","398.604051"
"Melissodes_perpolitus","11","49.181818","101.766221","30.68367","833.444833"
"Melissodes_melanurus","8","108","122.473321","43.300858","1145.986646"
"Melissodes_velutinus","9","70.222222","105.807346","35.269115","1018.654796"
"Melissodes_tinctus","23","61.652174","91.318428","19.041209","398.604051"
"Melissodes_paululus","10","116.1","120.431124","38.083665","916.789317"
"Melissodes_fasciatellus","22","5.954545","3.969854","0.846376","416.722417"
"Melissodes_semilupinus","27","42.481481","90.402251","17.397921","339.551599"
"Nomada_imbricata","79","84.417722","107.03733","12.04264","116.049281"
"Nomada_luteoloides","89","106.382022","117.651305","12.471013","103.010036"
"Apis_dorsata","379","105.274406","87.677642","4.503698","24.189692"
"Axestotrigona_erythra","6","102.333333","83.638906","34.14544","1527.982194"
"Amegilla_calva","14","33.928571","67.24978","17.97326","654.849512"
"Amegilla_chlorocyanea","226","50.699115","83.167289","5.532206","40.565899"
"Plebeiella_lendliana","11","98.454545","83.707065","25.23863","833.444833"
"Melissodes_nigroaeneus","20","130.65","87.800776","19.63285","458.394658"
"Eulaema_speciosa","16","132.5","56.126049","14.031512","572.993323"
"Axestotrigona_ferruginea","27","101.592593","74.069748","14.25473","339.551599"
"Ceratina_okinawana","3","255","0","0","3055.964389"
"Bombus_muscorum","311","126.22508","111.953508","6.348301","29.478756"
"Xylocopa_micheneri","24","71.666667","82.342163","16.808024","381.995549"
"Bombus_laesus","27","50.037037","87.493508","16.838133","339.551599"
"Bombus_californicus","171","61.923977","92.134237","7.045681","53.61341"
"Amegilla_scymna","1","14",NA,NA,"9167.893166"
"Amegilla_indistincta","4","112","99.47529","49.737645","2291.973292"
"Amegilla_karlba","4","34.5","9.746794","4.873397","2291.973292"
"Amegilla_paeninsulae","2","43","9.899495","7","4583.946583"
"Amegilla_viridicingulata","1","255",NA,NA,"9167.893166"
"Apis_florea","260","116.846154","101.50759","6.295233","35.261128"
"Austrothurgus_rubricatus","26","117.5","108.028607","21.186153","352.611276"
"Bombus_impatiens","484","89.231405","110.241238","5.010965","18.941928"
"Braunsapis_occidentalis","4","73.25","121.181338","60.590669","2291.973292"
"Hylaeus_cyanurus","1","50",NA,NA,"9167.893166"
"Bombus_fraternus","227","51.938326","86.429908","5.736554","40.387195"
"Megachile_aethiops","18","55.444444","73.884029","17.414633","509.327398"
"Tetragonula_clypearis","8","173.625","112.374295","39.730313","1145.986646"
