"species","n_bio_9","mean_bio_9","sd_bio_9","se_bio_9","within_sp_var_bio_9"
"Lasioglossum_holochlorum","17","171.588235","47.766435","11.585062","435.422342"
"Hylaeus_ruficeps","28","210.142857","32.684478","6.176786","264.363565"
"Nomia_rubroviridis","9","229.111111","25.315235","8.438412","822.464424"
"Bombus_flavifrons","429","35.135198","121.570949","5.869501","17.254498"
"Bombus_perplexus","396","-26.434343","101.537239","5.102438","18.692373"
"Bombus_rufocinctus","566","7.037102","118.814842","4.99416","13.078056"
"Melissodes_druriellus","227","41.118943","107.748022","7.151487","32.608722"
"Melissodes_illatus","65","15.892308","119.026405","14.763409","113.879689"
"Melissodes_bimaculatus","375","66.394667","114.547209","5.915192","19.739146"
"Bombus_sitkensis","136","117.823529","84.794382","7.271058","54.427793"
"Melissodes_subillatus","66","24.439394","99.918756","12.299149","112.15424"
"Bombus_variabilis","126","90.206349","105.330893","9.383622","58.747459"
"Melissodes_compositus","40","153.7","97.376404","15.396561","185.054495"
"Melissodes_bicoloratus","17","168.647059","117.151046","28.413302","435.422342"
"Melissodes_lustrus","35","197.628571","66.047258","11.164024","211.490852"
"Melissodes_lupinus","70","177.5","97.04933","11.599614","105.745426"
"Melissodes_tessellatus","13","234.076923","19.922607","5.525537","569.398447"
"Melissodes_expolitus","4","230","72.184948","36.092474","1850.544954"
"Melissodes_interruptus","19","188.473684","39.976894","9.171328","389.588411"
"Melissodes_lutulentus","55","108.472727","120.830591","16.292794","134.585088"
"Melissodes_appressus","18","193.833333","80.828249","19.051401","411.232212"
"Melissodes_gelidus","32","21.65625","78.07755","13.802291","231.318119"
"Melissodes_perpolitus","14","146","91.549902","24.467741","528.72713"
"Melissodes_melanurus","8","229","31.199817","11.030801","925.272477"
"Melissodes_velutinus","10","218.1","20.124336","6.363874","740.217982"
"Melissodes_tinctus","24","125.25","100.394115","20.492863","308.424159"
"Melissodes_paululus","10","233.2","31.51296","9.965273","740.217982"
"Melissodes_fasciatellus","23","155.565217","65.343725","13.625109","321.833905"
"Melissodes_semilupinus","36","140.111111","114.312548","19.052091","205.616106"
"Nomada_imbricata","84","42.166667","95.426605","10.411896","88.121188"
