"species","n_bio_19","mean_bio_19","sd_bio_19","se_bio_19","within_sp_var_bio_19"
"Lasioglossum_holochlorum","17","175.117647","80.846214","19.608087","1453.343165"
"Hylaeus_ruficeps","28","173.428571","125.197453","23.660095","882.386922"
"Nomia_rubroviridis","9","68.111111","83.590437","27.863479","2745.203756"
"Bombus_flavifrons","429","215.916084","275.03256","13.278697","57.591687"
"Bombus_perplexus","396","168.70202","111.746875","5.615492","62.390994"
"Bombus_rufocinctus","566","146.079505","150.575624","6.329166","43.65165"
"Melissodes_druriellus","227","180.242291","96.31906","6.392921","108.840678"
"Melissodes_illatus","65","203.584615","90.79422","11.261637","380.105135"
"Melissodes_bimaculatus","375","202.282667","116.163195","5.998642","65.88489"
"Bombus_sitkensis","136","477.272059","342.478752","29.367311","181.667896"
"Melissodes_subillatus","66","196.681818","84.542235","10.40643","374.345967"
"Bombus_variabilis","126","198.642857","152.196476","13.55874","196.085983"
"Melissodes_compositus","40","109.325","122.103862","19.306316","617.670845"
"Melissodes_bicoloratus","17","109.294118","131.574487","31.9115","1453.343165"
"Melissodes_lustrus","35","251","191.624019","32.390371","705.909537"
"Melissodes_lupinus","70","256.128571","228.896972","27.358421","352.954769"
"Melissodes_tessellatus","13","124.923077","75.971992","21.070839","1900.525677"
"Melissodes_expolitus","4","71.5","40.336088","20.168044","6176.708452"
"Melissodes_interruptus","19","51.789474","40.58404","9.310617","1300.359674"
"Melissodes_lutulentus","55","101.763636","95.988418","12.943076","449.21516"
"Melissodes_appressus","18","182.222222","208.276275","49.091189","1372.601878"
"Melissodes_gelidus","32","59.5","49.266883","8.709237","772.088556"
"Melissodes_perpolitus","14","62.785714","33.122566","8.852378","1764.773843"
"Melissodes_melanurus","8","315.125","189.302055","66.928383","3088.354226"
"Melissodes_velutinus","10","235","227.579046","71.966813","2470.683381"
"Melissodes_tinctus","24","254","81.418938","16.619571","1029.451409"
"Melissodes_paululus","10","266.6","135.643487","42.894237","2470.683381"
"Melissodes_fasciatellus","23","73.913043","44.726353","9.326089","1074.210166"
"Melissodes_semilupinus","36","81.972222","59.10015","9.850025","686.300939"
"Nomada_imbricata","84","236.666667","80.326492","8.764339","294.128974"
"Nomada_luteoloides","102","217.362745","86.713","8.585866","242.223861"
"Apis_dorsata","376","278.079787","460.808685","23.764393","65.709664"
"Axestotrigona_erythra","6","45.666667","106.528244","43.489973","4117.805634"
