"species","n_awi_pm_sr_yr","mean_awi_pm_sr_yr","sd_awi_pm_sr_yr","se_awi_pm_sr_yr","within_sp_var_awi_pm_sr_yr"
"Lasioglossum_holochlorum","17","5617.882353","2950.185521","715.525089","861909.740533"
"Hylaeus_ruficeps","28","3246.857143","1814.216915","342.85477","523302.342466"
"Nomia_rubroviridis","9","6119.888889","3141.724743","1047.241581","1628051.732118"
"Bombus_flavifrons","430","7936.832558","8369.560219","403.616034","34075.50137"
"Bombus_perplexus","397","9042.007557","3800.746774","190.754013","36907.973776"
"Bombus_rufocinctus","566","6499.136042","4543.171763","190.963753","25887.748391"
"Melissodes_druriellus","227","7684.907489","3152.282931","209.224367","64548.30656"
"Melissodes_illatus","66","10228.772727","3607.864644","444.097438","222007.05438"
"Melissodes_bimaculatus","376","7601.295213","2185.084008","112.687104","38969.323375"
"Bombus_sitkensis","139","14890.18705","13666.029688","1159.137509","105413.421504"
"Melissodes_subillatus","66","8926.954545","2586.952495","318.43184","222007.05438"
"Bombus_variabilis","126","7779.555556","3034.292003","270.316216","116289.409437"
"Melissodes_compositus","40","2339.95","1556.292849","246.071505","366311.639727"
"Melissodes_bicoloratus","17","1755.764706","1175.83436","285.181721","861909.740533"
"Melissodes_lustrus","35","3734.714286","2339.772671","395.493766","418641.873973"
"Melissodes_lupinus","70","3731.671429","3305.38168","395.068675","209320.936987"
"Melissodes_tessellatus","13","1395.076923","654.626161","181.56063","1127112.73762"
"Melissodes_expolitus","4","1555.25","740.899622","370.449811","3663116.397265"
"Melissodes_interruptus","19","5040.526316","2508.644972","575.522627","771182.399424"
"Melissodes_lutulentus","55","2500.2","1548.494554","208.798963","266408.465256"
"Melissodes_appressus","18","2453.611111","2023.208027","476.874705","814025.866059"
"Melissodes_gelidus","32","3449.46875","1543.072741","272.7793","457889.549658"
"Melissodes_perpolitus","14","1759.285714","818.705115","218.808146","1046604.684933"
"Melissodes_melanurus","8","3363","2172.120623","767.960611","1831558.198633"
"Melissodes_velutinus","10","2128.2","2229.204781","704.936448","1465246.558906"
"Melissodes_tinctus","24","7812.5","2208.057911","450.717934","610519.399544"
"Melissodes_paululus","10","3051.5","1665.588268","526.705257","1465246.558906"
"Melissodes_fasciatellus","23","1898.391304","716.753523","149.453441","637063.721264"
"Melissodes_semilupinus","36","1830.222222","1192.518873","198.753146","407012.933029"
"Nomada_imbricata","84","9442.083333","2362.57985","257.778595","174434.114155"
"Nomada_luteoloides","102","9425.627451","2457.464011","243.325195","143651.623422"
"Apis_dorsata","379","10795.770449","6355.816866","326.476383","38660.859074"
"Axestotrigona_erythra","6","8796.333333","5218.2303","2130.333599","2442077.598177"
"Amegilla_calva","14","1734.928571","1403.305464","375.049161","1046604.684933"
"Amegilla_chlorocyanea","226","2216.132743","2135.685836","142.063709","64833.918536"
"Plebeiella_lendliana","11","9638.909091","6511.789193","1963.378315","1332042.326278"
"Melissodes_nigroaeneus","20","10349.5","3330.486617","744.719447","732623.279453"
"Eulaema_speciosa","16","19940.6875","6989.030402","1747.257601","915779.099316"
"Axestotrigona_ferruginea","27","7933.222222","3561.413919","685.394428","542683.910706"
"Ceratina_okinawana","3","12971.666667","12349.488748","7129.980653","4884155.196354"
"Bombus_muscorum","325","9646.96","6521.603447","361.753471","45084.509505"
"Xylocopa_micheneri","24","4472.791667","2929.91739","598.066883","610519.399544"
"Bombus_laesus","37","4894.081081","2175.091804","357.58289","396012.583488"
"Bombus_californicus","197","5806.86802","5354.872202","381.518847","74377.997914"
"Amegilla_scymna","1","1303",NA,NA,"14652465.589061"
"Amegilla_indistincta","4","6571.5","4693.365069","2346.682535","3663116.397265"
"Amegilla_karlba","4","6231.25","1896.565031","948.282516","3663116.397265"
"Amegilla_paeninsulae","2","10296.5","1274.913526","901.5","7326232.794531"
"Amegilla_viridicingulata","1","9201",NA,NA,"14652465.589061"
"Apis_florea","260","6287.776923","5003.572547","310.308396","56355.636881"
"Austrothurgus_rubricatus","26","3768.615385","2686.348512","526.836288","563556.36881"
"Bombus_impatiens","572","8211.56993","3393.203689","141.876974","25616.198582"
"Braunsapis_occidentalis","4","1452","835.856048","417.928024","3663116.397265"
"Hylaeus_cyanurus","1","4508",NA,NA,"14652465.589061"
"Bombus_fraternus","265","6142.90566","2809.869773","172.608928","55292.322978"
"Megachile_aethiops","18","3673.166667","2196.163292","517.640652","814025.866059"
"Tetragonula_clypearis","8","10177.625","4176.24462","1476.525445","1831558.198633"
"Trichocolletes_albigenae","5","2811","655.399115","293.103395","2930493.117812"
"Trichocolletes_avialis","1","1266",NA,NA,"14652465.589061"
"Trichocolletes_centralis","3","1227.333333","554.610073","320.204275","4884155.196354"
"Trichocolletes_nitens","2","1420","8.485281","6","7326232.794531"
"Trichocolletes_orientalis","22","5367.772727","1949.511244","415.637194","666021.163139"
"Bombus_crotchii","46","2946.891304","2146.451234","316.476969","318531.860632"
"Bombus_morrisoni","226","2797.738938","3135.642142","208.579813","64833.918536"
"Melissodes_microstictus","551","5004.023593","3731.031671","158.947293","26592.496532"
"Bombus_bifarius","327","5642.269113","4592.095342","253.943453","44808.763269"
"Bombus_fervidus","658","5831.93465","4076.093865","158.902683","22268.184786"
"Bombus_appositus","225","4901.586667","4078.409566","271.893971","65122.069285"
"Bombus_vosnesenskii","213","6427.117371","6477.952898","443.862019","68790.918259"
"Bombus_ephippiatus","100","7235.7","4575.188219","457.518822","146524.655891"
"Anthophora_urbana","240","2826.133333","2687.26743","173.462367","61051.939954"
"Bombus_mexicanus","27","10310.444444","5091.478388","979.855473","542683.910706"
"Bombus_terricola","511","8843.041096","4785.396322","211.69347","28674.100957"
"Bombus_sonorus","204","2726.044118","2265.061348","158.586015","71825.811711"
"Bombus_steindachneri","51","5207.901961","2340.581691","327.746993","287303.246844"
"Bombus_mixtus","397","8293.347607","8361.131727","419.633172","36907.973776"
"Bombus_huntii","448","4279.584821","3100.714122","146.494972","32706.396404"
"Bombus_melanopygus","408","9644.982843","9906.610089","490.450282","35912.905856"
"Bombus_caliginosus","64","8737.984375","8237.555348","1029.694418","228944.774829"
"Bombus_centralis","295","4123.647458","3306.166648","192.492464","49669.374878"
"Bombus_griseocollis","725","6512.882759","3230.249592","119.968458","20210.297364"
"Bombus_diligens","42","6158.142857","2618.954479","404.11345","348868.228311"
"Bombus_auricomus","302","7227.622517","2648.914922","152.427925","48518.097977"
"Trigona_nigerrima","57","13150.964912","6803.745746","901.178139","257060.799808"
"Melissodes_agilis","317","4280.365931","3015.056884","169.342466","46222.288924"
"Nomada_denticulata","74","9057.513514","2207.990038","256.673628","198006.291744"
"Nomada_articulata","162","7947.074074","3828.005084","300.756484","90447.318451"
"Epeolus_autumnalis","40","9101.7","2380.520113","376.393279","366311.639727"
"Ceratina_calcarata","246","8221.723577","2604.284146","166.043093","59562.868248"
"Nomada_fabriciana","191","10007.753927","4045.219214","292.70179","76714.479524"
"Nomada_ferruginata","106","9057.216981","3211.24122","311.90332","138230.807444"
"Bombus_ternarius","477","8397.884696","4250.045979","194.596237","30717.95721"
"Bombus_bimaculatus","503","8348.053678","3024.02871","134.834776","29130.150276"
"Scaptotrigona_mexicana","46","8939.326087","4828.96091","711.991443","318531.860632"
"Xylocopa_tabaniformis","198","4533.252525","3646.600123","259.152586","74002.35146"
"Xylocopa_micans","153","7558.137255","2488.663396","201.196511","95767.748948"
"Bombus_pauloensis","158","10028.803797","4156.088683","330.640663","92737.123981"
"Xylocopa_sonorina","146","2684.931507","2432.880951","201.34666","100359.35335"
"Bombus_insularis","440","6977.197727","6246.210451","297.776399","33301.058157"
"Bombus_nevadensis","415","4368.190361","2836.600372","139.243236","35307.145998"
"Trigona_fulviventris","193","10990.367876","5671.240992","408.224859","75919.510824"
"Bombus_cryptarum","442","9633.911765","5435.24949","258.528454","33150.374636"
"Xylocopa_flavorufa","101","5107.70297","2396.562883","238.46692","145073.916723"
"Bombus_pensylvanicus","704","5999.305398","3315.680507","124.964411","20813.161348"
"Bombus_vagans","511","8426.039139","4184.486481","185.110784","28674.100957"
"Bombus_citrinus","260","9073.465385","3114.79594","193.171444","56355.636881"
"Ptilothrix_bombiformis","174","7989.528736","1762.422757","133.608924","84209.572351"
"Bombus_affinis","218","8697.931193","1991.575797","134.886533","67213.144904"
"Scaptotrigona_pectoralis","70","9415.057143","4432.402646","529.773445","209320.936987"
"Xylocopa_fimbriata","110","8504.354545","4393.316374","418.886281","133204.232628"
"Nannotrigona_perilampoides","121","8290.818182","5211.221891","473.747445","121094.756934"
"Melissodes_desponsus","228","8464.666667","2070.00212","137.089239","64265.199952"
"Centris_rhodopus","78","1380.717949","1293.806946","146.494789","187852.122937"
"Anthophora_terminalis","355","6891.239437","3576.211209","189.805583","41274.550955"
"Bombus_flavidus","564","10559.411348","7200.915302","303.213233","25979.548917"
"Eulaema_polychroma","147","8817.612245","5784.125862","477.06666","99676.63666"
"Nomada_fervida","33","7896.939394","1339.555592","233.186697","444014.108759"
"Melissoptila_otomita","29","7521.172414","4749.787251","882.01335","505257.434106"
"Habropoda_laboriosa","162","8484.648148","1756.054717","137.968689","90447.318451"
"Anthophora_edwardsii","60","2293.233333","1701.068541","219.607004","244207.759818"
"Bombus_ashtoni","227","8994.898678","3937.531802","261.343165","64548.30656"
"Svastra_obliqua","368","4876.334239","3060.825422","159.556555","39816.482579"
"Brachymelecta_californica","213","3194.661972","2657.729171","182.104602","68790.918259"
"Habropoda_depressa","37","4430.297297","2874.108682","472.500557","396012.583488"
"Anthophora_californica","233","3109.429185","2566.144571","168.11372","62886.118408"
"Diadasia_bituberculata","39","3745.025641","2484.398365","397.822124","375704.245873"
"Bombus_borealis","390","8175.835897","4452.589011","225.465609","37570.424587"
"Bombus_frigidus","318","8547.27673","6251.680855","350.576854","46076.935815"
"Diadasia_enavata","187","2680.786096","1760.902056","128.769912","78355.430958"
"Anthophora_montana","109","2239.275229","947.389932","90.743498","134426.289808"
"Anthophora_occidentalis","107","2780.850467","1453.478299","140.513051","136938.930739"
"Xylocopa_californica","198","2672.80303","2576.96778","183.137126","74002.35146"
"Melissodes_communis","257","5410.715953","3061.268861","190.956705","57013.484782"
"Bombus_suckleyi","210","6789.295238","6152.818204","424.584794","69773.645662"
"Anthophora_abrupta","176","8424.3125","1403.652846","105.804314","83252.645392"
"Bombus_occidentalis","461","6596.915401","6246.056207","290.90784","31784.090215"
"Anthophora_pacifica","96","4253.614583","4737.061402","483.474305","152629.849886"
"Cephalotrigona_zexmeniae","62","10904.016129","5702.15948","724.174978","236330.090146"
"Xylocopa_flavicollis","61","4023.262295","2208.727612","282.798592","240204.353919"
"Melipona_beecheii","87","8614.781609","4890.88358","524.357759","168419.144702"
"Epeolus_scutellaris","125","8559.672","3928.145665","351.344029","117219.724712"
"Centris_nitida","100","7456.47","5190.229009","519.022901","146524.655891"
"Frieseomelitta_nigra","53","6686.490566","3655.096351","502.066096","276461.614888"
"Bombus_cingulatus","131","11607.519084","3850.835075","336.449023","111850.882359"
"Bombus_pyrosoma","17","4399.352941","1656.445703","401.747094","861909.740533"
"Epeolus_compactus","94","3505.87234","3293.742207","339.723569","155877.293501"
"Melissodes_tepaneca","178","5952.724719","4008.912204","300.480674","82317.22241"
"Eucera_frater","77","5089.636364","4160.754182","474.161945","190291.760897"
"Nomada_gracilis","40","11165.4","2658.3298","420.318847","366311.639727"
"Diadasia_diminuta","247","2075.906883","1481.186465","94.245638","59321.723033"
"Exaerete_frontalis","70","16055.028571","5454.348224","651.919304","209320.936987"
"Melissodes_paroselae","59","2028.050847","1405.656117","183.000839","248346.874391"
"Nomada_texana","154","3619.876623","2629.187561","211.865971","95145.880448"
"Triepeolus_remigatus","128","6480.671875","3140.66992","277.598625","114472.387415"
"Bombus_sylvicola","343","7747.915452","7064.072003","381.424036","42718.558569"
"Bombus_balteatus","183","10509.306011","7455.816159","551.14979","80068.117973"
"Bombus_vandykei","69","7307.710145","7199.681599","866.739811","212354.573755"
"Bombus_jonellus","644","10921.503106","6764.017338","266.539623","22752.275759"
"Bombus_sandersoni","182","9817.247253","4047.326921","300.007831","80508.052687"
"Nomada_ruficornis","299","10568.966555","4616.695593","266.9904","49004.901636"
"Bombus_pascuorum","1083","9066.875346","4855.205354","147.534427","13529.515779"
"Ceratina_mikmaqi","99","8898.767677","2137.103303","214.786963","148004.70292"
"Anthophora_furcata","342","9092.239766","4138.914416","223.80686","42843.466635"
"Nomada_panzeri","382","11163.657068","5750.420785","294.217123","38357.239762"
"Nomada_perplexa","41","10231.585366","3826.157152","597.545356","357377.209489"
"Epeoloides_pilosulus","30","8880.1","2234.059786","407.881647","488415.519635"
"Nomada_vicina","53","9380.09434","2932.36013","402.790641","276461.614888"
"Nomada_depressa","52","9301.019231","3167.438047","439.244627","281778.184405"
"Nomada_subrutila","6","9115","5492.515198","2242.30994","2442077.598177"
"Diadasia_australis","150","2029.633333","1301.800346","106.291553","97683.103927"
"Epeolus_olympiellus","22","6459.363636","6461.640036","1377.626285","666021.163139"
"Nomada_cuneata","57","9962.175439","3242.914359","429.5345","257060.799808"
"Nomada_sayi","55","8569.836364","2437.800342","328.712931","266408.465256"
"Nomada_hydrophylli","10","7752.4","2089.967421","660.905729","1465246.558906"
"Exaerete_smaragdina","127","13716.251969","5860.84216","520.065644","115373.744796"
"Nomada_maculata","102","9115.872549","2591.279327","256.574886","143651.623422"
"Eucera_hamata","109","7000.229358","2732.517319","261.727691","134426.289808"
"Anthophora_bomboides","262","5084.812977","3456.314928","213.531849","55925.44118"
"Melissodes_denticulatus","135","8422.525926","1581.620739","136.12424","108536.782141"
"Ceratina_strenua","164","8465.731707","1968.836167","153.740275","89344.302372"
"Svastra_texana","44","2511.545455","1912.197925","288.274684","333010.58157"
"Centris_caesalpiniae","61","1817.770492","943.315984","120.779235","240204.353919"
"Ceratina_dupla","190","8632.463158","1864.873355","135.292133","77118.239942"
"Triepeolus_donatus","65","8116.738462","2377.952351","294.948689","225422.547524"
"Melissodes_rivalis","133","4076.81203","3217.760578","279.015228","110168.914203"
"Bombus_hyperboreus","76","9018.671053","6274.522109","719.737047","192795.599856"
"Nomada_cressonii","112","8946.910714","2619.38912","247.509007","130825.585617"
"Melissodes_dentiventris","93","8195.634409","2012.230013","208.658532","157553.393431"
"Bombus_kluanensis","3","7793.666667","1910.903015","1103.26037","4884155.196354"
"Epeolus_mesillae","40","965.4","550.66509","87.067796","366311.639727"
"Epeolus_pusillus","83","6760.144578","3192.281003","350.398362","176535.729989"
"Zacosmia_maculata","46","1623.717391","763.530358","112.57641","318531.860632"
"Melissodes_persimilis","21","6077.285714","4527.737317","988.033285","697736.456622"
"Euglossa_imperialis","98","15161.663265","5289.420275","534.312135","149514.95499"
"Bombus_brachycephalus","31","7282.032258","3602.541848","647.035617","472660.180292"
"Epeolus_bifasciatus","118","7411.847458","2357.165666","216.994688","124173.437195"
"Euglossa_viridissima","73","6732.123288","3673.151757","429.909895","200718.706699"
"Coelioxoides_punctipennis","10","7887.3","6688.263353","2115.014579","1465246.558906"
"Triepeolus_grandis","31","2171.903226","1130.619782","203.065307","472660.180292"
"Nomada_lehighensis","34","10493.5","1770.915193","303.70945","430954.870267"
"Bombus_natvigi","22","6320.818182","2425.035211","517.019244","666021.163139"
"Xylocopa_mordax","28","6834.392857","3821.135805","722.12679","523302.342466"
"Ceratina_arizonensis","56","1989.267857","1768.937395","236.384203","261651.171233"
"Melissodes_trinodis","138","7484.971014","2702.01298","230.01062","106177.286877"
"Diadasia_ochracea","136","2188.669118","1383.548241","118.638283","107738.717567"
"Ceratina_floridana","43","7556.209302","2366.788638","360.931884","340755.013699"
"Anthophora_curta","158","1815.132911","1517.342145","120.71326","92737.123981"
"Florilegus_condignus","119","6522.109244","3148.673699","288.638445","123129.962933"
"Nomada_bifasciata","94","8093.978723","3339.818017","344.475926","155877.293501"
"Centris_scopipes","14","9897.357143","873.186173","233.368821","1046604.684933"
"Anthophora_exigua","69","2362.449275","1729.95615","208.262247","212354.573755"
"Ericrocis_lata","94","1908.159574","1317.685412","135.908873","155877.293501"
"Anthophora_ursina","137","4251.357664","2962.434431","253.097854","106952.30357"
"Epeolus_minimus","84","3847.690476","2327.293428","253.928531","174434.114155"
"Melipona_quadrifasciata","43","11554.348837","3134.633805","478.027174","340755.013699"
"Triepeolus_verbesinae","35","1765.371429","1397.926765","236.292751","418641.873973"
"Melissodes_vernoniae","49","5149.591837","2727.887842","389.698263","299029.909981"
"Anthophora_vallorum","26","1625.269231","719.726146","141.14991","563556.36881"
"Anthophora_cockerelli","14","1377.928571","1868.983906","499.50696","1046604.684933"
"Triepeolus_simplex","40","7175.425","2139.573956","338.296346","366311.639727"
"Anthophora_centriformis","44","1464.318182","1292.20741","194.807597","333010.58157"
"Habropoda_pallida","32","799.9375","946.705525","167.355474","457889.549658"
"Anthophora_hololeuca","32","1018.90625","1776.539321","314.05075","457889.549658"
"Eucera_rosae","40","7812.125","1236.263896","195.470485","366311.639727"
"Triepeolus_subalpinus","19","3626.631579","2562.868059","587.962257","771182.399424"
"Centris_mocsaryi","23","10145.478261","1888.415711","393.761895","637063.721264"
"Diadasia_rinconis","189","2191.026455","1476.860537","107.425797","77526.272958"
"Habropoda_tristissima","33","2805.333333","2051.500757","357.120443","444014.108759"
"Diadasia_tuberculifrons","11","796.454545","561.427353","169.276716","1332042.326278"
"Trigona_truculenta","99","15131.585859","5736.158593","576.50563","148004.70292"
"Lestrimelitta_niitkib","28","8926.142857","3594.523249","679.301043","523302.342466"
"Epeolus_americanus","47","5655.87234","5200.624509","758.58905","311754.587001"
"Trigona_guianae","98","16852.918367","6241.831063","630.520153","149514.95499"
"Melipona_subnitida","12","7668.666667","5373.526138","1551.203381","1221038.799088"
"Eucera_lepida","18","2965.222222","1213.589743","286.045846","814025.866059"
"Triepeolus_melanarius","7","4751.714286","3419.244055","1292.352777","2093209.369866"
"Anthophora_albata","56","2097.357143","1408.287102","188.19028","261651.171233"
"Melissodes_stearnsi","30","3383.566667","2122.570346","387.526553","488415.519635"
"Partamona_orizabaensis","64","9869.421875","5721.274125","715.159266","228944.774829"
"Anthophora_petrophila","91","1362.241758","723.694892","75.863838","161016.105374"
"Centris_zacateca","28","2837.535714","1971.392504","372.558164","523302.342466"
"Lestrimelitta_danuncia","8","17869.875","5309.434418","1877.168541","1831558.198633"
"Centris_mexicana","41","2817.219512","1188.364096","185.591291","357377.209489"
"Martinapis_luteicornis","34","1537.029412","522.505009","89.60887","430954.870267"
"Centris_hoffmanseggiae","35","1399.657143","1478.983931","249.993912","418641.873973"
"Habropoda_cineraria","90","3324.144444","2195.914657","231.469729","162805.173212"
"Anthophora_abroniae","21","957.904762","1508.972826","329.284867","697736.456622"
"Epicharis_elegans","42","6841.238095","3741.353341","577.303354","348868.228311"
"Melissodes_tristis","189","2210.216931","1295.195246","94.211591","77526.272958"
"Centris_lanosa","44","3481.863636","1782.640811","268.743214","333010.58157"
"Melissodes_montanus","68","3367.779412","2533.056939","307.178274","215477.435133"
"Melissodes_gilensis","48","2788.729167","1359.228657","196.187758","305259.699772"
"Svastra_cressonii","31","3751.967742","2000.655701","359.328371","472660.180292"
"Paratetrapedia_calcarata","43","10814.418605","5237.879975","798.769208","340755.013699"
"Triepeolus_penicilliferus","24","3405.916667","1789.277554","365.234751","610519.399544"
"Melissodes_trifasciatus","5","10441.8","3373.016706","1508.458929","2930493.117812"
"Centris_tricolor","30","5741.333333","3837.842725","700.691011","488415.519635"
"Eucera_edwardsii","77","3579.532468","2896.501695","330.087003","190291.760897"
"Xylocopa_pulchra","1","14365",NA,NA,"14652465.589061"
"Centris_pallida","51","1435.294118","1826.471399","255.757152","287303.246844"
"Trigona_corvina","78","13001.012821","6144.148092","695.687778","187852.122937"
"Anthophora_maculifrons","54","2341.12963","1333.92952","181.524815","271341.955353"
"Ceratina_cockerelli","44","5816.340909","3042.040861","458.604915","333010.58157"
"Anthophora_flavocincta","25","1847.44","1187.265383","237.453077","586098.623562"
"Anthophora_porterae","90","1971.966667","1980.313461","208.743367","162805.173212"
"Diadasia_sphaeralcearum","38","1252.421053","889.867182","144.355519","385591.199712"
"Melissodes_confusus","87","3772.804598","2006.672595","215.137884","168419.144702"
"Scaptotrigona_hellwegeri","39","5431.74359","1757.481597","281.422283","375704.245873"
"Centris_atripes","99","3042.919192","1793.585661","180.262141","148004.70292"
"Melissodes_coreopsis","154","3586.545455","1930.811432","155.589219","95145.880448"
"Partamona_bilineata","85","8101.6","4039.808067","438.178707","172381.948107"
"Plebeia_pulchra","29","10852.275862","4599.879617","854.176201","505257.434106"
"Melissodes_tepidus","65","2118.061538","2082.753405","258.333766","225422.547524"
"Melissodes_robustior","32","2983.1875","2388.182389","422.17499","457889.549658"
"Ancyloscelis_apiformis","78","7212.371795","4599.223373","520.7595","187852.122937"
"Melissodes_bimatris","72","2330.041667","1895.20398","223.351931","203506.466515"
"Melissodes_moorei","7","4937.714286","3189.694328","1205.591136","2093209.369866"
"Anthophorula_nitens","9","2098.222222","791.763187","263.921062","1628051.732118"
"Melissodes_limbus","51","2197.980392","1588.319432","222.409207","287303.246844"
"Centris_transversa","28","5795.071429","3096.714698","585.224069","523302.342466"
"Anthophora_walshii","75","4608.413333","2401.003535","277.244007","195366.207854"
"Melissodes_grindeliae","46","2880.391304","1118.408383","164.90032","318531.860632"
"Melissodes_subagilis","107","2428.691589","1528.916791","147.805965","136938.930739"
"Anthophorula_albicans","15","2605.933333","2167.862821","559.739774","976831.039271"
"Anthophora_phenax","27","921.074074","439.858887","84.650882","542683.910706"
"Diadasia_nigrifrons","40","4272.925","2962.896836","468.475124","366311.639727"
"Exomalopsis_solani","101","2017.831683","1023.386164","101.830729","145073.916723"
"Melissodes_intortus","12","4587.25","1476.870163","426.335693","1221038.799088"
"Melissodes_comptoides","148","6020.027027","2794.776658","229.729226","99003.145872"
"Melissodes_thelypodii","79","3996.582278","4069.368601","457.839738","185474.247963"
"Melipona_colimana","2","6321.5","1744.432429","1233.5","7326232.794531"
"Diadasia_lutzi","85","1340.447059","886.708205","96.177008","172381.948107"
"Diadasia_afflicta","45","4452.733333","2076.354469","309.524649","325610.346424"
"Diadasia_consociata","19","1604","1158.950723","265.881531","771182.399424"
"Anthophorula_consobrina","13","2604","1433.926253","397.699587","1127112.73762"
"Plebeia_frontalis","72","9685.444444","5997.768836","706.843836","203506.466515"
"Plebeia_moureana","15","9499.866667","3886.061665","1003.376807","976831.039271"
"Diadasia_tropicalis","25","5498.04","4485.118955","897.023791","586098.623562"
"Centris_varia","128","10055.632812","5845.266385","516.653437","114472.387415"
"Anthophora_timberlakei","14","1030.071429","1243.853594","332.433856","1046604.684933"
"Ceratina_acantha","93","5497","4731.932232","490.678515","157553.393431"
"Melissodes_pallidisignatus","100","2911.41","2074.702851","207.470285","146524.655891"
"Anthophora_squammulosa","54","4788.648148","3469.974744","472.203752","271341.955353"
"Melissodes_wheeleri","54","5152.148148","2385.391747","324.610701","271341.955353"
"Svastra_sabinensis","64","1749.046875","1027.639975","128.454997","228944.774829"
"Melissodes_boltoniae","35","8101.2","2052.391228","346.917436","418641.873973"
"Exomalopsis_analis","81","8895.876543","5074.551801","563.839089","180894.636902"
"Svastra_duplocincta","31","1517.612903","888.934556","159.657359","472660.180292"
"Anthophorula_texana","15","5848.133333","1752.907701","452.598822","976831.039271"
"Exomalopsis_similis","58","5809.844828","4602.327831","604.31525","252628.717053"
"Melissodes_verbesinarum","74","1449.067568","834.199926","96.973772","198006.291744"
"Melitoma_taurea","108","8561.842593","1236.541024","118.986216","135670.977676"
"Anthophorula_compactula","75","1824.946667","1097.150977","126.688082","195366.207854"
"Centris_agameta","11","4218.090909","1285.661422","387.641504","1332042.326278"
"Melissodes_humilior","17","1699.176471","600.811351","145.718157","861909.740533"
"Melissodes_micheneri","5","3188.4","2165.348078","968.373099","2930493.117812"
"Melissodes_menuachus","88","2608.056818","1358.344025","144.79996","166505.290785"
"Anthophora_columbariae","14","1225.857143","613.129533","163.86576","1046604.684933"
"Exomalopsis_snowi","26","4472.923077","3380.260853","662.923694","563556.36881"
"Diadasia_knabiana","2","6066.5","1260.771391","891.5","7326232.794531"
"Melipona_grandis","54","17420.240741","5611.117905","763.576431","271341.955353"
"Melitoma_marginella","46","7465.413043","4573.272986","674.292315","318531.860632"
"Euglossa_townsendi","44","12286.409091","6184.998116","932.423549","333010.58157"
"Xylocopa_gualanensis","37","7196.378378","4457.44506","732.799454","396012.583488"
"Melissodes_utahensis","36","1635.194444","616.958569","102.826428","407012.933029"
"Epicharis_analis","14","11373.785714","3755.09443","1003.591201","1046604.684933"
"Eucera_interrupta","36","7073.777778","2520.618111","420.103018","407012.933029"
"Anthophora_estebana","20","836.25","468.531398","104.766806","732623.279453"
"Melissodes_glenwoodensis","60","2280.95","1431.487225","184.804206","244207.759818"
"Svastra_machaerantherae","47","1824.148936","1247.891839","182.023732","311754.587001"
"Neolarra_vigilans","36","1920.027778","1503.807292","250.634549","407012.933029"
"Ceratina_pacifica","80","2182.0625","1407.461098","157.358935","183155.819863"
"Melipona_costaricensis","15","14965.466667","5554.943164","1434.280158","976831.039271"
"Ericrocis_pintada","35","2554.114286","1444.896328","244.232056","418641.873973"
"Eucera_vulpes","8","4538.125","1481.317602","523.724861","1831558.198633"
"Centris_decolorata","46","7890.108696","3902.558581","575.400871","318531.860632"
"Anthophora_rhodothorax","14","3145.285714","1585.078665","423.630093","1046604.684933"
"Neolarra_californica","38","1188.078947","924.327524","149.945725","385591.199712"
"Melissodes_dagosus","42","1874.666667","1363.260129","210.355605","348868.228311"
"Centris_trigonoides","76","8502.513158","4685.82397","537.500872","192795.599856"
"Eucera_actuosa","56","2160.535714","1287.776194","172.086332","261651.171233"
"Melissodes_opuntiellus","21","2167.142857","1245.272953","271.740837","697736.456622"
"Melipona_solani","13","13503.384615","4990.453161","1384.102674","1127112.73762"
"Anthophorula_euphorbiae","14","1269.785714","533.24005","142.514398","1046604.684933"
"Mesocheira_bicolor","65","8093.584615","4959.370726","615.134232","225422.547524"
"Anthophorula_albata","22","1698","2116.605436","451.261795","666021.163139"
"Melissodes_snowii","14","2242.785714","1358.801122","363.154875","1046604.684933"
"Anthophora_mortuaria","22","665.681818","628.12278","133.916227","666021.163139"
"Xylocopa_muscaria","56","10752.821429","6641.631643","887.525361","261651.171233"
"Gaesischia_exul","23","4698.521739","3051.697812","636.322981","637063.721264"
"Epicharis_maculata","27","12707.592593","6640.209498","1277.908914","542683.910706"
"Holcopasites_minimus","8","2237.125","2441.894431","863.340056","1831558.198633"
"Nomada_bella","28","9431.928571","2574.153826","486.469347","523302.342466"
"Eufriesea_mexicana","32","9556.71875","5219.740404","922.728459","457889.549658"
"Exomalopsis_solidaginis","39","1729.820513","1676.639918","268.477255","375704.245873"
"Eucera_lutziana","9","1650.444444","747.978461","249.326154","1628051.732118"
"Nomada_australis","51","9008.588235","2024.515262","283.48884","287303.246844"
"Epeolus_ilicis","14","7885","1589.993953","424.943759","1046604.684933"
"Melipona_panamica","8","18741.5","3037.310982","1073.851596","1831558.198633"
"Eucera_kullenbergi","2","3123.5","177.483802","125.5","7326232.794531"
"Tetragonula_sirindhornae","4","9431.5","3724.246725","1862.123362","3663116.397265"
"Oreopasites_vanduzeei","26","2799.307692","2384.357721","467.611021","563556.36881"
"Melissodes_vernalis","16","1058","701.961727","175.490432","915779.099316"
"Anthophora_peritomae","46","1897.304348","812.288396","119.76539","318531.860632"
"Neolarra_verbesinae","12","1549.833333","883.990522","255.186083","1221038.799088"
"Centris_fuscata","49","8710.510204","3678.263897","525.466271","299029.909981"
"Diadasia_vallicola","45","982.933333","635.456686","94.72829","325610.346424"
"Melissodes_fimbriatus","16","5674.375","3541.361958","885.340489","915779.099316"
