"species","n_awi_pm_sr_yr","mean_awi_pm_sr_yr","sd_awi_pm_sr_yr","se_awi_pm_sr_yr","within_sp_var_awi_pm_sr_yr"
"Andrena_nuda","110","8098.418182","2866.178325","273.279381","133204.232628"
"Ancylandrena_koebelei","8","591.375","279.477542","98.810233","1831558.198633"
"Andrena_robertsonii","71","8859.591549","2250.971838","267.141209","206372.754776"
"Megandrena_enceliae","26","762.923077","688.856207","135.095817","563556.36881"
"Andrena_canadensis","87","7896.850575","3557.434268","381.396987","168419.144702"
"Andrena_pallidifovea","79","3721.329114","2812.290374","316.407387","185474.247963"
"Macrotera_tristella","4","1734.25","1220.742226","610.371113","3663116.397265"
"Calliopsis_puellae","66","1277.530303","1321.267029","162.636729","222007.05438"
"Samba_fasciata","3","469.666667","330.129268","190.600222","4884155.196354"
"Flavipanurgus_ibericus","5","7549.8","4608.482473","2060.976017","2930493.117812"
"Liopoeum_trifasciatum","39","5675.230769","4862.881188","778.684187","375704.245873"
"Andrena_gelriae","70","9100.814286","2848.756944","340.49158","209320.936987"
"Liopoeum_hirsutulum","24","3485.333333","3614.494416","737.805583","610519.399544"
"Andrena_avara","1","6399",NA,NA,"14652465.589061"
"Andrena_semirugosa","4","16849.75","3800.518945","1900.259472","3663116.397265"
"Andrena_carolina","53","10585.962264","3488.518812","479.184911","276461.614888"
"Liopoeum_argentinum","16","1076.375","333.930107","83.482527","915779.099316"
"Andrena_mariana","4","1548","1750.355202","875.177601","3663116.397265"
"Perdita_perpallida","25","4212.88","2016.221989","403.244398","586098.623562"
"Camptopoeum_frontale","16","5316.875","1777.963025","444.490756","915779.099316"
"Liopoeum_mendocinum","13","1501.769231","1149.814054","318.901041","1127112.73762"
"Andrena_haemorrhoa","550","10004.692727","4871.211102","207.709139","26640.846526"
"Andrena_ruficrus","224","11027.620536","5446.803257","363.929851","65412.792808"
"Andrena_denticulata","276","9833.307971","4231.521407","254.707657","53088.643439"
"Panurginus_sericatus","5","13407.8","5549.052099","2481.611541","2930493.117812"
"Andrena_luridiloma","4","13601.75","3481.507564","1740.753782","3663116.397265"
"Andrena_taraxaci","17","8410.941176","4122.539425","999.862676","861909.740533"
"Andrena_vachali","7","1823.428571","1766.026978","667.495456","2093209.369866"
"Rediviva_brunnea","2","5555","261.629509","185","7326232.794531"
"Rediviva_macgregori","7","1151","483.416659","182.714323","2093209.369866"
"Rediviva_emdeorum","4","897.5","62.024189","31.012094","3663116.397265"
"Dasypoda_pyrotrichia","1","7537",NA,NA,"14652465.589061"
"Rediviva_nitida","4","1664.75","1125.03937","562.519685","3663116.397265"
"Rediviva_micheneri","2","1360.5","260.922402","184.5","7326232.794531"
"Rediviva_parva","8","1831.75","1204.829537","425.971568","1831558.198633"
"Rediviva_intermedia","4","1365.75","158.724867","79.362434","3663116.397265"
"Rediviva_gigas","2","3211","1984.141628","1403","7326232.794531"
"Rediviva_alonsoae","2","1130.5","239.709199","169.5","7326232.794531"
"Rediviva_aurata","2","1720","308.298557","218","7326232.794531"
"Rediviva_rufipes","13","1249","880.554276","244.221815","1127112.73762"
"Rediviva_albifasciata","2","873.5","297.691955","210.5","7326232.794531"
"Rediviva_saetigera","5","5983.2","722.663961","323.185148","2930493.117812"
"Andrena_nasonii","162","8628.617284","2657.805505","208.816922","90447.318451"
"Andrena_imitatrix","193","7721.129534","2748.013381","197.806331","75919.510824"
"Andrena_scotica","209","11436.583732","5869.270375","405.985921","70107.490857"
"Calliopsis_subalpina","102","1282.529412","606.340454","60.036651","143651.623422"
"Macrotera_texana","19","3091","1461.157874","335.212606","771182.399424"
"Andrena_helianthi","153","5243.261438","3200.696268","258.760957","95767.748948"
"Andrena_bimaculata","90","7667.355556","3097.057303","326.458504","162805.173212"
"Andrena_nivalis","194","8014.773196","4301.546047","308.833008","75528.173139"
"Andrena_commoda","110","7207.572727","2654.645875","253.110553","133204.232628"
"Andrena_melanochroa","94","7550.723404","4412.570795","455.121927","155877.293501"
"Andrena_alleghaniensis","74","9617.459459","1971.276231","229.156207","198006.291744"
"Andrena_fucata","318","10771.528302","5246.942589","294.23393","46076.935815"
"Andrena_frigida","172","7890.598837","4622.170972","352.437233","85188.753425"
"Andrena_rufosignata","104","9417.528846","4430.357605","434.432305","140889.092203"
"Panurginus_atriceps","53","7221.320755","5278.005086","724.989755","276461.614888"
"Andrena_barbilabris","488","9007.026639","4463.94574","202.073329","30025.54424"
"Andrena_mandibularis","86","8808.883721","2962.468968","319.451244","170377.50685"
"Andrena_miranda","145","7405.468966","3594.024648","298.467501","101051.486821"
"Andrena_topazana","41","3710.926829","1809.630686","282.616832","357377.209489"
"Andrena_perplexa","139","8327.532374","2624.325747","222.592405","105413.421504"
"Andrena_distans","60","8905.566667","1689.012693","218.050601","244207.759818"
"Protoxaea_gloriosa","74","2249.540541","1215.477833","141.296428","198006.291744"
"Andrena_fragilis","84","8845.440476","1732.063706","188.983644","174434.114155"
"Andrena_pruni","63","9190.047619","1959.814182","246.913378","232578.818874"
"Andrena_transnigra","93","5113.731183","4906.010941","508.729636","157553.393431"
"Andrena_sigmundi","90","7878.388889","3362.728299","354.462686","162805.173212"
"Andrena_erythrogaster","118","6623.305085","2968.332637","273.257168","124173.437195"
"Andrena_brevipalpis","84","8640.285714","2144.828881","234.020017","174434.114155"
"Andrena_fulvata","39","9596.564103","2687.594089","430.35948","375704.245873"
"Andrena_nigrihirta","94","8220.808511","5742.529897","592.296734","155877.293501"
"Andrena_rugosa","102","9185.460784","2143.195443","212.20797","143651.623422"
"Andrena_placata","63","9257.68254","1913.78645","241.114429","232578.818874"
"Spinoliella_rufiventris","6","6998","3736.716848","1525.508265","2442077.598177"
"Macrotera_latior","34","1606.852941","533.178299","91.439324","430954.870267"
"Andrena_confinis","15","10271.666667","2111.030813","545.065812","976831.039271"
"Melitturga_clavicornis","60","5394.85","2580.412179","333.12978","244207.759818"
"Protandrena_mexicanorum","60","2284.583333","1615.329838","208.538185","244207.759818"
"Perdita_albipennis","140","3053.642857","1951.520112","164.933553","104660.468493"
"Andrena_piperi","67","2175.955224","1445.292918","176.570633","218693.516255"
"Andrena_anograe","15","2136.666667","704.697672","181.952157","976831.039271"
"Andrena_scurra","75","3086.026667","2417.062496","279.098337","195366.207854"
"Perdita_nevadensis","19","7407.421053","5351.046526","1227.614266","771182.399424"
"Andrena_personata","84","8248.738095","1977.469626","215.759625","174434.114155"
"Calliopsis_pugionis","6","1837.333333","707.876731","288.989465","2442077.598177"
"Andrena_candidiformis","41","4576.170732","3310.491224","517.011868","357377.209489"
"Andrena_illinoiensis","123","5070.089431","3040.251939","274.130286","119125.736496"
"Perdita_punctosignata","55","1194.618182","878.011105","118.390993","266408.465256"
"Perdita_minima","48","1444.520833","2103.017316","303.544403","305259.699772"
"Perdita_callicerata","70","1546.871429","1555.475704","185.914906","209320.936987"
"Andrena_andrenoides","89","5813.561798","2527.783254","267.944489","164634.444821"
"Panurginus_occidentalis","12","6067.583333","2859.54715","825.480158","1221038.799088"
"Protandrena_bancrofti","70","4196.371429","2113.661643","252.630887","209320.936987"
"Andrena_nigrae","98","6931.540816","2620.688574","264.729523","149514.95499"
"Andrena_caerulea","48","6633.083333","4876.478909","703.859103","305259.699772"
"Andrena_salicifloris","78","6348.628205","5697.547543","645.120223","187852.122937"
"Andrena_striatifrons","56","3440.160714","2513.845484","335.926733","261651.171233"
"Perdita_bishoppi","39","5077.794872","3041.111329","486.967543","375704.245873"
"Calliopsis_crypta","15","3188.2","2887.101369","745.446368","976831.039271"
"Perdita_diversa","14","1829.142857","874.70231","233.774026","1046604.684933"
"Perdita_ashmeadi","29","1338.034483","721.064119","133.898245","505257.434106"
"Andrena_sagittagalea","4","4854.25","502.081916","251.040958","3663116.397265"
"Andrena_macoupinensis","82","4362.829268","3034.975082","335.15693","178688.604745"
"Andrena_gardineri","47","7770.744681","2822.771476","411.743537","311754.587001"
"Calliopsis_anomoptera","22","1152.590909","550.228841","117.309183","666021.163139"
"Perdita_halictoides","47","6179.382979","2714.715884","395.982009","311754.587001"
"Calliopsis_fracta","22","3994.727273","2042.335665","435.427427","666021.163139"
"Andrena_argemonis","27","3125.074074","1583.469898","304.738924","542683.910706"
"Protandrena_abdominalis","38","4683.394737","2333.089513","378.477096","385591.199712"
"Calliopsis_coloradensis","68","4148.25","2534.215539","307.318775","215477.435133"
"Perdita_heterothecae","17","1054.764706","620.706304","150.543391","861909.740533"
"Perdita_maritima","5","5931.6","1203.699215","538.310654","2930493.117812"
"Perdita_larreae","40","1001.575","490.308374","77.524561","366311.639727"
"Andrena_cristata","41","4931.365854","2567.434018","400.965829","357377.209489"
"Andrena_angustitarsata","101","5457.049505","5125.844435","510.040584","145073.916723"
"Andrena_candida","105","4281.342857","4191.753899","409.073294","139547.291324"
"Andrena_medionitens","102","3790.745098","3168.364155","313.714798","143651.623422"
"Andrena_flavipes","332","6828.006024","3419.599798","187.674921","44133.932497"
"Perdita_lingualis","36","2609.416667","1257.505067","209.584178","407012.933029"
"Andrena_microchlora","52","4276.942308","2993.427463","415.1137","281778.184405"
"Andrena_barbara","76","8507.828947","1944.801902","223.084078","192795.599856"
"Mesoxaea_nigerrima","15","5980.866667","2760.436065","712.741527","976831.039271"
"Andrena_palpalis","26","1345.884615","827.949966","162.374347","563556.36881"
"Andrena_rudbeckiae","112","7394.803571","1664.008185","157.233994","130825.585617"
"Perdita_fallax","38","2231.052632","965.44363","156.615638","385591.199712"
"Perdita_trisignata","14","3007.642857","2001.532744","534.932127","1046604.684933"
"Andrena_oenotherae","14","3217.071429","2428.643479","649.082272","1046604.684933"
"Andrena_colletina","35","2230.114286","741.135328","125.274735","418641.873973"
"Andrena_perarmata","32","4697.40625","4405.384871","778.769379","457889.549658"
"Andrena_knuthiana","42","7017.619048","5173.341426","798.263913","348868.228311"
"Perdita_albonotata","19","1089.368421","564.492418","129.503442","771182.399424"
"Andrena_macra","27","8312.185185","1558.579655","299.948794","542683.910706"
"Calliopsis_callops","29","2214.655172","1320.063994","245.12973","505257.434106"
"Mesoxaea_rufescens","16","3290.875","2145.067143","536.266786","915779.099316"
"Andrena_prolixa","17","5800.117647","3442.533966","834.937127","861909.740533"
"Andrena_schuhi","17","3159","1775.370666","430.590634","861909.740533"
"Andrena_atypica","17","4130.823529","2456.24951","595.72801","861909.740533"
"Panurginus_ineptus","44","6419.25","5828.304465","878.649958","333010.58157"
"Perdita_swenki","34","5767.323529","2418.388666","414.750235","430954.870267"
"Calliopsis_persimilis","13","1249.846154","717.278984","198.937397","1127112.73762"
"Macrotera_haplura","18","1568.555556","377.34338","88.940688","814025.866059"
"Andrena_cuneilabris","23","5081","3496.473704","729.065166","637063.721264"
"Calliopsis_squamifera","11","1169.272727","473.6368","142.806868","1332042.326278"
"Calliopsis_chlorops","50","2276.28","1010.784218","142.946475","293049.311781"
"Perdita_californica","16","2135.875","1333.682715","333.420679","915779.099316"
"Perdita_melanochlora","14","774.285714","349.32692","93.361546","1046604.684933"
"Andrena_prima","39","1347.538462","657.758588","105.325668","375704.245873"
"Perdita_distropica","4","2846.25","1376.099167","688.049584","3663116.397265"
"Andrena_yamato","11","13082.545455","2334.777221","703.961819","1332042.326278"
"Andrena_cleodora","49","5850.612245","4394.073944","627.724849","299029.909981"
"Andrena_trapezoidea","9","3367.444444","1487.646977","495.882326","1628051.732118"
"Andrena_nigrocaerulea","79","5791.063291","4855.376109","546.272491","185474.247963"
"Calliopsis_coloratipes","13","1307.076923","366.381282","101.615885","1127112.73762"
"Andrena_linsleyana","6","1067.333333","294.209902","120.11069","2442077.598177"
"Andrena_cupreotincta","68","5159.602941","4585.780808","556.107607","215477.435133"
"Liphanthus_atratus","1","17762",NA,NA,"14652465.589061"
"Andrena_amieti","12","16498.666667","6518.983096","1881.868323","1221038.799088"
"Flavipanurgus_kastiliensis","3","9230","1277.657622","737.655972","4884155.196354"
"Liphanthus_tarsalis","1","4923",NA,NA,"14652465.589061"
