"species","n_alt","mean_alt","sd_alt","se_alt","within_sp_var_alt"
"Anthophora_fulvicauda","18","605.777778","499.779075","117.799058","14514.695126"
"Caenonomada_bruneri","24","343.416667","369.992117","75.524325","10886.021344"
"Euglossa_atroveneta","21","997.904762","460.313144","100.448563","12441.16725"
"Trigona_fuscipennis","256","295.136719","392.454699","24.528419","1020.564501"
"Euglossa_obtusa","10","431.2","386.959027","122.367189","26126.451226"
"Eufriesea_rugosa","26","1179.5","629.68381","123.491155","10048.635087"
"Eucera_aragalli","16","926.4375","235.366939","58.841735","16329.032016"
"Melissodes_coloradensis","46","888.478261","704.628152","103.891753","5679.66331"
"Melissodes_sphaeralceae","27","1672.259259","689.032242","132.604317","9676.463417"
"Eucera_fulvitarsis","125","1576.776","684.715338","61.242802","2090.116098"
"Melissodes_hymenoxidis","38","2492.210526","597.491972","96.925997","6875.381902"
"Anthophorula_exilis","8","905.5","551.034871","194.820247","32658.064032"
"Eucera_primiveris","71","1158.788732","440.90504","52.325801","3679.781863"
"Anthophora_striata","16","336.5625","265.091674","66.272918","16329.032016"
"Oreopasites_barbarae","6","1479","247.733728","101.136871","43544.085377"
"Triopasites_penniger","45","1094.666667","480.061549","71.56335","5805.87805"
"Townsendiella_pulchra","52","779.884615","430.857861","59.749235","5024.317543"
"Centris_cockerelli","166","716.283133","415.361556","32.238309","1573.882604"
"Xylocopa_guatemalensis","92","1588.891304","599.657548","62.518621","2839.831655"
"Epeolus_attenboroughi","3","2039.333333","433.361666","250.201475","87088.170753"
"Eufriesea_concava","56","599.392857","515.840767","68.932122","4665.437719"
"Anthophorula_sidae","21","1104.428571","428.338601","93.471146","12441.16725"
"Melecta_separata","108","771.953704","638.626935","61.451905","2419.115854"
"Centris_vittata","80","567.0375","603.354598","67.457095","3265.806403"
"Melissodes_saponellus","48","1246.979167","521.916048","75.332093","5443.010672"
"Hasinamelissa_isaloensis","1","130",NA,NA,"261264.512259"
"Eucera_angustifrons","31","890.709677","469.857723","84.388938","8427.887492"
"Epeolus_ainsliei","22","549.909091","401.163654","85.528378","11875.659648"
"Holcopasites_stevensi","47","1108.191489","515.189608","75.148128","5558.81941"
"Paranomada_velutina","57","1278.052632","334.195752","44.265309","4583.587934"
"Diadasia_afflictula","27","1242.222222","194.451365","37.422183","9676.463417"
"Eufriesea_atlantica","2","604.5","269.407684","190.5","130632.25613"
"Epeolus_lectoides","85","154.541176","150.057176","16.275986","3073.700144"
"Triepeolus_pectoralis","124","234.290323","349.056586","31.346207","2106.971873"
"Ceratina_waini","1","541",NA,NA,"261264.512259"
"Svastra_nevadensis","5","1739","805.066146","360.036526","52252.902452"
"Svastra_helianthelli","54","973.333333","639.219365","86.986738","4838.231709"
"Oxytrigona_mediorufa","23","647","377.803821","78.777542","11359.32662"
"Melecta_pacifica","171","1438.070175","722.282449","55.234319","1527.862645"
"Anthophora_salazariae","39","1080.923077","575.550281","92.161804","6699.090058"
"Epeolus_flavofasciatus","15","2198.533333","479.132977","123.711603","17417.634151"
"Leiopodus_singularis","48","1163.1875","564.956698","81.544475","5443.010672"
"Nomada_obliterata","49","275.918367","251.384403","35.912058","5331.928822"
