"species","n_alt","mean_alt","sd_alt","se_alt","within_sp_var_alt"
"Melipona_beecheii","288","491.0625","551.688024","32.508529","907.168445"
"Epeolus_scutellaris","276","271.130435","393.746727","23.700768","946.610552"
"Anthophora_villosula","131","274.496183","308.404115","26.945393","1994.38559"
"Centris_nitida","287","642.202091","715.846372","42.255075","910.329311"
"Frieseomelitta_nigra","174","316.350575","425.123318","32.228516","1501.520185"
"Bombus_cingulatus","579","304.24525","204.656515","8.505235","451.234045"
"Bombus_pyrosoma","29","1276.689655","526.349565","97.74066","9009.121112"
"Ceratina_smaragdula","206","160.461165","276.395821","19.257409","1268.274331"
"Epeolus_compactus","141","978.617021","792.244449","66.719018","1852.939803"
"Melissodes_tepaneca","468","551.583333","591.142287","27.325562","558.257505"
"Eucera_frater","185","969.724324","844.605429","62.096626","1412.240607"
"Nomada_gracilis","101","227.663366","232.585824","23.143154","2586.777349"
"Diadasia_diminuta","731","1251.06156","644.324427","23.8312","357.406994"
"Exaerete_frontalis","140","384.15","434.388149","36.712499","1866.175088"
"Melissodes_paroselae","186","984.763441","574.203729","42.10266","1404.647915"
"Nomada_texana","310","837.377419","636.236937","36.13583","842.788749"
"Triepeolus_remigatus","234","372.594017","417.235097","27.275512","1116.51501"
"Bombus_sylvicola","836","1397.028708","1117.523087","38.650344","312.517359"
"Bombus_balteatus","542","981.083026","961.467554","41.298568","482.037845"
"Bombus_vandykei","339","904.430678","726.720218","39.470024","770.691777"
"Bombus_jonellus","3087","283.186913","352.244099","6.339798","84.633791"
"Bombus_sandersoni","486","427.271605","337.729423","15.319718","537.581301"
"Nomada_ruficornis","1338","178.107623","265.930886","7.270106","195.264957"
"Bombus_pascuorum","6713","261.467451","333.876161","4.074995","38.919188"
"Ceratina_mikmaqi","387","239.439276","215.917078","10.975682","675.102099"
"Anthophora_furcata","1266","241.631122","423.670096","11.907236","206.370073"
"Nomada_panzeri","1736","218.81106","336.488665","8.075986","150.497991"
"Nomada_perplexa","68","211.029412","378.017846","45.841397","3842.12518"
"Epeoloides_pilosulus","50","200.9","216.662462","30.640699","5225.290245"
"Nomada_vicina","104","241.201923","297.691682","29.191071","2512.158772"
"Nomada_depressa","111","354.540541","475.056165","45.090336","2353.734345"
"Nomada_subrutila","8","169.875","146.087486","51.649726","32658.064032"
"Diadasia_australis","370","1203.964865","678.022253","35.248698","706.120303"
"Epeolus_olympiellus","34","877.382353","921.352892","158.010717","7684.250361"
"Nomada_cuneata","134","282.30597","263.19078","22.73622","1949.735166"
"Nomada_sayi","95","219.284211","284.755687","29.215317","2750.152761"
"Nomada_hydrophylli","12","274.666667","166.321886","48.012993","21772.042688"
"Exaerete_smaragdina","261","480.739464","516.435037","31.966526","1001.013457"
"Nomada_maculata","342","273.947368","333.536014","18.035562","763.931322"
"Eucera_hamata","268","403.466418","475.729145","29.059783","974.867583"
"Anthophora_bomboides","561","1007.078431","834.588603","35.236358","465.712143"
"Melissodes_denticulatus","320","236.8","214.937851","12.015391","816.451601"
"Ceratina_strenua","595","237.104202","228.987692","9.38758","439.100021"
"Svastra_texana","79","970.936709","464.276728","52.235213","3307.145725"
"Centris_caesalpiniae","156","1212.871795","400.131941","32.036194","1674.772514"
"Ceratina_dupla","616","222.665584","217.098326","8.747141","424.130702"
"Triepeolus_donatus","100","265.09","220.752254","22.075225","2612.645123"
"Melissodes_rivalis","223","1280.816143","803.989611","53.839127","1171.589741"
"Bombus_hyperboreus","159","614.157233","477.964785","37.905073","1643.173033"
"Nomada_cressonii","336","323.592262","423.888507","23.125014","777.572953"
"Melissodes_dentiventris","192","125.057292","130.760209","9.436805","1360.752668"
"Bombus_kluanensis","6","1267.666667","406.125925","165.800215","43544.085377"
"Epeolus_mesillae","91","931.087912","542.709655","56.89143","2871.038596"
"Epeolus_pusillus","150","411.533333","631.152825","51.533412","1741.763415"
"Zacosmia_maculata","91","1195.208791","581.36119","60.943212","2871.038596"
"Melissodes_persimilis","43","1323.418605","599.388507","91.40589","6075.91889"
"Euglossa_imperialis","227","365.69163","377.953493","25.085654","1150.944988"
"Bombus_brachycephalus","88","1726.397727","565.297878","60.260956","2968.914912"
"Epeolus_bifasciatus","252","243.646825","282.989164","17.826642","1036.763938"
"Euglossa_viridissima","181","749.038674","732.908584","54.476666","1443.450344"
"Coelioxoides_punctipennis","12","550.083333","605.595794","174.820447","21772.042688"
"Triepeolus_grandis","64","1499.59375","514.868938","64.358617","4082.258004"
"Nomada_lehighensis","76","246.842105","266.268989","30.543148","3437.690951"
"Bombus_natvigi","34","558.647059","443.893509","76.127109","7684.250361"
"Xylocopa_mordax","101","159.792079","234.748645","23.358363","2586.777349"
"Ceratina_arizonensis","157","718.248408","571.532495","45.613259","1664.105174"
"Melissodes_trinodis","361","245.235457","268.42353","14.127554","723.724411"
"Diadasia_ochracea","403","1205.540943","613.677947","30.569476","648.299038"
"Ceratina_floridana","137","44.525547","82.536808","7.051595","1907.040235"
"Anthophora_curta","447","809.516779","592.290359","28.014373","584.484367"
"Florilegus_condignus","195","295.34359","533.042589","38.171973","1339.818012"
"Nomada_bifasciata","283","301.508834","324.763912","19.305211","923.196156"
"Centris_scopipes","20","759.15","257.068755","57.482321","13063.225613"
"Anthophora_exigua","147","1643.312925","566.861786","46.753972","1777.309607"
"Ericrocis_lata","223","873.64574","535.490913","35.859124","1171.589741"
"Anthophora_ursina","263","1409.057034","808.528232","49.855987","993.401187"
"Epeolus_minimus","141","1092.858156","821.756069","69.204345","1852.939803"
"Melipona_quadrifasciata","97","690.350515","401.965822","40.813446","2693.44858"
"Triepeolus_verbesinae","102","801.27451","536.724133","53.143608","2561.416787"
"Melissodes_vernoniae","91","609.989011","468.888556","49.152876","2871.038596"
"Anthophora_vallorum","39","1161.897436","386.444712","61.880678","6699.090058"
"Anthophora_cockerelli","44","854.613636","430.638478","64.921193","5937.829824"
"Triepeolus_simplex","63","172.095238","152.943982","19.269131","4147.05575"
"Anthophora_centriformis","108","896.953704","528.759656","50.879922","2419.115854"
"Habropoda_pallida","93","544.043011","436.976442","45.312346","2809.295831"
"Anthophora_hololeuca","101","515.306931","525.859577","52.324984","2586.777349"
"Eucera_rosae","80","130.7875","141.847368","15.859018","3265.806403"
"Triepeolus_subalpinus","33","1482.121212","823.309585","143.319803","7917.106432"
"Centris_mocsaryi","30","754.866667","681.647635","124.451262","8708.817075"
"Diadasia_rinconis","557","1008.745063","719.354192","30.480015","469.056575"
"Habropoda_tristissima","130","647.084615","585.244692","51.329355","2009.727017"
"Diadasia_tuberculifrons","35","331.028571","313.958923","53.068744","7464.70035"
"Trigona_truculenta","144","388.097222","475.471328","39.622611","1814.336891"
"Lestrimelitta_niitkib","57","538.45614","569.687793","75.456992","4583.587934"
"Epeolus_americanus","65","1253.446154","1052.876566","130.593265","4019.454035"
"Trigona_guianae","177","384.101695","528.587387","39.731061","1476.070691"
"Melipona_subnitida","17","241.058824","239.527","58.093831","15368.500721"
"Eucera_lepida","27","863.888889","456.929159","87.936058","9676.463417"
"Triepeolus_melanarius","13","212.538462","366.517534","101.653674","20097.270174"
"Anthophora_albata","137","1782.525547","591.074857","50.498933","1907.040235"
"Melissodes_stearnsi","76","319.144737","410.999423","47.144867","3437.690951"
"Partamona_orizabaensis","170","749.364706","639.783864","49.069182","1536.850072"
"Anthophora_petrophila","317","1291.479495","482.681976","27.110121","824.178272"
"Centris_zacateca","43","1726.790698","441.814525","67.376083","6075.91889"
"Lestrimelitta_danuncia","26","394.192308","408.73483","80.159495","10048.635087"
"Centris_mexicana","70","1634.428571","621.003316","74.224093","3732.350175"
"Martinapis_luteicornis","71","1289.84507","367.423292","43.605122","3679.781863"
"Centris_hoffmanseggiae","81","762.728395","475.771742","52.863527","3225.487806"
"Habropoda_cineraria","193","1232.860104","803.09716","57.808199","1353.702136"
"Anthophora_abroniae","37","458.189189","530.321016","87.184238","7061.203034"
"Epicharis_elegans","88","960.977273","675.762813","72.036558","2968.914912"
"Melissodes_tristis","593","1392.740304","636.273054","26.128603","440.580965"
"Centris_lanosa","74","521.405405","538.101735","62.553056","3530.601517"
"Melissodes_montanus","121","1632.68595","628.40478","57.127707","2159.210845"
"Melissodes_gilensis","109","1737.238532","543.944457","52.10043","2396.922131"
"Svastra_cressonii","65","672.307692","434.623182","53.908371","4019.454035"
"Paratetrapedia_calcarata","107","560.616822","490.978742","47.464707","2441.724414"
"Triepeolus_penicilliferus","40","532.35","538.151087","85.089158","6531.612806"
"Melissodes_trifasciatus","10","272.5","275.652055","87.168834","26126.451226"
"Centris_tricolor","48","1018.583333","880.477284","127.085949","5443.010672"
"Eucera_edwardsii","164","1029.829268","743.162432","58.031236","1593.076294"
"Xylocopa_pulchra","1","497",NA,NA,"261264.512259"
"Centris_pallida","161","504.416149","395.566817","31.175032","1622.760946"
"Trigona_corvina","230","544.8","521.412035","34.380891","1135.932662"
"Anthophora_maculifrons","102","1662.04902","469.752292","46.512408","2561.416787"
"Ceratina_cockerelli","80","111.65","247.368894","27.656683","3265.806403"
"Anthophora_flavocincta","83","357","461.587505","50.665811","3147.765208"
"Anthophora_porterae","213","1373.248826","603.159683","41.327821","1226.593954"
"Diadasia_sphaeralcearum","69","900.608696","532.851602","64.147795","3786.442207"
"Melissodes_confusus","172","1839.127907","793.05005","60.469499","1518.979722"
"Scaptotrigona_hellwegeri","113","852.247788","608.830796","57.273984","2312.07533"
"Centris_atripes","249","922.176707","638.799593","40.482279","1049.255069"
"Melissodes_coreopsis","373","815.608579","608.569424","31.51053","700.441052"
"Partamona_bilineata","302","968.13245","786.125874","45.236461","865.114279"
"Plebeia_pulchra","56","646.767857","522.45821","69.816415","4665.437719"
"Melissodes_tepidus","164","642.853659","655.410331","51.178948","1593.076294"
"Melissodes_robustior","75","476.373333","610.760509","70.524549","3483.52683"
"Ancyloscelis_apiformis","145","425.42069","518.650113","43.071548","1801.824222"
"Melissodes_bimatris","150","1448.946667","531.157869","43.368858","1741.763415"
"Melissodes_moorei","12","114","231.850657","66.92952","21772.042688"
"Anthophorula_nitens","20","325.15","313.793475","70.166354","13063.225613"
"Melissodes_limbus","93","1257.311828","562.66103","58.345231","2809.295831"
"Centris_transversa","75","1354.04","670.75785","77.452445","3483.52683"
"Anthophora_walshii","131","770.977099","602.634211","52.652395","1994.38559"
"Melissodes_grindeliae","79","2032.025316","708.607735","79.724599","3307.145725"
"Melissodes_subagilis","209","1283.263158","479.339612","33.156614","1250.069437"
"Anthophorula_albicans","26","622.269231","516.272684","101.249403","10048.635087"
"Anthophora_phenax","56","575.232143","439.804998","58.771415","4665.437719"
"Diadasia_nigrifrons","85","1282.576471","738.823508","80.136661","3073.700144"
"Exomalopsis_solani","276","1278.778986","519.861553","31.291988","946.610552"
"Melissodes_intortus","21","349.047619","310.768157","67.815172","12441.16725"
"Melissodes_comptoides","327","310.59633","407.776948","22.550117","798.974044"
"Melissodes_thelypodii","163","934.380368","559.819583","43.848454","1602.849768"
"Melipona_colimana","5","2109.4","577.32729","258.188613","52252.902452"
"Diadasia_lutzi","271","946.383764","620.899795","37.716976","964.075691"
"Diadasia_afflicta","83","396.686747","518.144954","56.873797","3147.765208"
"Diadasia_consociata","35","381.114286","573.209631","96.890112","7464.70035"
"Anthophorula_consobrina","20","1154.7","427.095466","95.501449","13063.225613"
"Plebeia_frontalis","229","620.755459","581.027788","38.395397","1140.893067"
"Plebeia_moureana","35","489.4","469.297924","79.325827","7464.70035"
"Diadasia_tropicalis","40","595.3","603.550444","95.429704","6531.612806"
"Centris_varia","247","657.40081","680.241484","43.282729","1057.751062"
"Anthophora_timberlakei","27","607.925926","432.558927","83.246004","9676.463417"
"Ceratina_acantha","324","686.055556","663.625745","36.868097","806.371951"
"Melissodes_pallidisignatus","174","1339.212644","784.174427","59.44811","1501.520185"
"Anthophora_squammulosa","112","1090.401786","657.938446","62.16934","2332.718859"
"Melissodes_wheeleri","78","359.423077","352.003598","39.856559","3349.545029"
"Svastra_sabinensis","137","1034.744526","530.631616","45.334918","1907.040235"
"Melissodes_boltoniae","66","180.621212","155.807649","19.178596","3958.553216"
"Exomalopsis_analis","173","681.66474","655.167237","49.811443","1510.199493"
"Svastra_duplocincta","55","771.254545","484.527766","65.333711","4750.263859"
"Anthophorula_texana","27","152.296296","109.528997","21.078865","9676.463417"
"Exomalopsis_similis","122","447.196721","550.303277","49.822118","2141.512396"
"Melissodes_verbesinarum","144","1205.715278","548.126429","45.677202","1814.336891"
"Melitoma_taurea","254","199.669291","175.495889","11.011591","1028.600442"
"Anthophorula_compactula","166","946.138554","510.566375","39.627636","1573.882604"
"Centris_agameta","13","879.846154","565.963168","156.96994","20097.270174"
"Melissodes_humilior","24","1340.75","442.064844","90.236108","10886.021344"
"Holcopasites_calliopsidis","301","345.704319","446.614684","25.742442","867.988413"
"Melissodes_micheneri","8","1308.375","856.150844","302.695034","32658.064032"
"Melissodes_menuachus","147","1381.163265","619.666681","51.109246","1777.309607"
"Anthophora_columbariae","38","853.026316","443.119866","71.883534","6875.381902"
"Exomalopsis_snowi","32","677.25","769.876194","136.096169","8164.516008"
"Diadasia_knabiana","3","1062.333333","1691.827808","976.77724","87088.170753"
"Melipona_grandis","98","189.540816","139.22778","14.06413","2665.964411"
"Melitoma_marginella","95","484.294737","611.938616","62.783577","2750.152761"
"Euglossa_townsendi","77","484.142857","447.072045","50.948588","3393.045614"
"Xylocopa_gualanensis","72","606.625","642.966528","75.774332","3628.673781"
"Melissodes_utahensis","80","1665.525","340.110666","38.025528","3265.806403"
"Epicharis_analis","16","440.3125","336.842934","84.210734","16329.032016"
"Eucera_interrupta","60","603.5","613.543874","79.208174","4354.408538"
"Anthophora_estebana","52","852.711538","512.975302","71.136875","5024.317543"
"Melissodes_glenwoodensis","112","1543.491071","531.633756","50.234668","2332.718859"
"Svastra_machaerantherae","82","1260.109756","351.103059","38.772847","3186.152589"
"Neolarra_vigilans","58","1469.62069","574.858604","75.482633","4504.560556"
"Ceratina_pacifica","204","1531.294118","546.139728","38.237429","1280.708393"
"Melipona_costaricensis","74","595.324324","596.962841","69.395521","3530.601517"
"Ericrocis_pintada","57","1342.210526","665.265729","88.116598","4583.587934"
"Eucera_vulpes","12","238.916667","199.029673","57.454918","21772.042688"
"Centris_decolorata","86","69.686047","171.563623","18.500181","3037.959445"
"Anthophora_rhodothorax","26","711.192308","692.974806","135.903541","10048.635087"
"Neolarra_californica","70","739.371429","487.845847","58.308731","3732.350175"
