"species","n_bio_16","mean_bio_16","sd_bio_16","se_bio_16","within_sp_var_bio_16"
"Lasioglossum_holochlorum","17","323.235294","171.884601","41.688139","1690.646152"
"Hylaeus_ruficeps","28","325.928571","194.924473","36.837263","1026.463735"
"Nomia_rubroviridis","9","756.222222","335.999173","111.999724","3193.442731"
"Bombus_flavifrons","429","302.547786","287.284898","13.870246","66.995302"
"Bombus_perplexus","396","288.181818","92.585792","4.652611","72.578244"
"Bombus_rufocinctus","566","254.560071","137.064467","5.761249","50.779125"
"Melissodes_druriellus","227","296.229075","93.796666","6.225503","126.612267"
"Melissodes_illatus","65","310.938462","78.429482","9.72798","442.168993"
"Melissodes_bimaculatus","375","348.306667","94.068011","4.857651","76.642626"
"Bombus_sitkensis","136","560.367647","388.367501","33.302238","211.330769"
"Melissodes_subillatus","66","320.151515","71.287984","8.774944","435.469463"
"Bombus_variabilis","126","442.47619","272.717604","24.295615","228.103052"
"Melissodes_compositus","40","175.425","119.771125","18.937478","718.524614"
"Melissodes_bicoloratus","17","156.411765","145.63613","35.32195","1690.646152"
"Melissodes_lustrus","35","271.714286","184.485225","31.183695","821.170988"
"Melissodes_lupinus","70","278.328571","215.042141","25.702452","410.585494"
"Melissodes_tessellatus","13","166.538462","74.921754","20.779556","2210.844967"
"Melissodes_expolitus","4","202.5","97.974486","48.987243","7185.246144"
"Melissodes_interruptus","19","527.105263","185.459757","42.547386","1512.683399"
"Melissodes_lutulentus","55","146.872727","89.873173","12.118496","522.563356"
"Melissodes_appressus","18","264.277778","224.944125","53.019839","1596.721365"
"Melissodes_gelidus","32","247.5625","60.265508","10.653537","898.155768"
"Melissodes_perpolitus","14","119.428571","36.98589","9.884895","2052.92747"
"Melissodes_melanurus","8","324.5","186.446469","65.918781","3592.623072"
"Melissodes_velutinus","10","245.3","224.146802","70.881442","2874.098458"
"Melissodes_tinctus","24","395.583333","94.50324","19.290393","1197.541024"
"Melissodes_paululus","10","271.1","134.344044","42.483317","2874.098458"
"Melissodes_fasciatellus","23","194.304348","65.804417","13.721169","1249.608025"
"Melissodes_semilupinus","36","126.916667","59.496158","9.916026","798.360683"
"Nomada_imbricata","84","338.035714","74.322716","8.109273","342.154578"
"Nomada_luteoloides","102","320.911765","75.626768","7.488166","281.774359"
"Apis_dorsata","376","1045.646277","594.176966","30.642337","76.438789"
"Axestotrigona_erythra","6","742.5","212.288247","86.666314","4790.164096"
"Amegilla_calva","14","206.5","110.799715","29.612469","2052.92747"
"Amegilla_chlorocyanea","224","214.691964","236.657401","15.812338","128.307967"
"Plebeiella_lendliana","11","703.454545","350.930581","105.809551","2612.81678"
"Melissodes_nigroaeneus","20","574.45","202.387974","45.255327","1437.049229"
"Eulaema_speciosa","16","1148.6875","404.854825","101.213706","1796.311536"
"Axestotrigona_ferruginea","27","564.666667","138.599589","26.673503","1064.48091"
"Ceratina_okinawana","3","836.333333","146.41152","84.53073","9580.328192"
"Bombus_muscorum","319","288.802508","128.663749","7.203787","90.09713"
"Xylocopa_micheneri","24","462.5","179.57486","36.655565","1197.541024"
"Bombus_laesus","37","194.324324","63.486243","10.437074","776.783367"
"Bombus_californicus","197","297.233503","235.76239","16.797375","145.893323"
"Amegilla_scymna","1","123",NA,NA,"28740.984577"
"Amegilla_indistincta","4","931.25","238.988668","119.494334","7185.246144"
"Amegilla_karlba","4","876.75","271.196577","135.598288","7185.246144"
"Amegilla_paeninsulae","2","1207","188.090404","133","14370.492289"
"Amegilla_viridicingulata","1","1189",NA,NA,"28740.984577"
"Apis_florea","260","773.292308","625.436224","38.787908","110.542248"
"Austrothurgus_rubricatus","26","478.346154","235.576899","46.200431","1105.422484"
"Bombus_impatiens","566","342.227915","103.037699","4.330998","50.779125"
"Braunsapis_occidentalis","4","176.75","134.433069","67.216534","7185.246144"
"Hylaeus_cyanurus","1","321",NA,NA,"28740.984577"
"Bombus_fraternus","265","343.45283","111.979159","6.878825","108.456546"
