"species","n_bio_5","mean_bio_5","sd_bio_5","se_bio_5","within_sp_var_bio_5"
"Lasioglossum_holochlorum","17","27.088235","4.106227","0.995906","0.693974"
"Hylaeus_ruficeps","28","30.160714","3.619529","0.684027","0.421342"
"Nomia_rubroviridis","9","32.522222","3.199132","1.066377","1.310841"
"Bombus_flavifrons","430","21.926512","5.040091","0.243055","0.027436"
"Bombus_perplexus","397","24.080856","3.13768","0.157476","0.029717"
"Bombus_rufocinctus","566","25.235689","3.690969","0.155143","0.020844"
"Melissodes_druriellus","227","27.657709","2.859013","0.189759","0.051972"
"Melissodes_illatus","65","24.998462","3.294858","0.408677","0.181501"
"Melissodes_bimaculatus","376","29.509043","2.399294","0.123734","0.031377"
"Bombus_sitkensis","137","21.031387","4.838248","0.413359","0.086114"
"Melissodes_subillatus","66","26.992424","2.952147","0.363384","0.178751"
"Bombus_variabilis","126","29.363492","3.854153","0.343355","0.093631"
"Melissodes_compositus","40","31.315","2.398028","0.379162","0.294939"
"Melissodes_bicoloratus","17","33.105882","4.57363","1.109268","0.693974"
"Melissodes_lustrus","35","29.557143","3.021033","0.510648","0.337073"
"Melissodes_lupinus","70","29.794286","3.845226","0.459592","0.168537"
"Melissodes_tessellatus","13","31.938462","2.371897","0.657846","0.907505"
"Melissodes_expolitus","4","36.125","3.610517","1.805259","2.949391"
"Melissodes_interruptus","19","28.347368","2.854114","0.654779","0.620924"
"Melissodes_lutulentus","55","29.481818","3.320703","0.447764","0.214501"
"Melissodes_appressus","18","32.9","2.891773","0.681597","0.65542"
"Melissodes_gelidus","32","31.9125","1.940527","0.34304","0.368674"
"Melissodes_perpolitus","14","32.057143","2.509893","0.670797","0.842683"
"Melissodes_melanurus","8","31","3.34664","1.183216","1.474696"
"Melissodes_velutinus","10","29.94","2.692046","0.8513","1.179757"
"Melissodes_tinctus","24","30.341667","2.110206","0.430744","0.491565"
"Melissodes_paululus","10","31.21","4.235682","1.33944","1.179757"
"Melissodes_fasciatellus","23","31.852174","2.55394","0.532533","0.512938"
"Melissodes_semilupinus","36","31.011111","3.085707","0.514285","0.32771"
"Nomada_imbricata","84","27.411905","2.728758","0.297732","0.140447"
"Nomada_luteoloides","102","26.716667","2.792816","0.27653","0.115662"
"Apis_mellifera","4306","27.22817","5.15641","0.07858","0.00274"
"Apis_dorsata","377","32.659151","4.566375","0.23518","0.031293"
"Bombus_pullatus","58","27.494828","3.432682","0.450733","0.203406"
"Axestotrigona_erythra","6","29.75","1.573213","0.642262","1.966261"
"Amegilla_calva","14","35.057143","3.999945","1.06903","0.842683"
"Amegilla_chlorocyanea","225","31.933778","4.29304","0.286203","0.052434"
"Plebeiella_lendliana","11","28.490909","2.76241","0.832898","1.072506"
"Melissodes_nigroaeneus","20","27.995","2.306393","0.515725","0.589878"
"Eulaema_speciosa","16","26.0875","2.961053","0.740263","0.737348"
"Axestotrigona_ferruginea","27","28.692593","1.926321","0.370721","0.436947"
"Ceratina_okinawana","3","29.566667","0.802081","0.463082","3.932522"
"Bombus_muscorum","324","20.754938","3.742932","0.207941","0.036412"
"Xylocopa_micheneri","24","30.283333","3.88326","0.792667","0.491565"
"Bombus_laesus","37","26.227027","2.900733","0.476878","0.318853"
"Bombus_californicus","197","25.950761","4.859565","0.34623","0.059886"
"Amegilla_scymna","1","32.6",NA,NA,"11.797565"
"Amegilla_indistincta","4","28.95","1.6052","0.8026","2.949391"
"Amegilla_karlba","4","34.625","2.699846","1.349923","2.949391"
"Amegilla_paeninsulae","2","29.75","1.202082","0.85","5.898783"
"Amegilla_viridicingulata","1","29.5",NA,NA,"11.797565"
"Anthidium_manicatum","813","24.542804","4.017954","0.140916","0.014511"
"Apis_florea","258","35.367442","4.650771","0.289544","0.045727"
"Austrothurgus_rubricatus","26","32.542308","4.530622","0.888528","0.453753"
"Bombus_hypnorum","2180","23.552018","5.219334","0.111786","0.005412"
"Bombus_impatiens","572","27.766958","3.774499","0.15782","0.020625"
"Braunsapis_occidentalis","4","30.5","2.363613","1.181806","2.949391"
"Hylaeus_cyanurus","1","29.6",NA,NA,"11.797565"
"Bombus_fraternus","265","31.18566","1.975269","0.12134","0.044519"
"Megachile_aethiops","17","34.358824","3.662659","0.888325","0.693974"
"Tetragonula_clypearis","8","30.05","1.298351","0.459036","1.474696"
"Trichocolletes_albigenae","5","28.64","2.138457","0.956347","2.359513"
"Trichocolletes_avialis","1","37",NA,NA,"11.797565"
"Trichocolletes_centralis","3","33.266667","2.055075","1.186498","3.932522"
"Trichocolletes_nitens","2","32.45","0.353553","0.25","5.898783"
"Trichocolletes_orientalis","22","26.581818","3.061378","0.652688","0.536253"
"Xylocopa_virginica","639","29.793897","3.699891","0.146365","0.018463"
"Bombus_crotchii","46","31.365217","4.679469","0.68995","0.256469"
"Bombus_morrisoni","226","30.10531","4.848401","0.322511","0.052202"
"Melissodes_microstictus","550","29.633091","4.15455","0.177151","0.02145"
"Bombus_bifarius","327","25.088685","4.952142","0.273854","0.036078"
"Bombus_fervidus","657","27.31933","3.604935","0.140642","0.017957"
"Bombus_appositus","225","26.390222","3.958839","0.263923","0.052434"
"Bombus_vosnesenskii","213","25.183568","5.393861","0.369581","0.055388"
"Bombus_ephippiatus","100","25.548","4.908177","0.490818","0.117976"
"Anthophora_urbana","239","30.383264","5.003433","0.323645","0.049362"
"Bombus_mexicanus","27","27.351852","3.238515","0.623253","0.436947"
"Bombus_terricola","507","23.548126","3.316597","0.147295","0.023269"
"Bombus_sonorus","204","31.941176","4.487","0.314153","0.057831"
"Bombus_steindachneri","51","29.513725","3.890605","0.544794","0.231325"
"Bombus_mixtus","396","21.794697","4.916914","0.247084","0.029792"
"Bombus_huntii","448","27.477455","4.003992","0.189171","0.026334"
"Bombus_melanopygus","406","21.978325","5.974326","0.296501","0.029058"
"Bombus_caliginosus","64","26.928125","5.09645","0.637056","0.184337"
"Bombus_centralis","295","26.389153","4.285978","0.249539","0.039992"
"Bombus_griseocollis","723","28.559059","3.268215","0.121546","0.016318"
"Bombus_diligens","42","28.011905","3.678958","0.567676","0.280894"
"Bombus_auricomus","301","29.002326","2.728436","0.157264","0.039195"
"Trigona_nigerrima","57","28.592982","2.926533","0.387629","0.206975"
"Melissodes_agilis","317","30.282334","3.312998","0.186077","0.037216"
"Nomada_denticulata","74","27.308108","2.71504","0.315617","0.159427"
"Nomada_articulata","162","28.157407","3.366381","0.264488","0.072824"
"Epeolus_autumnalis","40","26.705","2.508851","0.396684","0.294939"
"Ceratina_calcarata","246","27.976829","3.17032","0.202132","0.047958"
"Nomada_fabriciana","190","21.202105","2.744942","0.199139","0.062092"
"Nomada_ferruginata","106","21.546226","2.195154","0.213212","0.111298"
"Bombus_ternarius","476","23.761975","3.126626","0.143309","0.024785"
"Bombus_bimaculatus","503","27.601392","3.48647","0.155454","0.023454"
"Scaptotrigona_mexicana","46","29","2.584226","0.381023","0.256469"
"Xylocopa_tabaniformis","196","30.544898","4.578458","0.327033","0.060192"
"Xylocopa_micans","153","31.193464","1.738521","0.140551","0.077108"
"Bombus_pauloensis","157","26.633758","3.349484","0.267318","0.075144"
"Xylocopa_sonorina","146","33.170548","4.777984","0.395429","0.080805"
"Bombus_insularis","439","23.613667","4.616849","0.22035","0.026874"
