"species","n_bio_15","mean_bio_15","sd_bio_15","se_bio_15","within_sp_var_bio_15"
"Lasioglossum_holochlorum","17","30","14.075688","3.413856","21.501272"
"Hylaeus_ruficeps","28","59.357143","34.986997","6.611921","13.054344"
"Nomia_rubroviridis","9","89.555556","25.278999","8.426333","40.613513"
"Bombus_flavifrons","429","47.079254","18.37558","0.887181","0.852032"
"Bombus_perplexus","396","30.563131","18.92018","0.950775","0.923034"
"Bombus_rufocinctus","566","40.871025","20.434466","0.858925","0.645798"
"Melissodes_druriellus","227","26.30837","17.412539","1.155711","1.610227"
"Melissodes_illatus","65","19.292308","12.716528","1.577291","5.62341"
"Melissodes_bimaculatus","375","29.56","18.51119","0.955914","0.974724"
"Bombus_sitkensis","136","49.058824","19.291051","1.654194","2.687659"
"Melissodes_subillatus","66","22.212121","15.93884","1.961936","5.538206"
"Bombus_variabilis","126","36.857143","21.57284","1.921861","2.900965"
"Melissodes_compositus","40","50.725","24.571181","3.885045","9.13804"
"Melissodes_bicoloratus","17","49.294118","25.907925","6.283595","21.501272"
"Melissodes_lustrus","35","56.114286","26.832565","4.535531","10.443475"
"Melissodes_lupinus","70","62.742857","25.819151","3.085979","5.221737"
"Melissodes_tessellatus","13","86.769231","24.573542","6.815474","28.117048"
"Melissodes_expolitus","4","71.5","17.597348","8.798674","91.380405"
"Melissodes_interruptus","19","96.368421","14.697734","3.371891","19.23798"
"Melissodes_lutulentus","55","40.618182","20.42465","2.754059","6.645848"
"Melissodes_appressus","18","71.555556","22.515935","5.307057","20.306757"
"Melissodes_gelidus","32","54.6875","14.197768","2.509835","11.422551"
"Melissodes_perpolitus","14","40.214286","19.869492","5.310345","26.108687"
"Melissodes_melanurus","8","78.375","13.532369","4.784415","45.690202"
"Melissodes_velutinus","10","81.2","12.882374","4.073764","36.552162"
"Melissodes_tinctus","24","22.708333","10.691236","2.182339","15.230067"
"Melissodes_paululus","10","74","19.390719","6.131884","36.552162"
"Melissodes_fasciatellus","23","62.347826","23.135193","4.824021","15.892244"
"Melissodes_semilupinus","36","44.861111","20.071519","3.345253","10.153378"
"Nomada_imbricata","84","17.02381","10.301452","1.123981","4.351448"
"Nomada_luteoloides","102","18.117647","12.005192","1.188691","3.583545"
"Apis_dorsata","376","84.015957","37.670498","1.942708","0.972132"
"Axestotrigona_erythra","6","89.833333","26.798632","10.940496","60.92027"
"Amegilla_calva","14","64.928571","22.605188","6.041491","26.108687"
"Amegilla_chlorocyanea","224","45.370536","28.002902","1.871023","1.631793"
"Plebeiella_lendliana","11","70.272727","32.921394","9.926174","33.229238"
"Melissodes_nigroaeneus","20","40.55","27.284997","6.101111","18.276081"
"Eulaema_speciosa","16","40.4375","18.832485","4.708121","22.845101"
"Axestotrigona_ferruginea","27","66.62963","25.760955","4.957698","13.537838"
"Ceratina_okinawana","3","23.666667","3.21455","1.855921","121.840539"
"Bombus_muscorum","319","26.579937","12.142978","0.679876","1.145836"
"Xylocopa_micheneri","24","82.041667","21.273538","4.342443","15.230067"
"Bombus_laesus","37","34.594595","18.98312","3.120806","9.878963"
"Bombus_californicus","197","51.152284","24.682621","1.758564","1.85544"
"Amegilla_scymna","1","36",NA,NA,"365.521618"
"Amegilla_indistincta","4","73","22.774254","11.387127","91.380405"
"Amegilla_karlba","4","105.5","6.137318","3.068659","91.380405"
"Amegilla_paeninsulae","2","99","9.899495","7","182.760809"
"Amegilla_viridicingulata","1","98",NA,NA,"365.521618"
"Apis_florea","260","98.434615","30.992457","1.922071","1.405852"
"Austrothurgus_rubricatus","26","79.923077","31.932332","6.262446","14.058524"
"Bombus_impatiens","566","29.683746","19.277773","0.810305","0.645798"
"Braunsapis_occidentalis","4","53","30.517754","15.258877","91.380405"
"Hylaeus_cyanurus","1","42",NA,NA,"365.521618"
"Bombus_fraternus","265","37.184906","19.043206","1.169815","1.379327"
"Megachile_aethiops","18","102.833333","15.685325","3.697067","20.306757"
"Tetragonula_clypearis","8","88.125","28.144715","9.950659","45.690202"
