"species","n_bio_8","mean_bio_8","sd_bio_8","se_bio_8","within_sp_var_bio_8"
"Lasioglossum_holochlorum","17","183.294118","63.878561","15.492827","237.638261"
"Hylaeus_ruficeps","28","185.464286","75.219916","14.215228","144.280373"
"Nomia_rubroviridis","9","278.888889","13.968218","4.656073","448.872271"
"Bombus_flavifrons","429","84.240093","75.4263","3.641616","9.416901"
"Bombus_perplexus","396","142.689394","73.038793","3.670337","10.201643"
"Bombus_rufocinctus","566","119.60424","78.640319","3.305499","7.137545"
"Melissodes_druriellus","227","171.092511","74.768168","4.962538","17.796698"
"Melissodes_illatus","65","137.815385","81.760873","10.141188","62.151545"
"Melissodes_bimaculatus","375","195.693333","59.685982","3.082171","10.772935"
"Bombus_sitkensis","136","43.441176","63.900706","5.47944","29.704783"
"Melissodes_subillatus","66","178.015152","72.789579","8.959778","61.209855"
"Bombus_variabilis","126","200.515873","55.026791","4.902176","32.062305"
"Melissodes_compositus","40","161.175","76.690817","12.125883","100.996261"
"Melissodes_bicoloratus","17","132","95.35329","23.12657","237.638261"
"Melissodes_lustrus","35","80.4","77.355634","13.075489","115.424298"
"Melissodes_lupinus","70","78.857143","60.165059","7.1911","57.712149"
"Melissodes_tessellatus","13","151.923077","90.180801","25.011654","310.757726"
"Melissodes_expolitus","4","279","43.119988","21.559994","1009.962611"
"Melissodes_interruptus","19","213.052632","32.438786","7.441968","212.623708"
"Melissodes_lutulentus","55","114.363636","81.958066","11.051223","73.451826"
"Melissodes_appressus","18","148.166667","93.974496","22.150001","224.436136"
"Melissodes_gelidus","32","210.5625","41.763495","7.382813","126.245326"
"Melissodes_perpolitus","14","200.928571","56.801225","15.180766","288.560746"
"Melissodes_melanurus","8","71.875","61.459481","21.729208","504.981305"
"Melissodes_velutinus","10","79.5","40.61814","12.844584","403.985044"
"Melissodes_tinctus","24","216.625","53.754525","10.972596","168.327102"
"Melissodes_paululus","10","71.8","46.799335","14.799249","403.985044"
"Melissodes_fasciatellus","23","214.173913","63.014899","13.139515","175.645671"
"Melissodes_semilupinus","36","134.722222","88.185069","14.697511","112.218068"
"Nomada_imbricata","84","173.595238","80.074832","8.73688","48.093458"
"Nomada_luteoloides","102","166.205882","79.545533","7.876181","39.606377"
"Apis_dorsata","376","264.178191","24.564748","1.26683","10.744283"
"Axestotrigona_erythra","6","220.833333","25.222345","10.296979","673.308407"
"Amegilla_calva","14","277.785714","59.888587","16.005898","288.560746"
"Amegilla_chlorocyanea","224","210.513393","84.506002","5.646295","18.035047"
