"family","tribe","tips","sociality"
"Andrenidae","Andreninini","Andrena_vaga","solitary"
"Andrenidae","Andreninini","Andrena_erythrogaster","solitary"
"Andrenidae","Andreninini","Andrena_carlini","solitary"
"Andrenidae","Andreninini","Andrena_pruni","solitary"
"Andrenidae","Andreninini","Andrena_transnigra","solitary"
"Andrenidae","Andreninini","Andrena_dunningi","solitary"
"Andrenidae","Andreninini","Andrena_regularis","solitary"
"Andrenidae","Andreninini","Andrena_perplexa","solitary"
"Andrenidae","Andreninini","Andrena_barbara","solitary"
"Andrenidae","Andreninini","Andrena_cineraria","solitary"
"Andrenidae","Andreninini","Andrena_barbareae","solitary"
"Andrenidae","Andreninini","Andrena_fedtschenkoi","solitary"
"Andrenidae","Andreninini","Andrena_osmioides","solitary"
"Andrenidae","Andreninini","Andrena_albopunctata","solitary"
"Andrenidae","Andreninini","Andrena_macra","solitary"
"Andrenidae","Andreninini","Andrena_torulosa","solitary"
"Andrenidae","Andreninini","Andrena_bicolorata","solitary"
"Andrenidae","Andreninini","Andrena_florentina","solitary"
"Andrenidae","Andreninini","Andrena_nigroaenea","solitary"
"Andrenidae","Andreninini","Andrena_elmaria","solitary"
"Andrenidae","Andreninini","Andrena_pyrozonata","solitary"
"Andrenidae","Andreninini","Andrena_parathoracica","solitary"
"Andrenidae","Andreninini","Andrena_watasei","solitary"
"Andrenidae","Andreninini","Andrena_thoracica","solitary"
"Andrenidae","Andreninini","Andrena_nitida","solitary"
"Andrenidae","Andreninini","Andrena_limata","solitary"
"Andrenidae","Andreninini","Andrena_flavipes","solitary"
"Andrenidae","Andreninini","Andrena_notophila","solitary"
"Andrenidae","Andreninini","Andrena_vachali","solitary"
"Andrenidae","Andreninini","Andrena_gravida","solitary"
"Andrenidae","Andreninini","Andrena_sigiella","solitary"
"Andrenidae","Andreninini","Andrena_chrysopyga","solitary"
"Andrenidae","Andreninini","Andrena_fuscocalcarata","solitary"
"Andrenidae","Andreninini","Andrena_morio","solitary"
"Andrenidae","Andreninini","Andrena_commoda","solitary"
"Andrenidae","Andreninini","Andrena_nivalis","solitary"
"Andrenidae","Andreninini","Andrena_vicina","solitary"
"Andrenidae","Andreninini","Andrena_dentata","solitary"
"Andrenidae","Andreninini","Andrena_sagittagalea","solitary"
"Andrenidae","Andreninini","Andrena_ziziaeformis","solitary"
"Andrenidae","Andreninini","Andrena_violae","solitary"
"Andrenidae","Andreninini","Andrena_algida","solitary"
"Andrenidae","Andreninini","Andrena_ruficrus","solitary"
"Andrenidae","Andreninini","Andrena_astragali","solitary"
"Andrenidae","Andreninini","Andrena_tridens","solitary"
"Andrenidae","Andreninini","Andrena_distans","solitary"
"Andrenidae","Andreninini","Andrena_geranii","solitary"
"Andrenidae","Andreninini","Andrena_lawrencei","solitary"
"Andrenidae","Andreninini","Andrena_misella","solitary"
"Andrenidae","Andreninini","Andrena_nigrocaerulea","solitary"
"Andrenidae","Andreninini","Andrena_caerulea","solitary"
"Andrenidae","Andreninini","Andrena_nigrihirta","solitary"
"Andrenidae","Andreninini","Andrena_erigeniae","solitary"
"Andrenidae","Andreninini","Andrena_luridiloma","solitary"
"Andrenidae","Andreninini","Andrena_fulvida","solitary"
"Andrenidae","Andreninini","Andrena_bicolor","solitary"
"Andrenidae","Andreninini","Andrena_allosa","solitary"
"Andrenidae","Andreninini","Andrena_amieti","solitary"
"Andrenidae","Andreninini","Andrena_montana","solitary"
"Andrenidae","Andreninini","Andrena_solenopalpa","solitary"
"Andrenidae","Andreninini","Andrena_symphyti","solitary"
"Andrenidae","Andreninini","Andrena_chrysopus","solitary"
"Andrenidae","Andreninini","Andrena_fulvata","solitary"
"Andrenidae","Andreninini","Andrena_angustior","solitary"
"Andrenidae","Andreninini","Andrena_igraeca","solitary"
"Andrenidae","Andreninini","Andrena_rufula","solitary"
"Andrenidae","Andreninini","Andrena_granulosa","solitary"
"Andrenidae","Andreninini","Andrena_scrophulariae","solitary"
"Andrenidae","Andreninini","Andrena_merula","solitary"
"Andrenidae","Andreninini","Andrena_marginata","solitary"
"Andrenidae","Andreninini","Andrena_quinquepalpa","solitary"
"Andrenidae","Andreninini","Andrena_fulvago","solitary"
"Andrenidae","Andreninini","Andrena_hesperia","solitary"
"Andrenidae","Andreninini","Andrena_henotica","solitary"
"Andrenidae","Andreninini","Andrena_eremobia","solitary"
"Andrenidae","Andreninini","Andrena_menahemella","solitary"
"Andrenidae","Andreninini","Andrena_euzona","solitary"
"Andrenidae","Andreninini","Andrena_ornithogali","solitary"
"Andrenidae","Andreninini","Andrena_crocusella","solitary"
"Andrenidae","Andreninini","Andrena_krausiella","solitary"
"Andrenidae","Andreninini","Andrena_hyacinthina","solitary"
"Andrenidae","Andreninini","Andrena_aerinifrons","solitary"
"Andrenidae","Andreninini","Andrena_chrysosceles","solitary"
"Andrenidae","Andreninini","Andrena_nitidiuscula","solitary"
"Andrenidae","Andreninini","Andrena_fulvicornis","solitary"
"Andrenidae","Andreninini","Andrena_pallitarsis","solitary"
"Andrenidae","Andreninini","Andrena_falcinella","solitary"
"Andrenidae","Andreninini","Andrena_nothoscordi","solitary"
"Andrenidae","Andreninini","Andrena_cressonii","solitary"
"Andrenidae","Andreninini","Andrena_schencki","solitary"
"Andrenidae","Andreninini","Andrena_cordialis","solitary"
"Andrenidae","Andreninini","Andrena_pulverea","solitary"
"Andrenidae","Andreninini","Andrena_colletiformis","solitary"
"Andrenidae","Andreninini","Andrena_robertsonii","solitary"
"Andrenidae","Andreninini","Andrena_savignyi","solitary"
"Andrenidae","Andreninini","Andrena_curvungula","solitary"
"Andrenidae","Andreninini","Andrena_paucisquama","solitary"
"Andrenidae","Andreninini","Andrena_pandellei","solitary"
"Andrenidae","Andreninini","Andrena_rufizona","solitary"
"Andrenidae","Andreninini","Andrena_florivaga","solitary"
"Andrenidae","Andreninini","Andrena_statusa","solitary"
"Andrenidae","Andreninini","Andrena_dorsalis","solitary"
"Andrenidae","Andreninini","Andrena_impasta","solitary"
"Andrenidae","Andreninini","Andrena_moricei","solitary"
"Andrenidae","Andreninini","Andrena_mucida","solitary"
"Andrenidae","Andreninini","Andrena_ventricosa","solitary"
"Andrenidae","Andreninini","Andrena_brumanensis","solitary"
"Andrenidae","Andreninini","Andrena_ochraceohirta","solitary"
"Andrenidae","Andreninini","Andrena_dorsata","solitary"
"Andrenidae","Andreninini","Andrena_yamato","solitary"
"Andrenidae","Andreninini","Andrena_opacifovea","solitary"
"Andrenidae","Andreninini","Andrena_susterai","solitary"
"Andrenidae","Andreninini","Andrena_florea","solitary"
"Andrenidae","Andreninini","Andrena_angustitarsata","solitary"
"Andrenidae","Andreninini","Andrena_pallidifovea","solitary"
"Andrenidae","Andreninini","Andrena_nasonii","solitary"
"Andrenidae","Andreninini","Andrena_wheeleri","solitary"
"Andrenidae","Andreninini","Andrena_combinata","solitary"
"Andrenidae","Andreninini","Andrena_lepida","solitary"
"Andrenidae","Andreninini","Andrena_biskrensis","solitary"
"Andrenidae","Andreninini","Andrena_confinis","solitary"
"Andrenidae","Andreninini","Andrena_congruens","solitary"
"Andrenidae","Andreninini","Andrena_thomsonii","solitary"
"Andrenidae","Andreninini","Andrena_ardentia","solitary"
"Andrenidae","Andreninini","Andrena_transitoria","solitary"
"Andrenidae","Andreninini","Andrena_venerabilis","solitary"
"Andrenidae","Andreninini","Andrena_vetula","solitary"
"Andrenidae","Andreninini","Andrena_fimbriatoides","solitary"
"Andrenidae","Andreninini","Andrena_labialis","solitary"
"Andrenidae","Andreninini","Andrena_flavilabris","solitary"
"Andrenidae","Andreninini","Andrena_decipiens","solitary"
"Andrenidae","Andreninini","Andrena_forsterella","solitary"
"Andrenidae","Andreninini","Andrena_wilhelmi","solitary"
"Andrenidae","Andreninini","Andrena_ungeri","solitary"
"Andrenidae","Andreninini","Andrena_cochlearicalcar","solitary"
"Andrenidae","Andreninini","Andrena_aciculata","solitary"
"Andrenidae","Andreninini","Andrena_spolata","solitary"
"Andrenidae","Andreninini","Andrena_curviocciput","solitary"
"Andrenidae","Andreninini","Andrena_israelica","solitary"
"Andrenidae","Andreninini","Andrena_judaea","solitary"
"Andrenidae","Andreninini","Andrena_turmalina","solitary"
"Andrenidae","Andreninini","Andrena_anathema","solitary"
"Andrenidae","Andreninini","Andrena_longistilus","solitary"
"Andrenidae","Andreninini","Andrena_aeneiventris","solitary"
"Andrenidae","Andreninini","Andrena_verticalis","solitary"
"Andrenidae","Andreninini","Andrena_bisulcata","solitary"
"Andrenidae","Andreninini","Andrena_hyemala","solitary"
"Andrenidae","Andreninini","Andrena_impunctata","solitary"
"Andrenidae","Andreninini","Andrena_butea","solitary"
"Andrenidae","Andreninini","Andrena_volka","solitary"
"Andrenidae","Andreninini","Andrena_figurata","solitary"
"Andrenidae","Andreninini","Andrena_nisoria","solitary"
"Andrenidae","Andreninini","Andrena_tebessana","solitary"
"Andrenidae","Andreninini","Andrena_alfkenella","solitary"
"Andrenidae","Andreninini","Andrena_floricola","solitary"
"Andrenidae","Andreninini","Andrena_minutuloides","solitary"
"Andrenidae","Andreninini","Andrena_paganettina","solitary"
"Andrenidae","Andreninini","Andrena_tkalcui","solitary"
"Andrenidae","Andreninini","Andrena_minutula","solitary"
"Andrenidae","Andreninini","Andrena_sillata","solitary"
"Andrenidae","Andreninini","Andrena_convexifrons","solitary"
"Andrenidae","Andreninini","Andrena_nana","solitary"
"Andrenidae","Andreninini","Andrena_hikosana","solitary"
"Andrenidae","Andreninini","Andrena_subopaca","solitary"
"Andrenidae","Andreninini","Andrena_falsifica","solitary"
"Andrenidae","Andreninini","Andrena_kaguya","solitary"
"Andrenidae","Andreninini","Andrena_komachi","solitary"
"Andrenidae","Andreninini","Andrena_semirugosa","solitary"
"Andrenidae","Andreninini","Andrena_tenuistriata","solitary"
"Andrenidae","Andreninini","Andrena_cervina","solitary"
"Andrenidae","Andreninini","Andrena_wollastoni","solitary"
"Andrenidae","Andreninini","Andrena_lunaris","solitary"
"Andrenidae","Andreninini","Andrena_rugothorace","solitary"
"Andrenidae","Andreninini","Andrena_simontornyella","solitary"
"Andrenidae","Andreninini","Andrena_enslinella","solitary"
"Andrenidae","Andreninini","Andrena_tringa","solitary"
"Andrenidae","Andreninini","Andrena_yelkouan","solitary"
"Andrenidae","Andreninini","Andrena_luscinia","solitary"
"Andrenidae","Andreninini","Andrena_proxima","solitary"
"Andrenidae","Andreninini","Andrena_ampla","solitary"
"Andrenidae","Andreninini","Andrena_alutacea","solitary"
"Andrenidae","Andreninini","Andrena_dividicincta","solitary"
"Andrenidae","Andreninini","Andrena_exigua","solitary"
"Andrenidae","Andreninini","Andrena_spreta","solitary"
"Andrenidae","Andreninini","Andrena_semilaevis","solitary"
"Andrenidae","Andreninini","Andrena_pusilla","solitary"
"Andrenidae","Andreninini","Andrena_fabrella","solitary"
"Andrenidae","Andreninini","Andrena_longibarbis","solitary"
"Andrenidae","Andreninini","Andrena_mariana","solitary"
"Andrenidae","Andreninini","Andrena_pandosa","solitary"
"Andrenidae","Andreninini","Andrena_oedicnema","solitary"
"Andrenidae","Andreninini","Andrena_cedricola","solitary"
"Andrenidae","Andreninini","Andrena_distinguenda","solitary"
"Andrenidae","Andreninini","Andrena_nitidula","solitary"
"Andrenidae","Andreninini","Andrena_decollata","solitary"
"Andrenidae","Andreninini","Andrena_orana","solitary"
"Andrenidae","Andreninini","Andrena_melanochroa","solitary"
"Andrenidae","Andreninini","Andrena_nigrae","solitary"
"Andrenidae","Andreninini","Andrena_illinoiensis","solitary"
"Andrenidae","Andreninini","Andrena_ziziae","solitary"
"Andrenidae","Andreninini","Andrena_personata","solitary"
"Andrenidae","Andreninini","Andrena_candidiformis","solitary"
"Andrenidae","Andreninini","Andrena_piperi","solitary"
"Andrenidae","Andreninini","Andrena_microchlora","solitary"
"Andrenidae","Andreninini","Andrena_trapezoidea","solitary"
"Andrenidae","Andreninini","Andrena_iliaca","solitary"
"Andrenidae","Andreninini","Andrena_stenofovea","solitary"
"Andrenidae","Andreninini","Andrena_fuscicollis","solitary"
"Andrenidae","Andreninini","Andrena_janthina","solitary"
"Andrenidae","Andreninini","Andrena_janthinoides","solitary"
"Andrenidae","Andreninini","Andrena_obtusa","solitary"
"Andrenidae","Andreninini","Andrena_xera","solitary"
"Andrenidae","Andreninini","Andrena_hypopolia","solitary"
"Andrenidae","Andreninini","Andrena_varicornis","solitary"
"Andrenidae","Andreninini","Andrena_seminuda","solitary"
"Andrenidae","Andreninini","Andrena_nobilis","solitary"
"Andrenidae","Andreninini","Andrena_melittoides","solitary"
"Andrenidae","Andreninini","Andrena_avara","solitary"
"Andrenidae","Andreninini","Andrena_rufiventris","solitary"
"Andrenidae","Andreninini","Andrena_danini","solitary"
"Andrenidae","Andreninini","Andrena_garrula","solitary"
"Andrenidae","Andreninini","Andrena_humilis","solitary"
"Andrenidae","Andreninini","Andrena_kamarti","solitary"
"Andrenidae","Andreninini","Andrena_orientana","solitary"
"Andrenidae","Andreninini","Andrena_taraxaci","solitary"
"Andrenidae","Andreninini","Andrena_pastellensis","solitary"
"Andrenidae","Andreninini","Andrena_rhenana","solitary"
"Andrenidae","Andreninini","Andrena_curtivalvis","solitary"
"Andrenidae","Andreninini","Andrena_cinerea","solitary"
"Andrenidae","Andreninini","Andrena_tadauchii","solitary"
"Andrenidae","Andreninini","Andrena_nigroolivacea","solitary"
"Andrenidae","Andreninini","Andrena_isis","solitary"
"Andrenidae","Andreninini","Andrena_exquisita","solitary"
"Andrenidae","Andreninini","Andrena_monilia","solitary"
"Andrenidae","Andreninini","Andrena_oralis","solitary"
"Andrenidae","Andreninini","Andrena_fuligula","solitary"
"Andrenidae","Andreninini","Andrena_truncatilabris","solitary"
"Andrenidae","Andreninini","Andrena_ferrugineicrus","solitary"
"Andrenidae","Andreninini","Andrena_macula","solitary"
"Andrenidae","Andreninini","Andrena_gordia","solitary"
"Andrenidae","Andreninini","Andrena_protuber","solitary"
"Andrenidae","Andreninini","Andrena_tscheki","solitary"
"Andrenidae","Andreninini","Andrena_mucronata","solitary"
"Andrenidae","Andreninini","Andrena_mizorhina","solitary"
"Andrenidae","Andreninini","Andrena_dorchini","solitary"
"Andrenidae","Andreninini","Andrena_limassolica","solitary"
"Andrenidae","Andreninini","Andrena_rotundilabris","solitary"
"Andrenidae","Andreninini","Andrena_evoluta","solitary"
"Andrenidae","Andreninini","Andrena_nothocalaidis","solitary"
"Andrenidae","Andreninini","Andrena_knuthi","solitary"
"Andrenidae","Andreninini","Andrena_okinawana","solitary"
"Andrenidae","Andreninini","Andrena_pinkeunia","solitary"
"Andrenidae","Andreninini","Andrena_asluji","solitary"
"Andrenidae","Andreninini","Andrena_euphorbiae","solitary"
"Andrenidae","Andreninini","Andrena_cinereophila","solitary"
"Andrenidae","Andreninini","Andrena_byrsicola","solitary"
"Andrenidae","Andreninini","Andrena_hattorfiana","solitary"
"Andrenidae","Andreninini","Andrena_kilikiae","solitary"
"Andrenidae","Andreninini","Andrena_labiata","solitary"
"Andrenidae","Andreninini","Andrena_mediterranea","solitary"
"Andrenidae","Andreninini","Andrena_sphecodimorpha","solitary"
"Andrenidae","Andreninini","Andrena_potentillae","solitary"
"Andrenidae","Andreninini","Andrena_rusticola","solitary"
"Andrenidae","Andreninini","Andrena_combaella","solitary"
"Andrenidae","Andreninini","Andrena_speciosa","solitary"
"Andrenidae","Andreninini","Andrena_schulzi","solitary"
"Andrenidae","Andreninini","Andrena_isabellina","solitary"
"Andrenidae","Andreninini","Andrena_glareola","solitary"
"Andrenidae","Andreninini","Andrena_dauma","solitary"
"Andrenidae","Andreninini","Andrena_polita","solitary"
"Andrenidae","Andreninini","Andrena_unicincta","solitary"
"Andrenidae","Andreninini","Andrena_viridescens","solitary"
"Andrenidae","Andreninini","Andrena_galilaea","solitary"
"Andrenidae","Andreninini","Andrena_semirubra","solitary"
"Andrenidae","Andreninini","Andrena_veronicae","solitary"
"Andrenidae","Andreninini","Andrena_sedumella","solitary"
"Andrenidae","Andreninini","Andrena_anisochlora","solitary"
"Andrenidae","Andreninini","Andrena_ferox","solitary"
"Andrenidae","Andreninini","Andrena_bucephala","solitary"
"Andrenidae","Andreninini","Andrena_nuptialis","solitary"
"Andrenidae","Andreninini","Andrena_rosae","solitary"
"Andrenidae","Andreninini","Andrena_trimmerana","solitary"
"Andrenidae","Andreninini","Andrena_carantonica","solitary"
"Andrenidae","Andreninini","Andrena_scotica","solitary"
"Andrenidae","Andreninini","Andrena_nigripes","solitary"
"Andrenidae","Andreninini","Andrena_nasuta","solitary"
"Andrenidae","Andreninini","Andrena_intermedia","solitary"
"Andrenidae","Andreninini","Andrena_gelriae","solitary"
"Andrenidae","Andreninini","Andrena_wilkella","solitary"
"Andrenidae","Andreninini","Andrena_russula","solitary"
"Andrenidae","Andreninini","Andrena_similis","solitary"
"Andrenidae","Andreninini","Andrena_ovatula","solitary"
"Andrenidae","Andreninini","Andrena_lathyri","solitary"
"Andrenidae","Andreninini","Andrena_aberrans","solitary"
"Andrenidae","Andreninini","Andrena_veterana","solitary"
"Andrenidae","Andreninini","Andrena_mucorea","solitary"
"Andrenidae","Andreninini","Andrena_blanda","solitary"
"Andrenidae","Andreninini","Andrena_andrenoides","solitary"
"Andrenidae","Andreninini","Andrena_miserabilis","solitary"
"Andrenidae","Andreninini","Andrena_barbilabris","solitary"
"Andrenidae","Andreninini","Andrena_argentata","solitary"
"Andrenidae","Andreninini","Andrena_ventralis","solitary"
"Andrenidae","Andreninini","Andrena_sericata","solitary"
"Andrenidae","Andreninini","Andrena_fragilis","solitary"
"Andrenidae","Andreninini","Andrena_integra","solitary"
"Andrenidae","Andreninini","Andrena_persimulata","solitary"
"Andrenidae","Andreninini","Andrena_platyparia","solitary"
"Andrenidae","Andreninini","Andrena_bradleyi","solitary"
"Andrenidae","Andreninini","Andrena_longifovea","solitary"
"Andrenidae","Andreninini","Andrena_plumiscopa","solitary"
"Andrenidae","Andreninini","Andrena_nubica","solitary"
"Andrenidae","Andreninini","Andrena_brevipalpis","solitary"
"Andrenidae","Andreninini","Andrena_arabis","solitary"
"Andrenidae","Andreninini","Andrena_scurra","solitary"
"Andrenidae","Andreninini","Andrena_sladeni","solitary"
"Andrenidae","Andreninini","Andrena_walleyi","solitary"
"Andrenidae","Andreninini","Andrena_bisalicis","solitary"
"Andrenidae","Andreninini","Andrena_lauta","solitary"
"Andrenidae","Andreninini","Andrena_w-scripta","solitary"
"Andrenidae","Andreninini","Andrena_candida","solitary"
"Andrenidae","Andreninini","Andrena_cristata","solitary"
"Andrenidae","Andreninini","Andrena_knuthiana","solitary"
"Andrenidae","Andreninini","Andrena_medionitens","solitary"
"Andrenidae","Andreninini","Andrena_chapmanae","solitary"
"Andrenidae","Andreninini","Andrena_asteris","solitary"
"Andrenidae","Andreninini","Andrena_placata","solitary"
"Andrenidae","Andreninini","Andrena_gardineri","solitary"
"Andrenidae","Andreninini","Andrena_rudbeckiae","solitary"
"Andrenidae","Andreninini","Andrena_helianthi","solitary"
"Andrenidae","Andreninini","Andrena_toluca","solitary"
"Andrenidae","Andreninini","Andrena_camellia","solitary"
"Andrenidae","Andreninini","Andrena_hunanensis","solitary"
"Andrenidae","Andreninini","Andrena_striata","solitary"
"Andrenidae","Andreninini","Andrena_trevoris","solitary"
"Andrenidae","Andreninini","Andrena_mackieae","solitary"
"Andrenidae","Andreninini","Andrena_atypica","solitary"
"Andrenidae","Andreninini","Andrena_bairacumensis","solitary"
"Andrenidae","Andreninini","Andrena_ispida","solitary"
"Andrenidae","Andreninini","Andrena_longiceps","solitary"
"Andrenidae","Andreninini","Andrena_limbata","solitary"
"Andrenidae","Andreninini","Andrena_aruana","solitary"
"Andrenidae","Andreninini","Andrena_corax","solitary"
"Andrenidae","Andreninini","Andrena_guttata","solitary"
"Andrenidae","Andreninini","Andrena_agilissima","solitary"
"Andrenidae","Andreninini","Andrena_argemonis","solitary"
"Andrenidae","Andreninini","Andrena_crataegi","solitary"
"Andrenidae","Andreninini","Andrena_prunorum","solitary"
"Andrenidae","Andreninini","Andrena_tibialis","solitary"
"Andrenidae","Andreninini","Andrena_bimaculata","solitary"
"Andrenidae","Andreninini","Andrena_pilipes","solitary"
"Andrenidae","Andreninini","Andrena_suerinensis","solitary"
"Andrenidae","Andreninini","Andrena_hispania","solitary"
"Andrenidae","Andreninini","Andrena_aegypticola","solitary"
"Andrenidae","Andreninini","Andrena_fuscosa","solitary"
"Andrenidae","Andreninini","Andrena_scita","solitary"
"Andrenidae","Andreninini","Andrena_albifacies","solitary"
"Andrenidae","Andreninini","Andrena_caliginosa","solitary"
"Andrenidae","Andreninini","Andrena_omogensis","solitary"
"Andrenidae","Andreninini","Andrena_saettana","solitary"
"Andrenidae","Andreninini","Andrena_troodica","solitary"
"Andrenidae","Andreninini","Andrena_caroli","solitary"
"Andrenidae","Andreninini","Andrena_wolfi","solitary"
"Andrenidae","Andreninini","Andrena_alleghaniensis","solitary"
"Andrenidae","Andreninini","Andrena_prima","solitary"
"Andrenidae","Andreninini","Andrena_anograe","solitary"
"Andrenidae","Andreninini","Andrena_oenotherae","solitary"
"Andrenidae","Andreninini","Andrena_vanduzeei","solitary"
"Andrenidae","Andreninini","Andrena_linsleyi","solitary"
"Andrenidae","Andreninini","Andrena_fenningeri","solitary"
"Andrenidae","Andreninini","Andrena_imitatrix","solitary"
"Andrenidae","Andreninini","Andrena_mendica","solitary"
"Andrenidae","Andreninini","Andrena_kalmiae","solitary"
"Andrenidae","Andreninini","Andrena_ilicis","solitary"
"Andrenidae","Andreninini","Andrena_cuneilabris","solitary"
"Andrenidae","Andreninini","Andrena_olivacea","solitary"
"Andrenidae","Andreninini","Andrena_puthua","solitary"
"Andrenidae","Andreninini","Andrena_linsleyana","solitary"
"Andrenidae","Andreninini","Andrena_forbesii","solitary"
"Andrenidae","Andreninini","Andrena_hippotes","solitary"
"Andrenidae","Andreninini","Andrena_striatifrons","solitary"
"Andrenidae","Andreninini","Andrena_nuda","solitary"
"Andrenidae","Andreninini","Andrena_ceanothi","solitary"
"Andrenidae","Andreninini","Andrena_miranda","solitary"
"Andrenidae","Andreninini","Andrena_salicifloris","solitary"
"Andrenidae","Andreninini","Andrena_sigmundi","solitary"
"Andrenidae","Andreninini","Andrena_rugosa","solitary"
"Andrenidae","Andreninini","Andrena_cupreotincta","solitary"
"Andrenidae","Andreninini","Andrena_cleodora","solitary"
"Andrenidae","Andreninini","Andrena_cyanophila","solitary"
"Andrenidae","Andreninini","Andrena_spiraeana","solitary"
"Andrenidae","Andreninini","Andrena_foveopunctata","solitary"
"Andrenidae","Andreninini","Andrena_haemorrhoa","solitary"
"Andrenidae","Andreninini","Andrena_lagopus","solitary"
"Andrenidae","Andreninini","Andrena_cerasifolii","solitary"
"Andrenidae","Andreninini","Andrena_arsinoe","solitary"
"Andrenidae","Andreninini","Andrena_angustella","solitary"
"Andrenidae","Andreninini","Andrena_banksi","solitary"
"Andrenidae","Andreninini","Andrena_dimorpha","solitary"
"Andrenidae","Andreninini","Andrena_erythronii","solitary"
"Andrenidae","Andreninini","Andrena_mandibularis","solitary"
"Andrenidae","Andreninini","Andrena_thaspii","solitary"
"Andrenidae","Andreninini","Andrena_prolixa","solitary"
"Andrenidae","Andreninini","Andrena_macoupinensis","solitary"
"Andrenidae","Andreninini","Andrena_topazana","solitary"
"Andrenidae","Andreninini","Andrena_praecox","solitary"
"Andrenidae","Andreninini","Andrena_frigida","solitary"
"Andrenidae","Andreninini","Andrena_perarmata","solitary"
"Andrenidae","Andreninini","Andrena_milwaukeensis","solitary"
"Andrenidae","Andreninini","Andrena_rufosignata","solitary"
"Andrenidae","Andreninini","Andrena_carolina","solitary"
"Andrenidae","Andreninini","Andrena_schuhi","solitary"
"Andrenidae","Andreninini","Andrena_hemileuca","solitary"
"Andrenidae","Andreninini","Andrena_benefica","solitary"
"Andrenidae","Andreninini","Andrena_fulva","solitary"
"Andrenidae","Andreninini","Andrena_synadelpha","solitary"
"Andrenidae","Andreninini","Andrena_helvola","solitary"
"Andrenidae","Andreninini","Andrena_clarkella","solitary"
"Andrenidae","Andreninini","Andrena_rogenhoferi","solitary"
"Andrenidae","Andreninini","Andrena_lapponica","solitary"
"Andrenidae","Andreninini","Andrena_fucata","solitary"
"Andrenidae","Andreninini","Andrena_nycthemera","solitary"
"Andrenidae","Andreninini","Andrena_apicata","solitary"
"Andrenidae","Andreninini","Andrena_mitis","solitary"
"Andrenidae","Andreninini","Andrena_fuscipes","solitary"
