"species","n_bio_6","mean_bio_6","sd_bio_6","se_bio_6","within_sp_var_bio_6"
"Lasioglossum_holochlorum","17","6.747059","2.986243","0.72427","1.800226"
"Hylaeus_ruficeps","28","9.325","3.936592","0.743946","1.092994"
"Nomia_rubroviridis","9","16.411111","4.427597","1.475866","3.400426"
"Bombus_flavifrons","429","-11.868998","8.886635","0.429051","0.071338"
"Bombus_perplexus","396","-12.646212","6.900597","0.346768","0.077282"
"Bombus_rufocinctus","566","-11.088693","6.09402","0.256151","0.05407"
"Melissodes_druriellus","227","-6.472247","5.635207","0.374022","0.134819"
"Melissodes_illatus","65","-9.146154","5.017316","0.622321","0.470828"
"Melissodes_bimaculatus","375","-3.064","7.325496","0.378287","0.08161"
"Bombus_sitkensis","136","-4.738971","7.268442","0.623264","0.225028"
"Melissodes_subillatus","66","-6.672727","5.195784","0.639557","0.463694"
"Bombus_variabilis","126","-0.513492","7.618203","0.678683","0.242888"
"Melissodes_compositus","40","-4.4","4.729233","0.747757","0.765096"
"Melissodes_bicoloratus","17","-2.929412","6.029072","1.462265","1.800226"
"Melissodes_lustrus","35","-2.554286","5.312158","0.897919","0.874395"
"Melissodes_lupinus","70","-1.87","5.874444","0.70213","0.437198"
"Melissodes_tessellatus","13","6.938462","6.571217","1.822528","2.354141"
"Melissodes_expolitus","4","3.35","2.517274","1.258637","7.650959"
"Melissodes_interruptus","19","10.863158","5.332626","1.223388","1.610728"
"Melissodes_lutulentus","55","-6.798182","4.965305","0.669522","0.556433"
"Melissodes_appressus","18","1.761111","6.298005","1.484454","1.700213"
"Melissodes_gelidus","32","-4.8375","4.809718","0.850246","0.95637"
"Melissodes_perpolitus","14","-5","3.321492","0.887706","2.185988"
"Melissodes_melanurus","8","1.725","5.892065","2.08316","3.82548"
"Melissodes_velutinus","10","2.08","5.215106","1.649161","3.060384"
"Melissodes_tinctus","24","1.166667","5.859713","1.196109","1.27516"
"Melissodes_paululus","10","2.14","4.042332","1.278298","3.060384"
"Melissodes_fasciatellus","23","-2.43913","3.250558","0.677788","1.330602"
"Melissodes_semilupinus","36","-5.333333","4.498254","0.749709","0.850107"
"Nomada_imbricata","84","-5.217857","5.333982","0.581985","0.364331"
"Nomada_luteoloides","102","-6.608824","4.724281","0.467774","0.300038"
"Apis_dorsata","376","16.820479","6.26643","0.323166","0.081393"
"Axestotrigona_erythra","6","13.966667","3.99483","1.630883","5.100639"
"Amegilla_calva","14","9.357143","2.662478","0.711577","2.185988"
"Amegilla_chlorocyanea","224","7.812946","3.648338","0.243765","0.136624"
"Plebeiella_lendliana","11","16.218182","2.877436","0.86758","2.782167"
"Melissodes_nigroaeneus","20","11.8","4.626923","1.034611","1.530192"
"Eulaema_speciosa","16","17.975","3.62151","0.905377","1.91274"
"Axestotrigona_ferruginea","27","14.87037","5.238821","1.008212","1.133475"
"Ceratina_okinawana","3","15.4","2.424871","1.4","10.201279"
"Bombus_muscorum","319","-2.248276","6.510301","0.364507","0.095937"
"Xylocopa_micheneri","24","11.595833","5.858437","1.195848","1.27516"
"Bombus_laesus","37","-10.683784","6.712613","1.103547","0.827131"
"Bombus_californicus","197","-4.764467","7.492973","0.533852","0.155349"
"Amegilla_scymna","1","6.3",NA,NA,"30.603837"
"Amegilla_indistincta","4","16.2","4.982637","2.491319","7.650959"
"Amegilla_karlba","4","19.6","2.684524","1.342262","7.650959"
"Amegilla_paeninsulae","2","22.15","1.767767","1.25","15.301918"
"Amegilla_viridicingulata","1","20.8",NA,NA,"30.603837"
"Apis_florea","260","15.342308","5.818216","0.36083","0.117707"
"Austrothurgus_rubricatus","26","12.869231","3.743343","0.73413","1.177071"
