"species","n_bio_14","mean_bio_14","sd_bio_14","se_bio_14","within_sp_var_bio_14"
"Lasioglossum_holochlorum","17","40.411765","18.73519","4.543951","29.442258"
"Hylaeus_ruficeps","28","17.392857","14.6144","2.761862","17.875657"
"Nomia_rubroviridis","9","13.888889","15.267977","5.089326","55.613154"
"Bombus_flavifrons","429","22.67366","23.342448","1.126984","1.16671"
"Bombus_perplexus","396","44.022727","26.000233","1.306561","1.263935"
"Bombus_rufocinctus","566","27.086572","21.739844","0.913794","0.884308"
"Melissodes_druriellus","227","48.651982","25.931454","1.721131","2.204927"
"Melissodes_illatus","65","58.707692","22.464363","2.786361","7.700283"
"Melissodes_bimaculatus","375","51.533333","24.790099","1.280155","1.334716"
"Bombus_sitkensis","136","38.647059","35.606809","3.053259","3.680282"
"Melissodes_subillatus","66","56.318182","22.493185","2.76872","7.583612"
"Bombus_variabilis","126","46.007937","24.230723","2.158644","3.972368"
"Melissodes_compositus","40","10.875","11.2094","1.772362","12.51296"
"Melissodes_bicoloratus","17","7.705882","5.64319","1.368675","29.442258"
"Melissodes_lustrus","35","11.028571","14.128581","2.388166","14.300525"
"Melissodes_lupinus","70","7.071429","6.115605","0.730955","7.150263"
"Melissodes_tessellatus","13","1.923077","3.729646","1.034418","38.501414"
"Melissodes_expolitus","4","4.5","1.732051","0.866026","125.129596"
"Melissodes_interruptus","19","8.526316","10.28142","2.35872","26.343073"
"Melissodes_lutulentus","55","11.236364","4.872309","0.656982","9.100334"
"Melissodes_appressus","18","5.333333","4.576153","1.07861","27.806577"
"Melissodes_gelidus","32","16.375","12.207216","2.157951","15.6412"
"Melissodes_perpolitus","14","10.785714","3.90618","1.043971","35.751313"
"Melissodes_melanurus","8","3.625","3.113909","1.100933","62.564798"
"Melissodes_velutinus","10","2.5","1.779513","0.562731","50.051838"
"Melissodes_tinctus","24","64.833333","15.352855","3.133888","20.854933"
"Melissodes_paululus","10","4.6","4.501851","1.42361","50.051838"
"Melissodes_fasciatellus","23","8.913043","3.918639","0.817093","21.761669"
"Melissodes_semilupinus","36","10.833333","7.385314","1.230886","13.903288"
"Nomada_imbricata","84","67.214286","19.182743","2.093009","5.958552"
"Nomada_luteoloides","102","62.705882","22.243739","2.202458","4.907043"
"Apis_dorsata","376","35.111702","52.732009","2.719446","1.331166"
"Axestotrigona_erythra","6","10.666667","25.641113","10.467941","83.419731"
"Amegilla_calva","14","9.428571","10.994504","2.938405","35.751313"
"Amegilla_chlorocyanea","224","15.598214","13.949917","0.932068","2.234457"
"Plebeiella_lendliana","11","26.181818","26.125919","7.877261","45.501671"
"Melissodes_nigroaeneus","20","58.65","42.086721","9.410877","25.025919"
"Eulaema_speciosa","16","102.3125","52.802423","13.200606","31.282399"
"Axestotrigona_ferruginea","27","24.333333","25.971878","4.99829","18.537718"
