"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"bm1_8states_run_bio12",14,-4600.20758021356,-611.660702735366,-3983.9417072922,9228.52870462825,701.791474119505,4.03325464592358e-153
"ou1_8states_run_bio12",15,-4254.38212398123,-609.617762022343,-3640.1591917729,8538.8940478543,12.1568173455526,0.00227991484215937
"oum_cid_8states_run_bio12",16,-4247.29504208694,-612.935062640968,-3629.72842502788,8526.73723050875,0,0.994805026921883
"oum_full_8states_run_bio12",18,-4255.23862676411,-615.038667425968,-3635.65856642808,8546.66236854851,19.9251380397654,4.68866517568333e-05
"oum_nest_8states_run_bio12",16,-4253.14391718874,-614.449217425991,-3632.96576161418,8538.43498071234,11.6977502035934,0.00286816273660295
"oum_soc_8states_run_bio12",16,-4265.83295339938,-623.741466288301,-3631.24384572956,8563.81305313363,37.07582262488,8.84759800785541e-09
