"","np","nRateCat","lnLik","AICc","dAICc","AICcwt"
"bm1_8states_run_bio1",-Inf,2,9414.51385976729,-18800.9141753335,763.085128736977,1.93897947576124e-166
"ou1_8states_run_bio1",-Inf,2,9789.87998217302,-19549.6301644542,14.3691396162139,0.000739919556293776
"oum_cid_8states_run_bio1",-Inf,2,9793.12169986348,-19554.0962533921,9.90305067832742,0.00690213416143643
"oum_full_8states_run_bio1",-Inf,2,9800.09220954536,-19563.9993040704,0,0.975895978866409
"oum_nest_8states_run_bio1",-Inf,2,9784.43167991628,-19536.7162134977,27.2830905727351,1.16133010947098e-06
"oum_soc_8states_run_bio1",-Inf,2,9793.9908513674,-19555.8345563999,8.16474767050022,0.0164608060857517
