"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"bm1_8states_run_bio15",12,-3813.34832932299,-630.750710340934,-3177.99244879607,7650.78096018611,1262.46648297141,7.2164083934659e-275
"ou1_8states_run_bio15",13,-3181.10804941816,-644.704360057154,-2531.79851917502,6388.31447721469,0,0.998699135908689
"oum_cid_8states_run_bio15",14,-3186.74431741534,-647.254587774697,-2534.83351262422,6401.60217903182,13.2877018171284,0.00130030995044504
"oum_full_8states_run_bio15",16,-3192.48821064087,-637.907820741502,-2550.0061445864,6417.1235676166,28.8090904019055,5.54140865922473e-07
