"family","tribe","tips","sociality_binary","sociality_three_states","nest_three_states","nest_binary"
"Andrenidae","Andreninini","Andrena_hyacinthina","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_aerinifrons","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_chrysosceles","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nitidiuscula","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_fulvicornis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pallitarsis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_falcinella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nothoscordi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_cressonii","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_schencki","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_cordialis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pulverea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_colletiformis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_robertsonii","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_savignyi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_curvungula","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_paucisquama","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pandellei","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_rufizona","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_florivaga","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_statusa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_dorsalis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_impasta","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_moricei","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_mucida","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ventricosa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_brumanensis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ochraceohirta","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_dorsata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_yamato","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_opacifovea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_susterai","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_florea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_angustitarsata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pallidifovea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nasonii","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_wheeleri","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_combinata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_lepida","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_biskrensis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_confinis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_congruens","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_thomsonii","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ardentia","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_transitoria","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_venerabilis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_vetula","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_fimbriatoides","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_labialis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_flavilabris","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_decipiens","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_forsterella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_wilhelmi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ungeri","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_cochlearicalcar","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_aciculata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_spolata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_curviocciput","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_israelica","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_judaea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_turmalina","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_anathema","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_longistilus","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_aeneiventris","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_verticalis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_bisulcata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_hyemala","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_impunctata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_butea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_volka","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_figurata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nisoria","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_tebessana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_alfkenella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_floricola","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_minutuloides","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_paganettina","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_tkalcui","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_minutula","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_sillata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_convexifrons","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_hikosana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_subopaca","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_falsifica","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_kaguya","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_komachi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_semirugosa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_tenuistriata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_cervina","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_wollastoni","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_lunaris","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_rugothorace","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_simontornyella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_enslinella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_tringa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_yelkouan","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_luscinia","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_proxima","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ampla","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_alutacea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_dividicincta","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_exigua","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_spreta","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_semilaevis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pusilla","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_fabrella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_longibarbis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_mariana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pandosa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_oedicnema","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_cedricola","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_distinguenda","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nitidula","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_decollata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_orana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_melanochroa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nigrae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_illinoiensis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ziziae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_personata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_candidiformis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_piperi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_microchlora","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_trapezoidea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_iliaca","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_stenofovea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_fuscicollis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_janthina","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_janthinoides","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_obtusa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_xera","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_hypopolia","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_varicornis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_seminuda","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nobilis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_melittoides","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_avara","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_rufiventris","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_danini","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_garrula","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_humilis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_kamarti","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_orientana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_taraxaci","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pastellensis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_rhenana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_curtivalvis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_cinerea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_tadauchii","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nigroolivacea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_isis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_exquisita","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_monilia","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_oralis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_fuligula","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_truncatilabris","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ferrugineicrus","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_macula","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_gordia","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_protuber","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_tscheki","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_mucronata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_mizorhina","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_dorchini","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_limassolica","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_rotundilabris","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_evoluta","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nothocalaidis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_knuthi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_okinawana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pinkeunia","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_asluji","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_euphorbiae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_cinereophila","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_byrsicola","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_hattorfiana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_kilikiae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_labiata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_mediterranea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_sphecodimorpha","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_potentillae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_rusticola","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_combaella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_speciosa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_schulzi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_isabellina","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_glareola","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_dauma","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_polita","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_unicincta","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_viridescens","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_galilaea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_semirubra","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_veronicae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_sedumella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_anisochlora","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ferox","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_bucephala","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nuptialis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_rosae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_trimmerana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_carantonica","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_scotica","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nigripes","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nasuta","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_intermedia","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_gelriae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_wilkella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_russula","solitary","solitary","ground","ground"
