Family,Subfamily,Tribe,Species name and author,tips,"broad_sociality (solitary, social, kleptoparasite, social parasite)","fine_sociality (communal, primitively eusocial, eusocial)",sociality_notes,sociality_ref,"nesting_resources (resins, floral oils, leaf materials, etc)",nesting_resources_ref,nesting_place,reference,habitat,reference
Andrenidae,,Andreninini,,Andrena_merula,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_marginata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_quinquepalpa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_fulvago,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_hesperia,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_henotica,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_eremobia,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_menahemella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_euzona,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_ornithogali,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_crocusella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_krausiella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_hyacinthina,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_aerinifrons,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_chrysosceles,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nitidiuscula,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_fulvicornis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_pallitarsis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_falcinella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nothoscordi,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_cressonii,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_schencki,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_cordialis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_pulverea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_colletiformis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_robertsonii,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_savignyi,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_curvungula,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_paucisquama,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_pandellei,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_rufizona,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_florivaga,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_statusa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_dorsalis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_impasta,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_moricei,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_mucida,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_ventricosa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_brumanensis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_ochraceohirta,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_dorsata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_yamato,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_opacifovea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_susterai,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_florea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_angustitarsata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_pallidifovea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nasonii,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_wheeleri,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_combinata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_lepida,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_biskrensis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_confinis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_congruens,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_thomsonii,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_ardentia,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_transitoria,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_venerabilis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_vetula,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_fimbriatoides,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_labialis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_flavilabris,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_decipiens,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_forsterella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_wilhelmi,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_ungeri,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_cochlearicalcar,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_aciculata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_spolata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_curviocciput,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_israelica,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_judaea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_turmalina,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_anathema,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_longistilus,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_aeneiventris,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_verticalis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_bisulcata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_hyemala,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_impunctata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_butea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_volka,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_figurata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nisoria,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_tebessana,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_alfkenella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_floricola,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_minutuloides,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_paganettina,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_tkalcui,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_minutula,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_sillata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_convexifrons,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nana,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_hikosana,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_subopaca,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_falsifica,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_kaguya,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_komachi,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_semirugosa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_tenuistriata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_cervina,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_wollastoni,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_lunaris,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_rugothorace,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_simontornyella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_enslinella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_tringa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_yelkouan,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_luscinia,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_proxima,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_ampla,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_alutacea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_dividicincta,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_exigua,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_spreta,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_semilaevis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_pusilla,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_fabrella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_longibarbis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_mariana,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_pandosa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_oedicnema,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_cedricola,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_distinguenda,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nitidula,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_decollata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_orana,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_melanochroa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nigrae,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_illinoiensis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_ziziae,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_personata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_candidiformis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_piperi,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_microchlora,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_trapezoidea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_iliaca,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_stenofovea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_fuscicollis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_janthina,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_janthinoides,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_obtusa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_xera,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_hypopolia,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_varicornis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_seminuda,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nobilis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_melittoides,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_avara,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_rufiventris,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_danini,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_garrula,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_humilis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_kamarti,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_orientana,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_taraxaci,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_pastellensis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_rhenana,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_curtivalvis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_cinerea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_tadauchii,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nigroolivacea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_isis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_exquisita,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_monilia,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_oralis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_fuligula,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_truncatilabris,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_ferrugineicrus,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_macula,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_gordia,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_protuber,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_tscheki,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_mucronata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_mizorhina,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_dorchini,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_limassolica,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_rotundilabris,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_evoluta,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
