"Variable","PC1_Loading","PC2_Loading","PC1_Contribution","PC2_Contribution"
"mean_bio_1",0.72,0.61,11.53,12.57
"mean_bio_13",0.87,-0.08,16.75,0.24
"mean_bio_14",0.61,-0.67,8.13,14.93
"mean_bio_15",-0.02,0.77,0.01,19.96
"mean_bio_18",0.74,-0.28,12.08,2.63
"mean_bio_2",-0.66,0.55,9.55,9.98
"mean_bio_3",0.59,0.56,7.7,10.34
"mean_bio_4",-0.78,-0.32,13.45,3.44
"mean_bio_5",0.08,0.69,0.14,16.19
"mean_bio_8",0.66,0.38,9.75,4.82
