"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",3,3904.76886999403,0.114994311817526,160.687817242238,0.001
"Residual",3710,30051.4225996342,0.885005688182478,NA,NA
"Total",3713,33956.1914696281,1,NA,NA
