"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",3,48826.6136144534,0.170857892457816,254.834796613858,0.001
"Residual",3710,236946.627013039,0.82914210754219,NA,NA
"Total",3713,285773.24062749,1,NA,NA
