"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",3,3941048.64538604,0.126081346833665,178.415460469586,0.001
"Residual",3710,27316934.7467595,0.873918653166336,NA,NA
"Total",3713,31257983.3921455,1,NA,NA
