"x"
"Badiera penaea DC."
"Cordia obliqua Willd."
"Dasycondylus resinosus (Spreng.) R.M.King & H.Rob."
"Justicia kleinii Wassh. & L.B.Sm."
"Merostachys magnispicula T.Sendulsky"
"Myrceugenia scutellata D.Legrand"
"Thrinax parviflora Sw."
