"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"cid_oumv_sociality_bio1_run1.Rsave",18,10572.4284373963,-317.725150385094,10894.6653790875,-21108.6801762651,81.4806680042893,2.02627204101974e-18
"ou1_sociality_bio1_run1.Rsave",16,10611.1506519307,-286.07086485124,10901.826686968,-21190.1608442694,0,0.999999999999965
"oum_sociality_bio1_run1.Rsave",19,10237.3050061435,-298.197784583281,10544.1450408796,-20436.4136298582,753.747214411283,2.11773695692843e-164
"oumv_sociality_bio1_run1.Rsave",20,10509.9019504967,-319.821076420127,10834.401113061,-20979.5867906291,210.574053640379,1.88115783609802e-46
"ouv_sociality_bio1_run1.Rsave",18,10582.1915450884,-317.608005720864,10904.3229042704,-21128.2063916493,61.954452620168,3.52177453497075e-14
