"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"bm1",7,10183.8779549792,-324.198837707704,10512.6819628729,-20353.7270588507,767.22902406209,2.50227044807145e-167
"cid",10,10544.0803561369,-350.461733613415,10894.6769688073,-21068.1039966253,52.8520862874029,3.33668557749457e-12
"ou1",8,10568.496593376,-327.879461656093,10900.9812252181,-21120.9560829127,0,0.999999999996663
"oum",11,10239.4974161072,-443.173344582447,10688.9524205514,-20456.9267558864,664.029327026339,6.4248608371792e-145
"oumv",12,10203.9828394804,-334.116840053097,10542.6614055434,-20383.8852043671,737.070878545659,8.85303819705535e-161
"ouv",10,10202.7237790417,-336.213635981707,10543.5531600816,-20385.390842435,735.565240477714,1.87947905527876e-160
