"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state"
"Andrena_florentina",0.00198493467470517,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.00043005436321534,"solitary"
"Andrena_nigroaenea",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364063089,"solitary"
"Andrena_pallitarsis",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364051694,"solitary"
"Andrena_ventricosa",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364504775,"solitary"
"Andrena_brumanensis",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364500977,"solitary"
"Andrena_wheeleri",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364504775,"solitary"
"Andrena_lepida",0.00198490151352276,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364504775,"solitary"
"Andrena_verticalis",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054362363792,"solitary"
"Andrena_komachi",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364059291,"solitary"
"Andrena_longibarbis",0.00198554718308,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364059291,"solitary"
"Andrena_hypopolia",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.00043005436236759,"solitary"
"Andrena_hattorfiana",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364504774,"solitary"
"Andrena_plumiscopa",0.0019849863841925,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364051694,"solitary"
"Andrena_cristata",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364500976,"solitary"
"Andrena_chapmanae",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364059291,"solitary"
"Andrena_asteris",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364059291,"solitary"
"Andrena_rufosignata",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054363211541,"solitary"
"Andrena_accepta",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364504775,"solitary"
"Alocandrena_porteri",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054364504775,"solitary"
"Panurgus_dentipes",0.00198490146858383,0.0168991425366927,1.46220298358816e-05,5.6688420144936,5.6688420144936,0.000430054367051821,"solitary"
