"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state"
"Andrena_vaga",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499376,"solitary_ground"
"Andrena_erythrogaster",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499376,"solitary_ground"
"Andrena_carlini",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499375,"solitary_ground"
"Andrena_pruni",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499375,"solitary_ground"
"Andrena_transnigra",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557489235,"solitary_ground"
"Andrena_dunningi",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499374,"solitary_ground"
"Andrena_regularis",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499374,"solitary_ground"
"Andrena_perplexa",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499375,"solitary_ground"
"Andrena_barbara",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499375,"solitary_ground"
"Andrena_cineraria",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557489235,"solitary_ground"
"Andrena_barbareae",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557489235,"solitary_ground"
"Andrena_fedtschenkoi",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499375,"solitary_ground"
"Andrena_osmioides",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499375,"solitary_ground"
"Andrena_albopunctata",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499375,"solitary_ground"
"Andrena_macra",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557509517,"solitary_ground"
"Andrena_torulosa",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557509517,"solitary_ground"
"Andrena_bicolorata",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557489234,"solitary_ground"
"Andrena_florentina",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557489234,"solitary_ground"
"Andrena_nigroaenea",0.00040382718554864,0.043506664327815,0.0609402318610892,6.1297411862346,6.1297411862346,0.700241557499375,"solitary_ground"
