"","np","lnLik","AIC","dAIC","AICwt"
"1",7,-606.21801804759,1226.43603609518,113.945748183698,1.11901200972417e-25
"2",6,-606.837855123674,1225.67571024735,113.185422335867,1.63658063361641e-25
"3",5,-614.885399230081,1239.77079846016,127.280510548682,1.42307533448344e-28
"4",14,-545.39484897037,1118.78969794074,6.29941002925921,0.026542393067587
"5",13,-545.392721990622,1116.78544398124,4.29515606976224,0.0723033290402716
"6",12,-545.392899627484,1114.78579925497,2.29551134348617,0.196505915672507
"7",11,-547.379761696498,1116.759523393,4.26923548151603,0.0732465001361794
"8",10,-546.24514395574,1112.49028791148,0,0.619212313240949
"9",9,-551.173013231194,1120.34602646239,7.85573855090684,0.0121895488425066
