"","np","lnLik","AIC","dAIC","AICwt"
"1",4,-314.487557932321,636.975115864642,85.3340605980812,1.38256224098303e-19
"2",3,-315.327385000945,636.65477000189,85.0137147353294,1.62273241670326e-19
"3",2,-316.475559754575,636.951119509151,85.3100642425903,1.39925038193881e-19
"4",1,-348.99193441548,699.983868830959,148.342813564399,2.87413940705179e-33
"5",10,-273.395458089915,566.79091617983,15.149860913269,0.000240430750286681
"6",9,-273.406827163924,564.813654327849,13.172599061288,0.000646170262616568
"7",7,-269.151984461306,552.303968922612,0.662913656051273,0.336349385368746
"8",6,-270.726342382867,553.452684765734,1.81162949917302,0.189386999045523
"9",5,-270.82052763328,551.641055266561,0,0.468533350638432
"10",4,-276.392463472841,560.784926945682,9.14387167912139,0.00484366393439503
