"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state"
"Andrena_vaga",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_erythrogaster",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_carlini",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_pruni",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_transnigra",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326826492,"solitary"
"Andrena_dunningi",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_regularis",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_perplexa",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828218,"solitary"
"Andrena_barbara",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828218,"solitary"
"Andrena_cineraria",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326826493,"solitary"
"Andrena_barbareae",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326826493,"solitary"
"Andrena_fedtschenkoi",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_osmioides",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_albopunctata",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_macra",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326829942,"solitary"
"Andrena_torulosa",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326829942,"solitary"
"Andrena_bicolorata",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326826492,"solitary"
"Andrena_florentina",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326826492,"solitary"
"Andrena_nigroaenea",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_elmaria",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_parathoracica",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_watasei",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_thoracica",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_nitida",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_limata",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_flavipes",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326826491,"solitary"
"Andrena_notophila",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_vachali",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_gravida",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828216,"solitary"
"Andrena_chrysopyga",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326826492,"solitary"
"Andrena_fuscocalcarata",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_morio",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_commoda",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828216,"solitary"
"Andrena_nivalis",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828216,"solitary"
"Andrena_vicina",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828216,"solitary"
"Andrena_dentata",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828216,"solitary"
"Andrena_sagittagalea",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_ziziaeformis",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_violae",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_algida",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_ruficrus",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_astragali",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_tridens",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_distans",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_geranii",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_lawrencei",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_misella",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326829942,"solitary"
"Andrena_nigrocaerulea",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326829942,"solitary"
"Andrena_caerulea",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_nigrihirta",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_erigeniae",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
"Andrena_luridiloma",0.000183390028671234,0.0492077796802634,3.24301761585823e-05,5.66985570714014,5.66985570714014,0.000329505326828217,"solitary"
