"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"bm1",7,10128.3490033493,-379.690075919838,10512.6442494552,-20242.669155591,750.97008172288,8.0530386206134e-164
"cid",10,10503.6080399594,-393.807599191709,10900.5081996669,-20987.1593642705,6.47987304338312,0.037149631665145
"ou1",8,10504.8381705765,-392.646102419136,10902.0894431817,-20993.6392373139,0,0.948508146350695
"oum",11,10503.6619742162,-386.826202443805,10894.2757128549,-20985.2558721043,8.3833652095127,0.0143422219841606
"ouv",10,5998.54449461435,-568.472858233217,6611.48423797708,-11977.0322735803,9016.60696373353,0
